place_id,user_id,score,comment
더황금마늘보쌈,김인순,4.0,"퇴근하고 단체 회식이 있어서 갔는데
맛있는데 ᆢ서빙하시는분이 (젊은 남자분)별로
였음ᆢ나혼자만의 생각이 아니고 다들 같은생각~~ㅠㅠ"
더황금마늘보쌈,또잉,5.0,수육이랑 마늘 어우러짐이 완벽해요 넘 맛있어요.
더황금마늘보쌈,Quickbear (Waggle),4.0,점심특선. 쏘쏘한데 양이 좋아서 갓성비
더황금마늘보쌈,MING SEO,5.0,"보쌈 고기가 엄청 부드럽고,
칼국수도 맛있어요. 시원. 칼칼."
더황금마늘보쌈,손동민,4.0,"고기는 전지가아닌 삼겹을 써서 맛이 괜찮습니다
마늘도 갈아넣지 않고 조금크게 다져서 마늘식감과 맛도 살아있습니다.
밑반찻의 맛을 조금 개선했으면 좋겠습니다"
더황금마늘보쌈,Julia,5.0,"주말에도 점심특선이 되는곳입니다
맛있게 잘 먹었어요"
더황금마늘보쌈,Seong-Oh Kim,5.0,"회사에서 한번씩가는데 삼산안에서 가성비가 좋아요
맛도 괜찮고 양도 적당하고 가격도 좋아요"
더황금마늘보쌈,김승일,5.0,맛있네요 점심 특선은 최곱니다.
더황금마늘보쌈,바베로니카,4.0,"여기 마늘보쌈 맛있음.
고기 추가해서 먹었는데 굳굳"
더황금마늘보쌈,Bad Raccoon,5.0,마늘보쌈 맛있어요 양은 조금 작아요!
더황금마늘보쌈,이상기,5.0,"울산에서 가장 맛있는 보쌈집입니다.
추천 드립니다."
더황금마늘보쌈,Kwon Sean,4.0,맛있었어요. 칼국수 서비스는 평범한 맛
더황금마늘보쌈,KR JANG,5.0,보쌈~~완전맛나요^^
더황금마늘보쌈,HYOUNGROK YOUN,5.0,맛도 암도 서비스도 좋아요
더황금마늘보쌈,J.h J,5.0,여기 진짜 맛집이에요. 최고
더황금마늘보쌈,Dongman Lee,5.0,울산에서 먹을만한 보쌈집..후회는 없음
더황금마늘보쌈,에몽,5.0,점심특선 굿
더황금마늘보쌈,김대석,4.0,좋음
더황금마늘보쌈,1급수개구리,4.0,삼산에 마늘 보쌈 맛있음
더황금마늘보쌈,Chang Hwa Jung,3.0,그냥저냥 그래요..
더황금마늘보쌈,이정환,5.0,대존맛
더황금마늘보쌈,Tae-ho lee,5.0,
더황금마늘보쌈,Roy Kim,4.0,
더황금마늘보쌈,김우열,5.0,
더황금마늘보쌈,김민호,3.0,
더황금마늘보쌈,Sw,4.0,
더황금마늘보쌈,김경은,5.0,
더황금마늘보쌈,Jin Baik,5.0,
더황금마늘보쌈,제혜영,1.0,
더황금마늘보쌈,찰떡파이 (EmiluBeautyVip),5.0,
더황금마늘보쌈,이지웅,4.0,
더황금마늘보쌈,홍소미,5.0,
더황금마늘보쌈,박천일,1.0,
더황금마늘보쌈,김익환,5.0,
더황금마늘보쌈,일산해수욕장 폭축 정말제미있음김호성,4.0,
더황금마늘보쌈,서종길,4.0,
더황금마늘보쌈,S.H. Park,5.0,
더황금마늘보쌈,YOONJ CHOI,5.0,
더황금마늘보쌈,김보경,5.0,
더황금마늘보쌈,먹보왕자,2.0,오늘 회식으로 마늘보쌈을 먹었는데김치겉절이에서 머리카락도 아닌 꼬불랑거리는 털이... 말했는데 이모님이 죄송한다말과 함께 그 김치 한조각만 들고 가시네요그 뒤로 입맛이 뚝 떨어졌습니다
더황금마늘보쌈,ㅇㅇ,5.0,마늘보쌈 도시락 단체 주문했는데 다들 너무 맛있다고 그러네요! 그리고 사장님께서 친절하게 응대해 주시고 도시락 픽업도 도와주신 덕분에 무사히 행사 잘 마무리했어요! 이런 거 원래 잘 안 쓰는데 더더 번창하시라고 후기 남깁니다.
더황금마늘보쌈,맛잘알믿어보셈,5.0,맛있어효… 보쌈이 녹아내려효…..
더황금마늘보쌈,화니의여름,5.0,작년에 와서 먹었는데 맛본사람 전부가 만족 ㆍㆍㆍ또 왔어요
더황금마늘보쌈,Jinyub Chu,5.0,대박맛있어요 보쌈생각날때마다 가는곳...
더황금마늘보쌈,자유롭게,3.0,완전 단골집이었는데 작년에 가봤더니 맛이 예전보다 못해져서 두번다시 안가는 중..
더황금마늘보쌈,김비누누,5.0,마늘보쌈 너무달지도 않고 조합괜찮네요~~ 소주를 부르는맛~
더황금마늘보쌈,카카오리뷰어,5.0,
