place_id,user_id,score,comment
돈몽가 울산본점,김먹방,4.0,"우선 고기의 질이 신선하고 좋은 편입니다.
직원이나 사장님도 다 친절하시고 냉면은 원산면옥이랑 기술제휴를 해서 맛이 좋다고 합니다. 제가 냉면 맛에 되게 민감한 편이라 냉면이 제 스타일은 아니었지만 그래도 일반적으로 냉면 평타 이상이라고 할만한 맛은 됩니다.…"
돈몽가 울산본점,이철규,5.0,"고기도 맛나고 던장국수가 끝내 줍니다
한번 드셔보세요~~^^"
돈몽가 울산본점,YJ Park,4.0,아이놀이방이 잘되있고 고기가 맛있어요~~
돈몽가 울산본점,김희준,3.0,"개인적으로 고기를 안좋아해서 평가가 잘못될수도
있습니다
동행 하신분은 아주 잘드셨습니다"
돈몽가 울산본점,지유(이대로 지나가세요),4.0,고기맛도좋고 열무국수나 파절이도 맛있음 다만 단체손님있으면 시끄러운데 문을 닫을 생각을 안하고 열어두니 그냥 온사람은 시끄러운거 다 겪어야됨. 그리고 여자사장이 계속 인상쓰면서 있어서 좀 그럼.
돈몽가 울산본점,YeongIn Kwon,3.0,고기는 맛있었습니다. 구워주는 곳은 아닙니다만 불판도 셀프로 깨끗하게 해가며 먹어야하는건 좀 불편합니다.  방에서 먹었는데 환기가 잘 안되네요. 후식으로 먹은 비빔냉면은 맛이 없었습니다.
돈몽가 울산본점,재욱석,3.0,키즈존이 너무 지저분함..룸에 에어컨이 많이지저분함..고기맛은 좋음..
돈몽가 울산본점,seongjin RA,3.0,이곳에서 제일비싼 제주고기는 확실히 맛있는데 일반고기는 다소 질이 떨어지는곳이네요 테이블마다 환풍시설이 없어 온몸에 고기냄새로 도배를 하는곳. 좋은점은 현재 소주와 맥주는 2000원에 제공해주고 볶음밥이 1000원에 제공해주어서 좋네요 물론 볶음밥 제조는 셀프이지만 ㅎㅎ
돈몽가 울산본점,유니ASMR,5.0,"명촌 맛나는 고깃집
돼지고기가 땡길때는 콜!
연말까지 소주 맥주 저렴"
돈몽가 울산본점,율이언니,5.0,어린아이와 함께가도 놀곳이 있어서 대화하기좋구요 고기도맛있어요
돈몽가 울산본점,밥객Chef,4.0,직접구워먹는곳 오랜만이네요
돈몽가 울산본점,이복미,5.0,굿 고기 맛나요 주인아저씨 친절하시고 놀이방도 아이가 좋아해요
돈몽가 울산본점,김인환,1.0,비싸고 맛없고 환풍 안되고 비추입니다
돈몽가 울산본점,JAE HYUCK IM,4.0,"처음부터 제공되는 된장찌개 굿
고기도 맛있음 ^^b"
돈몽가 울산본점,전윤미,1.0,서빙하시는 아주머니행동들 진짜 어이없음요~ 다시는 가고싶지 않음
돈몽가 울산본점,zzz Lion,5.0,고기도 좋았지만...후식도 아주 만족스러운 집입니다...
돈몽가 울산본점,하창원,5.0,열무사발이 드링킹해서 화를 식혀보아요
돈몽가 울산본점,김동혁,3.0,"그냥 소소합니다
서비스도 소소
사이다 시키면 콜라오고ㅋ
진로 시켰는데 존데이 오고ㅋ"
돈몽가 울산본점,원샷,5.0,너무맛있게잘먹었어요/~^^
돈몽가 울산본점,kyounghwan lee,4.0,사장님이 친절하시고 가격이저렴함
돈몽가 울산본점,이정환,4.0,제주 흑돼지가 맛있는 곳
돈몽가 울산본점,윤예준,5.0,고기가 좋습니다!
돈몽가 울산본점,이정규,4.0,적당한가격에 맛
돈몽가 울산본점,김병찬,2.0,주차 할곳이없습니다
돈몽가 울산본점,엄태준,5.0,서비스 좋네요
돈몽가 울산본점,박주영,3.0,평범 헙니다
돈몽가 울산본점,배교훈,4.0,좋아요
돈몽가 울산본점,김형욱,4.0,굿
돈몽가 울산본점,김태현,3.0,넘 비싼듯...
돈몽가 울산본점,Daisy,4.0,맛있는 돼지고기
돈몽가 울산본점,박재석,4.0,동네 맛집
돈몽가 울산본점,ABBA ÀBBA,5.0,
돈몽가 울산본점,김운비,4.0,
돈몽가 울산본점,김혜민,5.0,
돈몽가 울산본점,Gil Sun Kim,4.0,
돈몽가 울산본점,sk c,4.0,
돈몽가 울산본점,김태강,3.0,
돈몽가 울산본점,sung jong OH,5.0,
돈몽가 울산본점,hy un,4.0,
돈몽가 울산본점,강하석,4.0,
돈몽가 울산본점,박원진,3.0,
돈몽가 울산본점,조병규,5.0,
돈몽가 울산본점,도호두 (쿠쿠몽키),4.0,
돈몽가 울산본점,onepiece!!,1.0,
돈몽가 울산본점,김성수,5.0,
돈몽가 울산본점,미륵이,3.0,
돈몽가 울산본점,헤이즐넛,4.0,
돈몽가 울산본점,권재근,4.0,
돈몽가 울산본점,손민석,3.0,
돈몽가 울산본점,Jungwoo,2.0,
돈몽가 울산본점,이상윤,4.0,
돈몽가 울산본점,우지성,5.0,
돈몽가 울산본점,송진홍,5.0,
돈몽가 울산본점,김연성 (개똥이),3.0,
돈몽가 울산본점,박의석,4.0,
돈몽가 울산본점,김김대형,4.0,
돈몽가 울산본점,김병률,4.0,
돈몽가 울산본점,최민자,3.0,
돈몽가 울산본점,김성환,3.0,
돈몽가 울산본점,ducksang jang,4.0,
돈몽가 울산본점,하늘하늘,2.0,
돈몽가 울산본점,JI HWAN SONG,4.0,
돈몽가 울산본점,객추,5.0,
돈몽가 울산본점,Danny Son,4.0,
돈몽가 울산본점,제주도조아,2.0,고기가 신선하지않았고 식감이 퍽퍽했음. 양념갈비가 너무 짜서 못먹었음.
돈몽가 울산본점,.,5.0,오랜만에 갔더니 불판도 바뀌고 좋아졌더라구요. 고기도 더 많이 구울수있고 무엇보다 마무리 볶음밥 최곱니다. 아이놀이방도 있어서 맘편히 식사했습니다.
