place_id,user_id,score,comment
동해반점,가평,4.0,"포장,배달 시작한 이후로 홀손님 음식이 늦게 나오는듯. (2021.12.04) 23년 다시 방문하니 맛도 서비스도 21년도 보다 좋아짐."
동해반점,건,1.0,예에에에전 맛 생각하고 오랜만에 가면 큰일납니다.짬뽕의 고기가 질긴건 난생 첨이네요.고기부터해서 그냥 정말 맛없습니다.거짓말 1도 없이 한 입먹고 다 남겼습니다.
동해반점,손오반,4.0,
동해반점,밥잘먹는 그냥언니,1.0,
동해반점,신준영 IndiPOD,1.0,약 6개월 전부터 맛이 변했어요...맛없어요...이젠 안갑니다 ㅠㅠ
동해반점,Fly,4.0,"유니짜장과 마파두부밥 시켰는데, 다른 분들은 다 볶음짬뽕 먹는 듯 했습니다.마파두부밥은 양 많고 맛있는데 고추가 많이 들어가서 매웠구요 같이 나온 짬뽕국물은 건더기에 해물 많고 실했네요. 탕수육은 소자 시켰는데 다른데 중자 이상으로 나오네요."
동해반점,박상범,1.0,홀 서비스도 실망인데 배달 서비스도 정말 실망이네요주문후 55분도착이네요집앞인데도 중간전화하니 5분전에 출발했다고 하지만 10분만 오네요처음부터 주문 밀려서 좀 늦는다얘기해주면 그래도 이해 한다지만 실망이네요 혹시 배달주문시 배달시간 꼭 물어보고 주문하세요방문도 그냥 마음비우고 가세요손님 맞는것은 맛집치고는 거리가 멀다고 느껴지네요맛도 중요하지만 사실 맛도 그다지 ...
동해반점,dtt,5.0,볶음면 양 많고 맛있어요. 특별한 맛은 아니에요. 국물 적은 짬뽕이에요
동해반점,이 상 일,1.0,볶음짬뽕이 맛나서 가끔 갔었는데...오늘 가보니 맛이 예전같지 않다못해 아주 형편없어졌네요....예전에는 국물도 자작하고 짤거같아보여도 짜지않고 진한맛에 진짜 맛있었는데....지금은 국물이 흥건하고 짜기도 짜고....그냥 짬뽕이랑 뭐가 다른것인지....인기메뉴다보니 값은 비싸고....질은 완전 않좋아졌네요....우연찮게 주방쪽 테이블에 않아서 주방안이 살짝보였는데...볶음면이면 즉석해서 볶아주는걸 상상했었는데...아니더군요...일반 짬뽕처럼 국물은 미리 만들어놓고 면그릇에 미리 만들어놓은 국물 따라 주더라구요....탕수육도 미리 튀겨놓은듯 바삭함이라곤 없고.....몇년을 꾸준히 다녔었는데.......이젠 안갈겁니다....양심적으로 하는 음식점이 장사가 잘되야지요....오늘 많은 실망을 했네요....
동해반점,김진기,4.0,볶음 짬뽕 양 많고 맛있네요.
동해반점,히딩크,2.0,"뽂음짬뽕이 예전엔 해물도 많이 들어가고 국물맛이 진하고 맛이 좋았는대 언제부턴가 해물이라곤 새우, 오징어 몇개뿐 넘 맛이 그래요. 일반 짬뽕이나 맛이 큰 차이가 없어요. 차라리 1500 저렴한 일반짬뽕이 나아요. 아마 시간내서 가지는 않을거 같아요"
동해반점,스탠리,1.0,7시반쯤 전화해서 영업시간 물어보고9시까지라고해서 정확히 8시 도착.들어가니 등 떠밀다시피 쫓겨남이유인즉슨 마감했다고 함그럼 전화했을때 사전고지를 하시던지참 기분 더럽더군요 가실분들은 가세요 대신 몇시 마감인지 꼭물어보고 가세요
동해반점,sang-ae,3.0,
동해반점,꿈이있어,4.0,
동해반점,s22,4.0,볶음면과 탕슉 볶음밥 굿
동해반점,아트리,2.0,
동해반점,닝구,3.0,
동해반점,이성수,3.0,메뉴는 볶음 짬뽕이라 하는데 실제는 국물이 있는 짬뽕이네요 그리고 좀 매워요
동해반점,재민맘-김혜원,5.0,볶음면 맛있네~~ ㅋ 가족단위 모임 많은곳
동해반점,산타는목수.CrazyCarpenter,4.0,맛있네요 볶음면 한그릇 뚝딱!
