place_id,user_id,score,comment
등대갈비,이동영,4.0,맛난 돼지갈비와 다양한 반찬들. 관광객 보다는 주로 현지인들이 찾는 집이다. 게가 들어간 된장찌게 때문에 이 집에서 냉면+갈비 조합은 영원히 포기할듯 하다.
등대갈비,머리하는봄희,5.0,돼지갈비를 먹었는데 질기지않고 부드럽게 맛있었어요~ 그리고 함께나온 반찬들도 다 맛있더라구요~
등대갈비,Min K,5.0,"대왕암공원 근처 맛집.
돼지갈비가 맛있고 된장찌게며 반찬도 맛있다.
(가게이름이 등대갈비라 삼겹살은 안먹어봐서 사실 모르겠다.)…"
등대갈비,찔락,5.0,굿이에요 ㅎㅎㅎ 반찬도 다양하고 너무 멋있어 ㅎㅎㅎ반찬도 다 맛있고 고기도 양도 많더라구요! 일하시는 분들도 다 너무 친절해요 ㅎㅎ 꼭 가보세요!
등대갈비,혜영박,5.0,반찬들 다 맛나고 갈비도 진짜 갈비예요. 다리살 아니고요. 물냉 3천원인데 맛있어요.
등대갈비,JENNY이정선,4.0,"주차가 다소 불편합니다
맛은 훌륭합니다
서빙은 친절합니다.
기회가 되면 다시 방문하고 싶습니다."
등대갈비,유다영 (뭔지알지),1.0,겨울에 바닷바람 맞으면서 기다렸는데 웨이팅 순서 개무시 하면서 웨이팅순서대로 대기중이었는데 갑자기 들어갈 순서되니까 예약있다면서 뒷팀 넣어버림 퇴근하고 저녁시간 다 웨이팅하면서 기다렸는데 바로 다음순서라고 웨이팅 받은직원이 계속 봤으면서도 기다리는 중에도 한마디안함 말이나 하지 말던가 진짜 서비스 개똥 장사 그렇게 하지마세요 상황설명 요구하는데 들은체도 안함
등대갈비,yumegom,5.0,존맛탱. 가성비좋고 음식은더좋음♡
등대갈비,박경수,4.0,"맛있어요.11시30분에서 2시사이에 드시면 밥, 냉면 공짜입니다.
주차는 다소 협소해요."
등대갈비,장지혜,5.0,"맛있어요!갈때마다 사람이 많아서 기다려야 하지만,끝내줍니다.
고기도맛있고,
된장찌개에 흰쌀밥도 꿀맛입니다!"
등대갈비,Sung Gap Choi,5.0,"주로 점심에 많이 이용. 갈비 주문 시, 된장과 냉면을 무료로 먹을 수 있음. 기본 반찬이 맛나며, 그중 게장이 끝장임.(개인생각)"
등대갈비,초록딱지,4.0,"맛있고, 싸고, 저렴해요~ 불판갈아 달라고 하기가 너무 미안했네요. 참숯갈비 잘 먹었습니다~^^"
등대갈비,노상희,4.0,"수제돼지갈비 4인분에 물냉면, 된장찌게와 밥을 둘이서 먹었는데 맛나더군요. 된장에 꽃게 다리가 들어있어 국물이 시원하고 갈비 양념도 적당하니 가격대비 좋았네요.
입소문어 난 이유를 알겠어요. 직원분들이 다 친절하시더군요. 표정도 좋으시고,..
근데 김치가 따로 없는 게 저 에겐 흠이네요.~"
등대갈비,예리안,4.0,"밑반찬이 잘나오는 갈비집!!
쫄면이랑 양념게장까지나옴 ㅠㅠ
짱임돸ㅋㅋㅋ 백김치도있으면 너무좋을거같음
사장님이 이거 봤으면 좋겠답🤣🤣…"
등대갈비,이주희 (메밀꽃필무렵),3.0,"좁고사람많고..
음식은 그럭저럭먹을만합니다만,
주차장도없고.…"
등대갈비,고봉수,4.0,고기는 좋은데 사람들이 많아서 너무 시끄러워요
등대갈비,김류운,5.0,"맛있습니다.
기본반찬을 넉넉히 주시고 모자라다고 더 달라하시면 친절히 더 주십니다.
기본반찬중 특히 양념게장과 쫄면이 맛있어서 고기구워지기전에 꼭 한두번은 더 달라고해서 먹게되네요.…"
등대갈비,최재남,4.0,아들이 이것 저것 잘 안먹는데 한번씩 여기 고기 먹고 싶다고 하면 바로 가서 먹어요. 갈비가 맛있어요.
등대갈비,EUCALY,3.0,가성비 좋고 갈비 맛있고 쫄면 맛있어요. 천천히 먹는거 좋아하는데 재촉하는 분위기가 좀 별로예요
등대갈비,존데이,1.0,음식맛은 괜찬은대 써비스가 영 꽝이더군요 갈비맛은 인정 써비스 맛집으로 대박나세효~~~
등대갈비,설탕공장,5.0,"카페 글보고 다녀왔는데,..반찬도 맛있고 갈비도 넘넘 맛있어요"
등대갈비,이현진,3.0,갈비맛있어요~ 반찬도 깔끔~ 2시전에 먹으면 밥.냉면 무료예요
등대갈비,HoSeong Lee,1.0,코로나 걸리기 딱 좋은 가게. 처음같지않음 재방문의사 제로
등대갈비,오경환,5.0,대기시간 있는것 빼고는 맛도 좋고 굿~
등대갈비,Hyun jong Kim,4.0,"사람이 너무 많아요.
오늘 대기했어요"
등대갈비,박세라,4.0,주차장소가 없어 불편해요 친절하시지만 다시 방문해야 할 정도의 갈비맛인지는 모르겠어요
등대갈비,정영순,5.0,갈비하면 등대갈비 달지않고 맛있어요 직원들도 늘친절해서좋아요
등대갈비,김용현,5.0,"저렴하고맛있습니다.
후식은 된장추천.
조그마한 꽃게가들어가 더 시원합니다."
등대갈비,행복한햄스타,5.0,맛나용!😘😘😘…
등대갈비,강한주,5.0,깔금하고 갈비가 맛있담니다 ㅎ
등대갈비,김석희,5.0,"와~~~동구 줄서서 대기하며 먹는집
갈비 맛납니다"
등대갈비,ᄋᄋ,1.0,"맛은좋은데 장사가잘되서그런지 서비스는 꽝입니다
서비스개선좀 하세요"
등대갈비,이원섭,3.0,일부 일하시는 분께서 불 친절함을 느꼈습니다. 방문자 4명중 전원 느낌 받았어요
등대갈비,강Charlie,5.0,"가성비 끝판왕 입니다.
음식이 정말 맛있어요"
등대갈비,DAY SUN,3.0,"세번째방문 처음방문때보다 기본찬도 맛이 떨어진것같고 고기도 좀 냄새나는것같아요
실망..이젠 재방문 하지않을겁니다."
등대갈비,장은희,5.0,반찬이 깔끔 합니다.  돼지갈비도 너무 부드러워요.  강력 추천 해요~
등대갈비,최준,5.0,삼겹도 맛나요.
등대갈비,남김창록,5.0,양념도 입에 맞고 불판도 알아서 잘 갈아주심
등대갈비,최재선,3.0,돼지갈비 맛있는데  가격이 조금부담스러워음
등대갈비,황호택,5.0,"친절, 수제 돼지갈비 참 맛있어요. 가격도 최고!"
등대갈비,김지만,5.0,최고!!!자세한 설명은 생략합니다
등대갈비,정익진,3.0,가격은 저렴하고 맛도 좋았다
등대갈비,박재육,4.0,맛있게 잘먹었습니다ㅎ
등대갈비,turn up,5.0,"맛있어요
친절해요!!!
시원하게 고기 드실수 있어요"
등대갈비,서주현,5.0,갈비도 맛있고 밑반찬도 맛있음
등대갈비,성태정,5.0,정말 맛 있네요
등대갈비,고고,3.0,"적당합니다.
장사가 잘되서 밥시간에가면 줄서야됩니다"
등대갈비,박원영,5.0,맛있는 소.돼지갈비와 웃는 종업원의 서비스 잘받았습니다
등대갈비,snow sally,5.0,맛있게 먹고 왔어요
등대갈비,김미영,5.0,가성비 짱 반찬 리필 굿 쫄면 맛있어요
등대갈비,류경,4.0,숨겨진 명소다 . 육질이 풍미스럽고 먹고 나서  후회없는 곳이다
등대갈비,이동호,4.0,처음갔는데.맛집이더군요
등대갈비,AHJIN LEE,5.0,맛과 가격 서비스를 모두 충족시키는곳!
등대갈비,최정은,5.0,초벌해서 나와서 먹기편하고 맛잇음
등대갈비,김대관,5.0,대박 맛나요 줄섰어요
등대갈비,심야수,5.0,동내 숨은 맛집 ~~알라쿠지마 다침~~
등대갈비,김정진,5.0,기본 밑 반찬이 푸짐하고 고기도 맛있음.
등대갈비,RICHARD Cliff,5.0,👍…
등대갈비,김석문,5.0,갈비 너무  맛있습니다.
등대갈비,장명,4.0,맛있어요
등대갈비,Jerry TV,4.0,정말 맛나요~^^
등대갈비,이상민,5.0,맛나고 친절해요
등대갈비,최병대,5.0,맛있어요
등대갈비,박진영,5.0,여기만큼 괜찮은곳 못봤어요
등대갈비,황정현,5.0,멘날 줄서야되유 ㅎㅎ
등대갈비,정라나,5.0,맛있었어요~
등대갈비,송정섭,5.0,"점심에먹으면 냉면,된장찌개 공짜"
등대갈비,T ryong,3.0,음식이 맛이 있으나 장소가 협소합니다
등대갈비,강태우,5.0,점심에 갈비먹으면 냉면이 꽁짜
등대갈비,제창현,5.0,맛있는 갈비...추천합니다.
등대갈비,김성훈,5.0,갈비살  진짜맛나네요
등대갈비,송영포,5.0,주여줘요 말이필요없당께
등대갈비,정연국,4.0,"일하시는분들 유머도있고짱
근데 주인장너무 무뚝뚝 컨셉?"
등대갈비,이정훈,5.0,숫불이참숯이라 아주좋았네요
등대갈비,권오성,5.0,맛집 깔끔한 편입니다.
등대갈비,전승창,5.0,굿
등대갈비,허진우 tv,5.0,맛남
등대갈비,배종현,5.0,맛집
등대갈비,오태경,5.0,가성비 최고~!!
등대갈비,임용현,5.0,갈비 맛집이네욤
등대갈비,김태수,5.0,갈비맛이!끝내줘염~~~~
등대갈비,이상춘,3.0,손님많음
등대갈비,박종언,4.0,좋아요
등대갈비,이화준,4.0,맛있게 먹었습니다....
