place_id,user_id,score,comment
랑콩뜨레 달동점,E.Z. H,4.0,"크리스마스 시즌이라 인테리어가 더 돋보였어요^^
빵맛 좋은 건 말할 필요도 없어요.
딸기치즈타르트 한 판(?)ㅋ 다 먹어버렸네요^^"
랑콩뜨레 달동점,KIM삐,1.0,"여기빵이 왜 유명한건지 알수가없네요
진짜 빵 너무 맛없는데..
별1개는 오로지 빵에대한 평가입니다…"
랑콩뜨레 달동점,화정,4.0,"맛있는 빵집. 밀가루값 인상 여파인지 조금 비싸요.
조금 늦게 가면 항상 빵이 없어요 ."
랑콩뜨레 달동점,lee보육나라,5.0,"개인적으로 모카빵 강추요.빵이 다 맛있어요.건강한 빵.빵순이,빵돌이들이 반할만한 빵집!"
랑콩뜨레 달동점,Min또기,4.0,"동네 유명 빵집! 할인하는 품목이 있어서 3개 구입했는데 맛도좋고 할인도 받고 기분좋네요
빵 가격은 1개에 4800원 정도여서 비싼 느낌이었는데 먹어보니 재료를 아낌없이 넣어만든 느낌!
우유 생크림,치즈가 듬뿍 들어간 바게트빵을 먹었는데 달달,고소한 맛에 부드러운 빵까지ㅎ…"
랑콩뜨레 달동점,강명훈,5.0,친절하고 빵 종류도많고 맛있어요~~!!!!👍👍👍…
랑콩뜨레 달동점,LEE JUBI,4.0,"아몬드파운드케익 ☆☆☆☆☆
계피향이 나는 초코파운드케익인데 크게 달지 않아서 자꾸 들어간다. 너무 맛있다.…"
랑콩뜨레 달동점,스칸맥 (맥스칸),4.0,"울산에서 가장 핫한 빵집이다.
지점이 여러군데 있어서 이곳이 아니더라도 방문하기 용이하다.
여느빵집에 비해 종류가 특색있다. 하지만 익히 알고있는 빵들은 별로 없으니 참고할것…"
랑콩뜨레 달동점,김주라,5.0,커피공간도넣고 빵도맛있어서 자주가는매장
랑콩뜨레 달동점,Sangho Lee,5.0,맛있는 빵이 많아요..주차가 좀 힘들어요..
랑콩뜨레 달동점,고옥남,5.0,"빵이맛있고 청결분위기
친절 다만점입니다
시식용이향시 비취되어…"
랑콩뜨레 달동점,김종문,4.0,담백하고 고소한 빵들이 한가득.
랑콩뜨레 달동점,jiwon song (Mercurius),4.0,"가게 인테리어도 깔끔하고 맛과 종류가 좋지만
가격이 높은편인게 아쉽다"
랑콩뜨레 달동점,홀롤롤롤로로로(Overture),4.0,빵 종류가 다양하고 맛있음. 찹쌀꽈배기를 없앤것은 랑콩뜨레 별점을 깍는 원인이 됨.
랑콩뜨레 달동점,Soo lee,5.0,울산 최고의 빵집 랑콩뜨레 달동점
랑콩뜨레 달동점,성민수,5.0,맛나고 친절하고 브런치 메뉴도 뛰어나고 다 좋아요
랑콩뜨레 달동점,전희진,1.0,"식빵에서 군데군데 다른 맛이나요 소금간도 달라요
오늘만 그런거지요 ?"
랑콩뜨레 달동점,전hee,5.0,건강빵 사러 가끔들리는데 맛있어요
랑콩뜨레 달동점,재성 (Seong Jae),5.0,여전히 비싼빵집. 맛은 괜찮음. 이집만의 시그니쳐가 없는게 아쉬움
랑콩뜨레 달동점,minji kim,5.0,"얼그레이 프레첼 정말 맛있어요♡♡♡
매일 먹고싶어요~"
랑콩뜨레 달동점,이종국,4.0,맛있는 빵과 디저트로 기분UP
랑콩뜨레 달동점,바다싸나이,3.0,맛은 좋은데 타베커에 비해 좀 비싼편 입니다
랑콩뜨레 달동점,Jenny Lim,5.0,시나몬꽈배기 먹고 반함
랑콩뜨레 달동점,꽃대나리,4.0,빵종류가 살짝 부족하고 약간 어수선합니다 2층 계단 층계가 높아서 내려올때 위험합니다 주차장은 따로 없습니다
랑콩뜨레 달동점,o2 kim,4.0,빵 맛있어요~~종류도 다양합니다 직원들이 전부 불친절해요~~
랑콩뜨레 달동점,최지혜,3.0,맛에 비해 비싼편임. 알바들은 항상기계같고..좀 안타까움.
랑콩뜨레 달동점,로프타는남자SAFERS,3.0,"커피맛은 별로
빵맛은 중간이상"
랑콩뜨레 달동점,김소윤,4.0,빵종류가 많앗고 조용하니 좋앗어요
랑콩뜨레 달동점,김소영,5.0,"친절하고 빵도 맛있음

주차공간은 협소함"
랑콩뜨레 달동점,이은정,4.0,맛있는빵들이 많아요^^
랑콩뜨레 달동점,오진우,3.0,맛있었어요. 가격이 쎄요
랑콩뜨레 달동점,정성원,5.0,말이 필요 없네요 ㅎㅎ
랑콩뜨레 달동점,류경원,5.0,부드럽고  감미로운 빵맛이  일품이예요
랑콩뜨레 달동점,하늘땅,4.0,처음  케이크 구입   너무 맛났어요  ^^♡
랑콩뜨레 달동점,9리차드,4.0,단 맛이 강해요
랑콩뜨레 달동점,문현주,5.0,맛있음 울산갈때 자주감
랑콩뜨레 달동점,뿌리깊은나무,5.0,빵맛으로는 프렌차이즈와는 차이가 납니다.
랑콩뜨레 달동점,미요,4.0,빵 맛있음 조금 비쌈
랑콩뜨레 달동점,JUNHYEOK JANG,5.0,맛있어서 자주갑니다
랑콩뜨레 달동점,yunsam kim,5.0,맛있는 빵집입니다
랑콩뜨레 달동점,최희양,5.0,이집빵은 말해뭐해요
랑콩뜨레 달동점,장유한,5.0,빵 맛있어요
랑콩뜨레 달동점,답답주자,4.0,맛있다 좀 비싸다
랑콩뜨레 달동점,추동훈,5.0,맛있고 저렴해요
랑콩뜨레 달동점,윤영웅,5.0,다른 프렌차이즈 빵집과는 비교불가
랑콩뜨레 달동점,P K,5.0,울산에선 이만한 빵집 찾기 어렵다
랑콩뜨레 달동점,west side,2.0,가격이 비쌈 맛은있음
랑콩뜨레 달동점,느티나무,5.0,케익과 일부빵빼고다맛있음
랑콩뜨레 달동점,차바,4.0,빵 종류가 생각보다 적음
랑콩뜨레 달동점,홍상원,3.0,비싸도 맛있는?
랑콩뜨레 달동점,변동우,5.0,맛있어요!!
랑콩뜨레 달동점,홍지완,5.0,맛있어요~
랑콩뜨레 달동점,이근호,4.0,굿.
랑콩뜨레 달동점,HyeRa Lee,5.0,맛있어요~
랑콩뜨레 달동점,Yemek Kim,3.0,편리한 접근성 유명한 제과점
랑콩뜨레 달동점,피터팬피터팬,4.0,맛있는데 비싸요
랑콩뜨레 달동점,김익환,5.0,진짜 빵집이죠~!
랑콩뜨레 달동점,R W Kim,5.0,아주좋았습니다
랑콩뜨레 달동점,H.J kim,3.0,보통입니다
랑콩뜨레 달동점,hyounggyu choi,4.0,맛ㅇ잇어요
랑콩뜨레 달동점,후라이계란,5.0,빵이  맛있다
랑콩뜨레 달동점,진세이,1.0,비쌈
랑콩뜨레 달동점,junmo jeon,4.0,비쌈유.맛남유
랑콩뜨레 달동점,김풍기,5.0,행사 행사 시식 시식
랑콩뜨레 달동점,Alex,5.0,맛남^^
랑콩뜨레 달동점,김종국,4.0,
랑콩뜨레 달동점,김지원,3.0,
랑콩뜨레 달동점,도기원,4.0,
랑콩뜨레 달동점,YOKO YAMADA,3.0,
랑콩뜨레 달동점,임경화,5.0,
랑콩뜨레 달동점,이민지,5.0,
랑콩뜨레 달동점,김강홍,4.0,
랑콩뜨레 달동점,광어넙치,5.0,
랑콩뜨레 달동점,김기헌,2.0,
랑콩뜨레 달동점,황성욱,4.0,
