place_id,user_id,score,comment
마녀족발 울산삼산점,조재현,5.0,천기옥 의원님께서 추천해주신 식당입니다. 좋은 곳 소개해주심에 진심으로 감사드립니다.^^♡
마녀족발 울산삼산점,김근우,5.0,마녀족발 양도 많고 너무 제 스타일이에요
마녀족발 울산삼산점,신석호,5.0,특제 마늘소스? 마늘을 잘게 채썰어서 무언가에 절여나오는 소스가 있는데 맛이 독특하다. 생강맛도 나는것 같기도 한게 참 맛있었다. 족발은 얇게 썰어서 조금 밋밋했지만 보쌈은 크고 두툼한게 기름진걸 좋아하는 내 입맛에 딱이었다.
마녀족발 울산삼산점,Seong-Oh Kim,5.0,"맛있어요
종류도 다양하고…"
마녀족발 울산삼산점,JJANG Seol,3.0,"족발은 그냥도 맛난데 튀겼으니... ㅎㅎㅎ
괜츈햇습니다.
다만 콩나물국이 별로인데 다른걸루 바꾸심이 좋을듯 합니다."
마녀족발 울산삼산점,Q K,5.0,족발튀김이 진리입니다 최고
마녀족발 울산삼산점,Kt S,5.0,"바삭한게 껍질을 튀긴 족발
바삭한 식감을 좋아한다면 추천
기본적으로 족발자체는 맛잇어"
마녀족발 울산삼산점,김성호,5.0,맛있습니다 튀김 족발이랑 반반씩 나오는데 맛있게 먹었네요.
마녀족발 울산삼산점,성민장,5.0,마녀족발 한식이 맛있어요 서양식 ㄴㄴ
마녀족발 울산삼산점,알거없잖아,3.0,튀김족발?? 글쎄요 취향 타나 봅니다 그다지 써억~
마녀족발 울산삼산점,최귀환,4.0,맛있고 보쌈도 맛있어요
마녀족발 울산삼산점,J J,4.0,"가성비 좋았음
마늘족발은 차다"
마녀족발 울산삼산점,김지은,5.0,족발 맛있어용ㅋㅋㅋ 진짜 사람 많아유
마녀족발 울산삼산점,Ne Ma,5.0,보쌈이 느끼하지도 않고 매우 맛잇다.
마녀족발 울산삼산점,무거1000,4.0,여기서는 족발도 겉바속촉할 수 있다.
마녀족발 울산삼산점,BEOMKYU KIM,5.0,진리의 튀김 족발
마녀족발 울산삼산점,김도균,5.0,"위에 마사지 있음,(퇴페)"
마녀족발 울산삼산점,sungeun kim,4.0,맛있어요..ㅎㅎ
마녀족발 울산삼산점,김상현,3.0,가격대비 먹을만함
마녀족발 울산삼산점,쭈욱이,3.0,그냥 일반적인?
마녀족발 울산삼산점,여울,5.0,맛있어요!
마녀족발 울산삼산점,so sic nam,3.0,다양하게 잘나옴
마녀족발 울산삼산점,이찬서,5.0,굳굳
마녀족발 울산삼산점,남상식,4.0,양이 많음
마녀족발 울산삼산점,우태영,4.0,족발
마녀족발 울산삼산점,안성현,4.0,세개반ㅋㅅㅋ
마녀족발 울산삼산점,백승주,5.0,존맛탱구리
마녀족발 울산삼산점,정미정,4.0,"튀긴 돼지 족발은 정말 특별합니다. 집밥 같은 맛이 나고, 뼈에 붙은 고기도 맛있습니다. 가격은 불명이지만 조금 더 비싼 한국식 족발튀김 35,000인분을 주문했습니다. 게다가 가게 오픈시간이 비교적 늦은 편이라 …"
마녀족발 울산삼산점,Chris L,4.0,"Own parking lot
Yummy
Kind
But expensive"
마녀족발 울산삼산점,김오현,1.0,
마녀족발 울산삼산점,추여비,5.0,
마녀족발 울산삼산점,함정선,5.0,
마녀족발 울산삼산점,브리,3.0,
마녀족발 울산삼산점,옥동호레이,3.0,
마녀족발 울산삼산점,김형주,3.0,
마녀족발 울산삼산점,카메루_스팀,4.0,
마녀족발 울산삼산점,김창성,3.0,
마녀족발 울산삼산점,니나노TV,5.0,
마녀족발 울산삼산점,김경화,5.0,
마녀족발 울산삼산점,Namgyu Yim,4.0,
마녀족발 울산삼산점,서정상,5.0,
마녀족발 울산삼산점,이진일,1.0,
마녀족발 울산삼산점,김영미,3.0,
마녀족발 울산삼산점,김재규,5.0,
마녀족발 울산삼산점,김동현,1.0,
마녀족발 울산삼산점,컹유웨이,5.0,
마녀족발 울산삼산점,Dong choon Kim,3.0,
마녀족발 울산삼산점,김양호,4.0,
마녀족발 울산삼산점,국시방,5.0,
마녀족발 울산삼산점,Zilzuman 질주맨 Moon,3.0,
마녀족발 울산삼산점,혀누혀누,3.0,
마녀족발 울산삼산점,박승범,4.0,
마녀족발 울산삼산점,12 34,5.0,
마녀족발 울산삼산점,이춘석,2.0,
마녀족발 울산삼산점,게임도리GAMEDORI,5.0,
마녀족발 울산삼산점,벽돌,5.0,
마녀족발 울산삼산점,신수인,4.0,
마녀족발 울산삼산점,김형국,4.0,
마녀족발 울산삼산점,MANJJ,5.0,
마녀족발 울산삼산점,장원택,1.0,
마녀족발 울산삼산점,정수현,3.0,
마녀족발 울산삼산점,김바크 (Vark),4.0,
마녀족발 울산삼산점,밀하우스,4.0,
마녀족발 울산삼산점,그레이,4.0,튀김족발 양식? 슈바인학센 생각나게 합니다.양은 성인 3명먹기 맞을정도염지?양념?이 약간 되어있는데 맛있어요!냉채나 다른 메뉴는 별로였어요.. 진짜 튀김족발은 인정이요. 화장실은 깨끗하지 않았습니다.그래도 튀김족발 만큼은 배달시키거나 또 먹으러 갈것같아요
마녀족발 울산삼산점,맛집감별사,4.0,
마녀족발 울산삼산점,최보람,5.0,맛있어요ㅠㅠ!!!!!!
마녀족발 울산삼산점,선민,1.0,
마녀족발 울산삼산점,맛집좋긔!,4.0,튀김족발 추천하고  나머지는 먹지마셈그냥 족발만드세요 ^ㅡ'
마녀족발 울산삼산점,내다내,1.0,돈 아까워서 먹다먹다 버렸다 일공팔
마녀족발 울산삼산점,포동포동,3.0,
