place_id,user_id,score,comment
만상,Joa Busai,5.0,"시그니처는 한정식이나
초계탕면과 회무침을 먹었습니다
초계탕면은 계절메뉴라 9월이면 끝난다니 서둘러 맛보세요…"
만상,Suyeon No,5.0,반찬도 다양하고 맛있어요. 마당쪽에 흰닭도 귀여워요.
만상,장제현,5.0,정식 먹었어요 반찬 종류도 다양하고 깔끔해요^^
만상,심은정,5.0,"한정식주문.완죤만족.밑반찬은기본.불고기.찌개.생선구이
대만족입니다
맛은 짱입니다…"
만상,하나로,4.0,"반찬도 깔끔하고 좋았어요..
가격만 조금 저렴하면 별5개 인데요.
주차장도 있었요"
만상,이우재,4.0,"1. 주차 공간 넓음
2. 신발장 공간 넓음
3. 중앙에 요상한 가습 기능의 인테리어 있음…"
만상,jungeun song,3.0,집에서 만든것같은 반찬 여러가지 나오고 가격도 1만 괜츈하다 엄청 맛있지는 않지만 정성어린 집반찬 한상으로 먹기엔 제격. 가자미구이 튀김 여러 밑반찬 된장찌개 등 반찬 다양하고 친절하시다
만상,김금희 (행복설계사),5.0,사장님은 친절했으나 생각보다 맛은..비추천
만상,김보나,4.0,"남구에서 맛집으로 알려져있다.
11시 영업시작하는데,
가볍게 회의 후에 식사하기 괜찮았다.…"
만상,Young H John,5.0,"생각보다 깔끔하고 맛있네요
스장님이 매우 친절합니다"
만상,이선우,5.0,울산 출장중에 11시에 영업 개시하네요
만상,우쭈쭈펀치,5.0,"잘먹었습니다...저녁 늦게갔는데..
사장님 퐈이팅 넘치심...알고가세요 ㅋ"
만상,조현식,4.0,처음 찾은곳인데 음식도 괸찬고 주인 서비스도 조은 편이었음
만상,우주선,1.0,"음식은 재료와 간이 따로 놀고
불친절함
음식 리필도 주인기분에 따라 되다말다 함
가장중요한건 음식이 맛없음"
만상,록리,5.0,"정갈한 반찬 친절한 사장님
반찬 간이 아주 좋아서 맛나요"
만상,김아미,5.0,연포탕 맛있고 저렴하고 사장님 친절하세요
만상,0o0o,2.0,"세트 시켜먹었습니다. 제가 팔당댐국토종주하면서 초계탕,초계국수 먹었는데 제가알던 초계랑 차이가 좀있더라고요"
만상,여준기,5.0,정식 좋아하는 저로서는 좋았어요 다양한 밪찬과 야채가 많고 맛도 좋았어요
만상,박주현,5.0,반찬이 깔끔하게 맛있게 나오네요 직원들도 친절하구요~~
만상,Jeong.y L,4.0,음식이 맛있어요
만상,Min또기,4.0,가성비 굿! 국물도 깔끔하고 맛있어요
만상,hwasun chun (써니),4.0,"반찬은 맛있고 괜찮았어요
가격은 점심특선이  만원입니다
점심시간인데 손님이 없었어요"
만상,선영,5.0,친절하시고 짜지않고 맛있어요. 굿굿
만상,이주애,4.0,"가격대비  좋아요
맛있었어요"
만상,박동현,4.0,가성비 최고! 맛은 최고라고하기에는 그렇지만 가격을 놓고 본다면 괜찮은 수준!
만상,한종근,3.0,"초계탕 전문점으로 알고 갔었는데
냉면 초계탕밖에 없어 실망했지만
분위기는 나름 안락한 가게였습니다"
만상,푸른바다,3.0,저렴하고 맛은 있는데 너무 양념이 강하네요
만상,김현준,4.0,가성비 좋은 식당입니다 맛도 괜찮고
만상,김일헌,1.0,밥찬이 너무 맛있어요~^
만상,정국영수,5.0,전복해물탕 짱 시원합니다.추천해요!
만상,01082506011송진욱,5.0,"가성비 ""갑"" ""만원의 행복"" ""만원의 품격"" 가격과 맛 모두 만족하실겁니다"
만상,김유미,5.0,맛도 가격도 착한 집~^^ 한끼 점심식사로 만족!!
만상,그린천사 (그린천사),4.0,깔끔하고 친절한 추천식당이네요
만상,김정환,5.0,초계국수... 맛있...
만상,문규연,4.0,"정식 맛있는데 된장찌개가 아쉬움
삼새볶음도 맛있음"
만상,은브이로그,4.0,괜찮은 식당인듯 주차장은 7-8대 주차 가능
만상,킴후라이,5.0,가성비 좋아요 사장님 친절 주차 좋음
만상,Heo바라 아재,5.0,맛있는 반찬 초계탕 아주좋아요
만상,S.H. Park,4.0,적당한 가격에 맛도 양도 굿
만상,흑운,5.0,맛있게 잘 먹었습니다
만상,always OK,4.0,저렴한 가격에 나쁘지 않네요.
만상,유시근,5.0,깔끔한 맛 좋은 써비스 좋아요
만상,Happy Life,4.0,주차공간 넓고 한정식이 괜찮습니다.
