place_id,user_id,score,comment
만파식적 삼산점,Mingyu Park,5.0,"음식 맛있어요
가격은 좀 있으니 부모님이랑 가면 좋아요"
만파식적 삼산점,IM K,5.0,부모님과 함께오면 좋을 것 같은 한정식코스요리집. 음식이 아주 푸짐하게 잘 나온다
만파식적 삼산점,정해순,4.0,만족합니다
만파식적 삼산점,할프정,5.0,장학증서 전달식
만파식적 삼산점,장현구 (그의여행),5.0,상견례및 가족모임 하기좋은 한정식집
만파식적 삼산점,이슬,4.0,
만파식적 삼산점,껍데기돼지,5.0,
만파식적 삼산점,구름,1.0,서빙하는 직원의 친절도가 낮아 분위기가 영 좋진 않았습니다.. 아쉽네요
만파식적 삼산점,미식소녀,2.0,
만파식적 삼산점,K',5.0,생각한 것보다 방에서 하는 식사가 조용하고 만족했습니다.한정식집이 양이 적을 것이라 생각했는데 양도 많구요:)후기보고 걱정은 했는데 친절하셔서 만족하고 갑니다
만파식적 삼산점,이동섭,5.0,보이는게 다가 아니네요. 음식이 간이 적당하고 조용하고 정말 먹을만 합니다.
만파식적 삼산점,동심원,1.0,음식이 좀. .
만파식적 삼산점,Louis,2.0,멸치복음애서 냄새가 많이나서… 나머지는 so so
만파식적 삼산점,내가먹었어,5.0,룸이 있어서 좋았고 음식도 깨끗하고 맛있었어요.후기가 안좋아서 걱정했는데 서빙해주시는 분들 친절하셨어요.잡채랑 나물도 추가 부탁드렸는데 친절히 가져다 주셨고요.. 저는 재방문할 것같아요^^
만파식적 삼산점,징징이,3.0,생각보다 코스가 별로 였어요.. 상견례 자리였는데 조금 부실했던 기억이 크네요ㅠㅠ
만파식적 삼산점,불친절알리미,1.0,어머니 생신이라 방문 후식사를 마치고 후기를 남기려고 하는데 저와 같은 생각을 하신 분이 후기를 남기셨네요. 직원의 친절도가 정말 별롭니다. 저도 요식업을 하고 있습니다만 다시 한 번 직원들의 서비스 교육이 필요해 보입니다. 호출벨을 두 번은 눌러야 오시고(손님 몇팀 없었습니다.)  코스 메뉴가 달라져서 나왔는데 설명 하나 없네요.(식사가 끝나고 물어보니 주기적으로 바꾼답니다. 그럼 설명이라도 해줘야 될텐데.)기분이 상해서 밥맛도 없었네요.참고하세요.
만파식적 삼산점,선민,4.0,
