place_id,user_id,score,comment
맷차 울산점,후루룩,3.0,
맷차 울산점,냠냠쩝,4.0,드문 스타일의 카페입니다.대체로 구수한 맛이 납니다. 고소한 류를 좋아한다면 맛있습니다.아이스가 가장 맛있지만 뜨거운 것도 맛있습니다.
맷차 울산점,ㅇㅇ,1.0,점원인지 주인인지 아주머니의 태도가 별로입니다.
맷차 울산점,우디닌,3.0,ㅎㅋ....
맷차 울산점,OSCAR,1.0,점원들 싸가지 없음. 표정 너무 띠거워서 다신 오기 싫음. 맷돌로 갈으면 뭐가 틀리냐니까 설명도 대충대충.... 시그니쳐 메뉴도 쓸데없이 비싸고 맛도 진짜없음
맷차 울산점,영혜,2.0,"불친절합니다. 맷돌로 갈아주는 퍼포먼스 말고는 딱히 여길 가야할 메리트를 모르겠네요. 맷돌커피 시켰는데 핸드드립 아이스라 쳐도 너무 연하고 원두 향이 크게 느껴지지 않아요. 원두를 맷돌로 갈아서 솔로 쓸어 담는데 예민한 사람이라 그런지 위생면에서도 의문입니다. 공간이 널찍하고 인테리어는 잘 되어있어요. 타르트도 한 판으로만 파니까 여러가지 맛을 볼 수 없다는 게 아쉬웠고, 혹시 두 가지 맛을 섞어서 구매할 수 없냐고 물었더니 그럼 두 판을 사야한다는 대답도 좀 뚱딴지 같다고 생각했습니다. 다른걸 다 떠나서 불친절함때문에 다시 갈 것 같지는 않네요^^;;"
맷차 울산점,dtt,4.0,"볶은녹차밀크티 달지않고 맛있어요. 타르트도 좋은데 한판으로 파는게 조금 아쉽고, 종업원이 조금 불친절하네요"
맷차 울산점,김민지,1.0,사장님이 바뀌신것 같아요예전에는 친절하셨는데 여자분 너무 불친절하시고마스크도 제대로 착용안하시고 장사하시네요ㅠㅠ
맷차 울산점,꺼이,2.0,그냥저냥
맷차 울산점,후니,3.0,잘먹고가요
맷차 울산점,썬,3.0,좋아요
맷차 울산점,지애,1.0,매우 불친절타르트 종류가 여러가지이기에 제일 잘 나가는 메뉴가 뭐냐고 여쭤보니 세상 불친절한 태도로 '드시고 싶은거 드세요~ 어차피 추천해드려도 다른거 드실거잖아요?' 라고 함당황해서 아무거나 시켰는데 생각하면 생각할수록 기분나빠서 좀 앉아있다 나옴나이 좀 있으신 아주머니였는데 사장님인것같았음그렇게 장사하지마세요
맷차 울산점,cheerryy,5.0,말차타르트최고!!!!!
맷차 울산점,뫙뫙,5.0,"말차 쉐이크 달지 않아서 맛있어요.분위기 좋고, 내부 깔끔하고, 자리도 널찍해서 이야기 나누기 좋았습니다.인기가 많은 곳인지 잘 모르고 갔는데 사람이 많았어요. 또 가야한다면 조금 망설여질 듯?코시국이 아니었다면 다른 메뉴 맛보러 재방문 했을거예요ㅎㅎ"
맷차 울산점,구파발왕언니,3.0,힘내세요.
맷차 울산점,식탐쟁이,4.0,맷돌커피와 말차밀크티 맛괜춘
맷차 울산점,986,4.0,괜찮았어요
맷차 울산점,김나형,5.0,말차밀크티 마싯슴
맷차 울산점,HI,5.0,맷돌로 가는게 ㅋㅋ 신기해욥. 타르트 맛있고 말차도 맛잇어용~
맷차 울산점,챙챙,5.0,맛차라떼 달지않고 진해서 맛있구요 치즈타르트도 치즈 고소하고 맛있어요><  카페도 예뻐요!
맷차 울산점,엉덩이흔드록바,5.0,
맷차 울산점,하야호요히,4.0,커피랑 치즈타르트 맛있어요!!! 밀크티는 ...제입엔 아니었어요 가게넓고깔끔
맷차 울산점,봄봄,4.0,이색 카페. 울산에 생기다니 신기. 오픈효과로 분비는 중.
맷차 울산점,야멧,5.0,건강한 녹차라떼맛
맷차 울산점,맛집좋긔!,4.0,말차는  좋아하지않는데  말차가  유명하다해서와서  마셨는데  와씨 개굿
