place_id,user_id,score,comment
명촌불고기명불허전,또잉,4.0,"점심특선(11시~14시)으로 1인분 9천냥에
산더미불고기120g+된장찌개+밥 구성이에요.…"
명촌불고기명불허전,김형석,5.0,"점심특선 9,000원 아주 좋습니다.
사장이 직접 구워 주고 맛있게 먹기만 하면 됩니다.
서울식 불고기랑 된장찌개 맛있습니다"
명촌불고기명불허전,몽슈킴,3.0,불고기는 이색적인데 반찬이 안 싱싱해요~
명촌불고기명불허전,남병균,1.0,저녁시간에 방문 그닥 맛집도 아니고 가격이싼것도 아니고 2명 갔는데 3인분 시켜야돼고 양이많은것도 아니고 말그대로 명불허전 왜 유튜브 채널에 소개가 됐는지 이해가 안돼네...
명촌불고기명불허전,서범석,3.0,블로그 등에 나온 정도로 다시 찾아갈 맛은 아니나 평균 수준은 되는 듯. 손님이 적지 않았는데 직원들이 우왕좌왕 하는 모습이 보임.
명촌불고기명불허전,김우현,2.0,"기본 3인분 인데 양이적고
밑반찬 먹을 만하게 없음.."
명촌불고기명불허전,준호정,3.0,점심메뉴 괜찮은 구성인듯하네요
명촌불고기명불허전,낚시콜,5.0,"고기가 너무 좋아요
직원분들도 친절하세요^^"
명촌불고기명불허전,이재이리,2.0,명촌 주변은 주차지옥임
명촌불고기명불허전,왕우성,3.0,한번정도만...  점심특선 가격으로
명촌불고기명불허전,손영준,3.0,그냥 그럼
명촌불고기명불허전,林志訓,5.0,맛집
명촌불고기명불허전,이원용,4.0,
명촌불고기명불허전,YeonCheol CHOO,5.0,
명촌불고기명불허전,HWANG GERONIMO,3.0,
명촌불고기명불허전,박창현,4.0,
명촌불고기명불허전,울산불개미 (찰리),5.0,
명촌불고기명불허전,임상희,3.0,
명촌불고기명불허전,Seokhee Lee,1.0,
명촌불고기명불허전,김정아,4.0,
명촌불고기명불허전,서만기,5.0,
명촌불고기명불허전,Yongkyun Im,3.0,
명촌불고기명불허전,또잉,4.0,"점심특선(11시~14시)으로 1인분 9천냥에
산더미불고기120g+된장찌개+밥 구성이에요.…"
명촌불고기명불허전,김형석,5.0,"점심특선 9,000원 아주 좋습니다.
사장이 직접 구워 주고 맛있게 먹기만 하면 됩니다.
서울식 불고기랑 된장찌개 맛있습니다"
명촌불고기명불허전,몽슈킴,3.0,불고기는 이색적인데 반찬이 안 싱싱해요~
명촌불고기명불허전,남병균,1.0,저녁시간에 방문 그닥 맛집도 아니고 가격이싼것도 아니고 2명 갔는데 3인분 시켜야돼고 양이많은것도 아니고 말그대로 명불허전 왜 유튜브 채널에 소개가 됐는지 이해가 안돼네...
명촌불고기명불허전,서범석,3.0,블로그 등에 나온 정도로 다시 찾아갈 맛은 아니나 평균 수준은 되는 듯. 손님이 적지 않았는데 직원들이 우왕좌왕 하는 모습이 보임.
명촌불고기명불허전,김우현,2.0,"기본 3인분 인데 양이적고
밑반찬 먹을 만하게 없음.."
명촌불고기명불허전,준호정,3.0,점심메뉴 괜찮은 구성인듯하네요
명촌불고기명불허전,낚시콜,5.0,"고기가 너무 좋아요
직원분들도 친절하세요^^"
명촌불고기명불허전,이재이리,2.0,명촌 주변은 주차지옥임
명촌불고기명불허전,왕우성,3.0,한번정도만...  점심특선 가격으로
명촌불고기명불허전,손영준,3.0,그냥 그럼
명촌불고기명불허전,林志訓,5.0,맛집
명촌불고기명불허전,이원용,4.0,
명촌불고기명불허전,YeonCheol CHOO,5.0,
명촌불고기명불허전,HWANG GERONIMO,3.0,
명촌불고기명불허전,박창현,4.0,
명촌불고기명불허전,울산불개미 (찰리),5.0,
명촌불고기명불허전,임상희,3.0,
명촌불고기명불허전,Seokhee Lee,1.0,
명촌불고기명불허전,김정아,4.0,
명촌불고기명불허전,서만기,5.0,
명촌불고기명불허전,Yongkyun Im,3.0,
명촌불고기명불허전,vivivi,5.0,불고기 간 삼삼하니 맛있고 차돌된찌도 진짜 맛있었습니다 ㅠㅇㅠ 다덜 가서 드세요
명촌불고기명불허전,장종원,5.0,맛있었음
명촌불고기명불허전,조재희,5.0,
