place_id,user_id,score,comment
명촌한식뷔페,대윤 / DaeYun,5.0,"성인 1.1만원 적당히 먹기 좋습니다. 술을 팔긴 하지만 술을 마실 분위기는 아닙니다.

종류가 그렇게 다양하지 않지만 유명한 한식은 다 갖추고 있습니다."
명촌한식뷔페,아주 개인적인 리뷰,5.0,"한식뷔페 = 반찬갯수만 많고 맛은평범하고 먹을꺼없다.
이공식을 파괴시킨 가게입니다
예전에 회사선배가 맛있더라 애기했을때…"
명촌한식뷔페,한국인의 Life진아,5.0,"오늘 뭐먹지 하고 딱히 입맛이없을때 다양한음식을 맛볼수 있어서 좋다  전체적으로 깔끔한 매장 분위기와 주차시설이 넓고 잘되있어서 좋다
고물가 시대에 만원이라는 가격에 다양한 음식을 맛볼수 있어서 개인 적으로 만족하는곳 추천합니다!"
명촌한식뷔페,Donggeun LEE,4.0,"명촌 한식뷔페 머먹을까 고민이될때 한번씩가면
여러가지 음식들을 맛볼수가 있어요~
점심시간만 피해서 가면 편안하게 식사를 하실수 있습니다.…"
명촌한식뷔페,Jessi Pinkman,3.0,"오래만에 가보니 8,000원에서 11,000원으로 인상되엇더군요.
옛 맛을 생각하면 괜찮지 싶어 먹어봤는데, 맛과 질적인 면은 더 떨어집니다.
아쉽네요. 본인이 대식가 타입이 아니라면 가성비가 매우 떨어집니다."
명촌한식뷔페,Gang-wook Jeong,4.0,최근가본한식뷔페집중괜찮은곳으로깨끗하고음식다양함.넓은주차장있음.
명촌한식뷔페,Hyun jong Kim,5.0,"가격대비 한식뷔페 좋은곳입니다.
김치뼈찜, 통닭만 배불리먹어도 본전이상일듯 합니다^^"
명촌한식뷔페,이명근,1.0,"이집 곧 망한다!

어찌 재료비 아낀다고  물김치에  배추 씨래기를 ...…"
명촌한식뷔페,박안기,5.0,"다양한 음식을 골라서 먹는 재미가 있고
반찬 종류도 엄청많고 맛도 있고 가격도
적당함.주차장도 넓어서 주차에 불편함을 없슴…"
명촌한식뷔페,아싸아싸,3.0,"안 가보신 분들에게는 정말 좋은 한식 뷔페입니다.
대신 대부분 메뉴들이 몇년째 동일해서 이젠 안 가게 되네요.
댓글 다는 날자 기준 11,000원입니다."
명촌한식뷔페,강국중,5.0,"가성비 최고, 주차장 완비
음식 종류도 다양하고 맛있어요
생선회 제외 다 있는 것 같음"
명촌한식뷔페,고성찬,2.0,가짓수는 많으나  한번 먹으면 두번은 손이 잘 안가네요.
명촌한식뷔페,커피판콜,5.0,명촌에서 8천원으로 밥먹기에는 이곳만한곳이없습니다  주말 또는 평일 점심시가면 대기줄이 어느정도있으며 주차장이 있으나 차들이 많아 점심시간대에가면 주차에 어느정도 시간이 소요됩니다
명촌한식뷔페,이선영,4.0,가짓수가 많고 좋은데 가격이 1인당 11000으로 올랐어요
명촌한식뷔페,박진석,5.0,인당 8000원으로 매우 저렴한 가격에 많이 먹을 수 있어 가성비가 좋고 음식 종류도 다양하며 질도 우수하여 매우 추천합니다. 다만 사람이 많이 붐비며 주차공간이 협소합니다.
명촌한식뷔페,정울타리,5.0,"8천원짜리 한식뷔페가 부산에 있으면
매일 밥 않해먹고 이것만 먹겠다.
하루에 반찬값 밖에 않되는데 메뉴가 넘
좋다. 강추"
명촌한식뷔페,천경희,5.0,"오랜만에 갔는데 여전히 북적북적
음식은 회전률이 빨라서인지 따뜻하고 맛있었어요"
명촌한식뷔페,범퍼너구리,4.0,그냥 동네 뷔페치고는 나쁘지않은데 본격적인 뷔페로는 글쎄.
명촌한식뷔페,부산엄마울산아들,2.0,예전보다 가격은 오르고  달고 맛없어져 이제 안 갈것 같아요
명촌한식뷔페,성현안,5.0,맛있네요
명촌한식뷔페,정우재,5.0,8천원 가격으로 맛있게 먹구갑니다
명촌한식뷔페,빵빵,5.0,"정갈하게 음식을 해놓으셨네요
맛잇게 먹고왔어요"
