place_id,user_id,score,comment
모도리식탁,김Zero,4.0,"맛있어요,! 다만 금액이 조금 비싸다고 느껴져요.
일반적인 월남쌈 생각하면 될 것 같어요 :)"
모도리식탁,Paul “Rainbow” T,5.0,"음식 구성이 좋았어요.
오리고기와 월남쌈을 함께 먹을수도 있고 차돌박이도 먹을수 있었습니다.
아기 의자가 있어서 좋았구요.…"
모도리식탁,조은비,4.0,"다른 무엇보다도 고기가 참 맛있게 구워져나와서 기억에 남는다. 생각보다 새우가 다른 야채와 잘 어울렸고 생각보다 케찹과 타르타르 소스도 맛있었다. 할라피뇨가 아보카도나 타르타르 소스의 느끼함을 잡아주고 날치알이 식감을 책임진다. 아보카도도 월남쌈에는 색다른 야채였는데 잘 익어서 식감도 좋고 맛있었다. 한 상이 25,000원인데 조금 비싼 느낌은 버릴 수 없다."
모도리식탁,남은슬,5.0,2인 양도 많고 맛나요! 다행히 웨이팅 없어서 바로 들어갔네요 식전에 나오는 곰탕국물도 맛나요
모도리식탁,세현,5.0,페북에 뜬거 보고 가봐야지 가봐야지 하고 몇년만인지.... 왜 이제 알았을까 싶을 정도로 맛있습니다! 사실 월남쌈을 좋아해서 더 좋았는지도 모릅니당 ㅎㅎ 새우가  맛있네요 늦게 안만큼 앞으로 더 자주 가야겠습니당 울대맛집 추천
모도리식탁,나야민,4.0,맛있었어요 고기와야채들을 싸서 먹으니 좋더군요
모도리식탁,Lee Victo,5.0,"월남쌈 굳굳 이네요!
다양한 소스도 나오고 날치알 아보카도등 곁들여 먹을게 많아요.
새우랑 고기랑 같이 먹으니 너무 맛있네요.…"
모도리식탁,서동욱,4.0,맛있음 충북살다가 온애랑갔는데 먹고 맛있다고 감탄함 야채도있어서 먹고나면 든든함 2명이서 월남쌈2인에 돈까스도 다먹음 야채덕분에 안느끼함 그냥 맛있음 외진곳에 있는 느낌이듬 주차공간은 없음 가게앞에 주차해서 밖깥이 안보임
모도리식탁,ROCK K,5.0,"사진이랑 정말 똑같이 플레이팅 된 맛집! 주문과 동시에 10분도 기다리지않고 음식이 나왔어요! 양도 2인분 기준 많은 편이고 가격도 너무 착합니다!
재료도 다 신선했어요 주차가 살짝 아쉽지만 골목에 주차공간이 좀있으니 거기 하시길 추천합니다."
모도리식탁,dk,3.0,맛있고 정갈함. 양에비해 다소 비싸고 테이블이 불편할 정도로 좁음.
모도리식탁,써니_,5.0,메뉴들 다 맛있어요~
모도리식탁,고려방범대youtube,5.0,"지난번엔 친구랑 이번에 딸이랑 가서 먹었는데
딸이  오~ 맛있는데~라고 했어요"
모도리식탁,방장,1.0,"솔직히 맛은 가격에 비해 그냥 그랬고...
제가 별로였다고 느낀점은 카드 결제가 반반결제가 안되더라고요 무조건 메뉴당으로 계산해야해서 불편했어요"
모도리식탁,변재환,5.0,"맛나고 깔끔하고 량은 좀 적어서 아쉬웠습니다
Muy Rico pero Poco."
모도리식탁,S.H Jeong,5.0,적당하고 괜찮아요~~~...완전한 특별함은 아니지만
모도리식탁,woodie Cho,4.0,좋아요 새로 오리고기가 나왔네요 우삼겹이랑 반반 되면 좋겠어요
모도리식탁,Sun L,4.0,"가격도 맛도 서비스도 좋습니다^^
다만
고기가 조금 따뜻하게 유지가되면 좋겠다..  란 생각이..."
모도리식탁,임선우,3.0,남 사장님이 디게 ..그냥 불친절하단 느낌이 들어요 음식은 맛있어요.
모도리식탁,v v,5.0,채소 무료 추가 가능하고 건강하게 맛있어요!
모도리식탁,이수야,3.0,후기에 친절하다고해서 갔는데 별로였다는...양도 둘이먹기에는 좀부족한느낌...
모도리식탁,팍경Life!,4.0,월남쌈에 차돌박이와 새우구이 곁들이는것은 정말 좋았다^^
모도리식탁,윤몽충,3.0,2인세트 우삼겹 먹었습니다. 평범합니다.
모도리식탁,박대훈,5.0,와아 가성비 완전 좋음. 모도리 밥상 둘이서 완전 배부름.
모도리식탁,김종필,3.0,맛은 좋은데 사장이 조금 불친절?
모도리식탁,ᄑᄐ,3.0,알바가 좀 딱딱하게 굴어요
모도리식탁,에블데이,3.0,가격대비 양이 적음
모도리식탁,최재원 (감사),4.0,쏘쏘
모도리식탁,Park욱찐,5.0,맛나요!
모도리식탁,별.,5.0,맛있었움
모도리식탁,이한우,4.0,"Fresh vegetables, good music"
모도리식탁,정준혁,5.0,
모도리식탁,김민서,5.0,
모도리식탁,달님,5.0,
모도리식탁,김민재,5.0,
모도리식탁,변희용,5.0,
모도리식탁,김성중,4.0,
모도리식탁,박연희,5.0,
모도리식탁,nandaa dk,5.0,
모도리식탁,김경원,5.0,
모도리식탁,이에스더,5.0,
모도리식탁,김홍민,4.0,
모도리식탁,송은숙,3.0,
모도리식탁,오태민,3.0,
모도리식탁,코렉스자전거대방MTB,4.0,
모도리식탁,이이현승,4.0,
모도리식탁,김ᄃ,3.0,
모도리식탁,rei seo,4.0,
모도리식탁,신유정,5.0,
모도리식탁,DC K,5.0,
모도리식탁,YJ K,5.0,
모도리식탁,김양희,5.0,
모도리식탁,다울,3.0,
모도리식탁,강경문,5.0,
모도리식탁,서뽀식,5.0,
모도리식탁,꽃뿌리영,5.0,
모도리식탁,주성일,3.0,
모도리식탁,손나은이나라다,4.0,
모도리식탁,이상금,5.0,
모도리식탁,수앤수 ella,3.0,음식맛은 좋았으나 주차할곳이 마땅치않았고 남자직원분의 퉁명스러운 응대가 다시 가고픈 마음이 안 들게하네요..
모도리식탁,simple,5.0,"라이스페이퍼, 야채 무료 리필 돼요!양 많고 맛있네요제방문의사 있어요잘 먹었습니다!"
모도리식탁,먹방요죵,5.0,아기와 함께하는 식사도 가능한 모도리식탁😀세심한 배려 감사합니다
모도리식탁,성슐랭,3.0,[지극히 개인적인 평][별점은 단순 맛의 기준]울산대생 입장에서 조금 멀어 아쉬운 부분맛은 괜찮음조금 건강하게 먹고 싶다면 가볼만하다 생각함결론 - 괜찮음
모도리식탁,백석희,5.0,
모도리식탁,뇸뇸,2.0,"잔뜩 기대하고 갔지만 기다리는 사람 줄에 관한 응대가 매우 아쉬웠음.(뚜벅이에게 더운 여름에 밖에서 산책하고 오라함)조금 더 친절하거나, 관리가 잘 되어있으면 .."
모도리식탁,팜,5.0,깔끔하고 너무 맛있어서 놀랬습니다!!정말 최고라고 생각합니다
모도리식탁,먕,5.0,분위기 맛 가격 굿
모도리식탁,러충,4.0,와사비가 나오는 돈까스채썬 양배추 + 사우전드 ...가츠산도중간두께돈가스 소스+사우전드(?)
모도리식탁,쩡,5.0,맛있어요
모도리식탁,ㅇㅅㅇ,5.0,모도리밥상 맛있어요!월남쌈이라 그런가 많아보이지 않는데 항상 다 못먹어요. 양도 괜찮은거같고 맛있습니다.
모도리식탁,동희,1.0,4명이서 왔는데 작은 테이블 앉았다가 4명이면 큰테이블 가라해서 큰테이블 앉았는데 2인세트랑 돈가스 주문하니깐 1인 1주문이라해서  한명 배불러서 안먹는다니 직원 똥씹은 표정으로 알겠다고 하더니 좀 있다 와서 큰 테이블 단체 손님 올 수 도 있으니 작은테이블 가라네요 ㅋㅋ
모도리식탁,도시맛객,4.0,고기 잡내가 많이 났었습니다...그것말고는 괜찮았어요
모도리식탁,도람,4.0,맛있지만 대학로 앞에서는 좀 부담스러운 가격 ㅠㅠ 자주는 못 가서 슬픔
모도리식탁,초이스,5.0,모도리밥상 짱맛! 나머진 평범
