place_id,user_id,score,comment
무거한우마을,메기,3.0,"19.10.09

육회비빔밥과 갈비탕 먹었습니다.…"
무거한우마을,이경순 (밝은햇살),3.0,"고기는 그냥저냥 기본반찬은 물김치, 쌈무, 묵은지 등등은 다 물러서 별로였어요"
무거한우마을,JB KIM,4.0,"매장에서 직접 고기를 사서 구워먹을수 있는 형태의 식육식당같은 곳입니다. 저는 평일점심에 방문해서 사람이 많은편은 아니었으나 주말이나 붐비는 시간대는 많다고 그러네요. 제가먹은 메뉴는 한우국밥이었고 붉은기름기가 도는 시장표 국밥같은 맛깔나는 비쥬얼입니다. 이게 호불호가 갈리는 부분일것 같습니다만, 진하고 강한 맛을 좋아하시는 분이라면 괜찮을것 같습니다. 반찬도 깔끔하게 4개만 나오구요. 제밥 단촐한 구성입니다.…"
무거한우마을,냥이캣맘,3.0,"고기는 좋아요
써비스는년말이라그런지 ~~~~?"
무거한우마을,송영록,5.0,"고기가 부드럽고 육즙이 많아서 좋았어요.
숯불의세기도 적당하고 석쇠가 구리로된거라 좋았어요."
무거한우마을,2 1,1.0,"고기는 A+이라 적혀있으나 A등급보다 못한맛에 질기고 냄새도 조금나고 반찬도 도라지는 쉬어 있었으며 고기맛이 이상하고 질기다고하니
고기에 기름기가 많이 없어서 그런거라 하지를 않나..3년째 두세달에 한번씩은 갔으나 최악 이었네요 처음으로 고기남기고 소주도 반병밖에 못먹었네요"
무거한우마을,윤민관,4.0,"점심특선 최고의 가성비!!
한우국밥 6,900 심지어 맛도 최고~"
무거한우마을,Sangho Lee,3.0,방역관리는 잘되고 있습니다. 문 입구에 있는 정육점에서 고기를 주문하고 안쪽으로 들어가면 초장집이 따로 있습니다. 맛은 보통이고요..
무거한우마을,변동철,1.0,"고기 육질,음식맛 나쁘지않았습니다

점심시간 살짝 피해서 갔는데 한가해서 좋기는 했는데 카운터에 계시던 여자직원분…"
무거한우마을,김건휘,1.0,점심시간에 예약 전화했다고 화내는 집입니다. 서비스 정신이 아예 없는 집입니다.
무거한우마을,이현주,3.0,"넓은 주창장과 실내는 깔끔하고 좋았습니다
갈비살과 음식은 그저 그래요
제 입에는요"
무거한우마을,김종민,4.0,"언양보다 가까움.
주차장 넓음.
소고기질과 맛이 더좋음.…"
무거한우마을,김성진,3.0,"불고기 전골먹었는데 먹을만합니다
처음에는 조금 싱겁고요 시간이 지나면서 진국으로 변하더라고요
주차장넓어서 좋고요"
무거한우마을,진감동,3.0,"고기가 맛있었음. 예전에는 육즙이 가득했으나 요즘들어 고기 질이 떨어졌다고 느꼈고,
특히 냉면은 무슨 한약맛? 이상한 향도 나고 먹어본 냉면 중 최악이라 할만해요.
서비스나 친절은 보통정도 입니당~"
무거한우마을,길세호,1.0,"자주 가던곳 입니다. 처음에 고기 따로 주문하는 식육점은 사람도 바뀌고 매우 불친절합니다.
제가 자영업을 하기때문에 진상들을 가끔 접해서 똑같은 사람이  되지않기 위해 참았는데 기본도 안되어 있는 분들네요.
바닥에 기름기가 흥건하여 사람들이 넘어지는데도 괞찬으냐는 말한마디 대신…"
무거한우마을,짹토,1.0,"가게 안이 뭔가 어수선한 분위기 약간 정신없음
주문넣었는데 한참 안오길래 물어보니 대답안하고 다시 주문받음ㅋㅋㅋㅋㅋㅋㅋㅋㅋ결국 30분 기다림
죄송하단 말도없고 그냥 그렇게 지나감ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ주차장은 넓어서 좋음!"
무거한우마을,마요의15번째 구독자가 되주세요,4.0,"갈비살 보단 살치살이랑 그위에 지방이 적은 부위가 이름이ㅜㅠ..맛있어요. 고기질은 좋으나 홀직원이 조금 부족 한듯, 그러나 가성비 좋은 고깃집"
무거한우마을,이재경,2.0,주문한거 까먹고 몇번을 이야기 해도 음식이 안나오네요 그렇게 바쁜거 같지도 않았는데 그러네요 그러고는 사과한마디도 없고 서비스 교육이 필요한듯 ... 그나마 고기가 괜찮아서 별 두개 드립니다
무거한우마을,김p00,3.0,"우선 서비스가 약간 불만예요.
아무리 채소라도 음식이 담긴 접시위에 또 음식이 담긴 접시를 올리는건 아니네요.
아주 기본상식중에 상식이 아닌가 싶구..…"
무거한우마을,김은미,1.0,"한우마을...
주차하기 좋고,초장집이 넓고,
찬들도 괞찬아서…"
무거한우마을,Cám ơn korea,2.0,친절하지만 일단 숮 품질은 보통 그리고 밑반찬은 다 무난한 어느하나 다른가게보다 특별한건없어요 여기는 회사 대규모 회식에 어울리는 식당이네요
무거한우마을,권효진,1.0,"점심특선으로한우국밥 6천9백원짜리묵었는데....우웍  1천9백원하다고해도안묵어요.  강력비추  약간쓴맛이나고,무우가 국의3분의2  차지...."
무거한우마을,sungung park,1.0,"두번다시 가고 싶지 않은 집.
고기써는 아저씨의 불친절,썰은고기 두께는 왜그리 두꺼운지
동행한 지인인데 얼 마나 미안한지 ..."
무거한우마을,Sienna Hwang,3.0,전반적으로 분위기가 어수선하고 사장님이 좀 인상쓰고 계셨던것 같아요. 음식은 그럭저럭 괜찮았는데 서비스마인드가 약간 아쉬웠어요 ㅎㅎ 개선되길 바래요
무거한우마을,b suwan,3.0,주자 공간이 넓어서 좋았는데 판매하시는분들은 불친절했어요. 그 외에 고기는 보통이고 밑반찬은 맛있었어요.
무거한우마을,HYOUNGROK YOUN,3.0,무거한우마을 직원은 친절 함   무거식육점 고기는 별로임 종류도 적고 가격은 비싸고 고기질은 정말 안좋음
무거한우마을,Jabin Kim,4.0,"고기는 좋은편임 물론 안좋은 날도 아주 좋은 날도 있지만
평균적으로는 좋아요 단지 상차림이 조금 안좋음 개선해야 될것으로 생각됨"
무거한우마을,송상재,5.0,"깨끗합니다 주차가 매우 편리하고 고기는 그럭저럭 먹을만 합니다.
된장찌개 맛있음."
무거한우마을,박병진,1.0,"종업원들이 불친절하네요
재방문의사가 없습니다"
무거한우마을,Frost storm,3.0,고기의 질을 중요시하시는 분에게는 추천하지 않습니다. 따로 모임을 할수있는 룸은 있어서 모임하기에는 나쁘지않아요
무거한우마을,차일호,4.0,"넓은 주차장
초장집 괞찮아요 고기도 나쁘지 않구요 맛도 그럭저럭
다만 고기기름 냄세가 많이 남"
무거한우마을,팍경Life!,2.0,고기가 맛없지는 않지만 너무 넓은 홀은 고기에 집중안되네요^^
무거한우마을,이동규,3.0,"연말이라 그런지.. 사람 엄청 많았고, 그래서인지 직원분들이 모두 바빴음. 그래서 벨을 몇번씩 눌러야 옴."
무거한우마을,김훈경,1.0,육회는 너무 물러서 별로고 냉면은 너무 퍼져서 맛이 없었습니다 그리고 고기가 예전보다 품질이 떨어진 것 같습니다
