place_id,user_id,score,comment
미미옥 울산점,Jihoon Kim,5.0,"+
고수가 아닌 방아를 사용한 서울식 쌀국수
속이 풀리는 맛…"
미미옥 울산점,Min또기,5.0,추울때 생각나는 깔끔하고 따뜻한 국물ㅎ 한국식 쌀국수라 속에 부담도 없어요. 우삼겹 비빔밥도 먹는데 세트라서 구성이 좋아요. 새우고로케도 같이 나오고 공기밥도 반그릇 추가해서 쌀국수 국물에 말아먹으면 완벽한식사 끝ㅎ
미미옥 울산점,식도락(울산 식도락),2.0,"가격대비 양도 별로 국물에서는 육향이 별로안나는 스타일임.
고명인 양지는 괜찬은편이나 주문후20이나 걸리는 데다가 사이드메뉴도 별로고 다시 찾고싶은집은 아님.
차라리 미스 사이공이 더 나음."
미미옥 울산점,Cherry,5.0,울산에서 손에 꼽을 쌀국수 맛집
미미옥 울산점,SK Lee,5.0,푸짐하고 속편한 식사
미미옥 울산점,JK lee,4.0,
미미옥 울산점,댕댕댕댕,3.0,
미미옥 울산점,송희범,4.0,
미미옥 울산점,개,2.0,
미미옥 울산점,박참치,4.0,
미미옥 울산점,youtube 윤로드,5.0,고로케 필수
미미옥 울산점,감사합니다~♡,5.0,쌀국수가 생각나서 왔는데 넘~ 맛있네요. 워낙 싱겁게 먹는 편이라 육수를 더 달라고도 했는데 친절하게 맞춤서비스해주시네요. 쌀국수와 함께 은근히 퍼지는 방아향이 굿~^^혼자 오기도 편해요~^^
미미옥 울산점,NVM,5.0,너무 맛있어요! 추천추천
미미옥 울산점,깜짝맘,5.0,
미미옥 울산점,jjj,5.0,적당한양과 깔끔한맛고로케도 맛있어요
미미옥 울산점,aviatorb612,5.0,애들 데리고 밥 한끼할때 정말 좋아요.재료부터 믿을수있고 맛도 좋아요.
미미옥 울산점,ㅡㅡㅡㅡ,5.0,육수가 참 괜찮.
미미옥 울산점,먹방요죵,5.0,맛있네요. 쌀국수 육수가 감칠맛이 좋아요. 고로케는 다음에 올때 1인당 하나씩 시켜야겠어요.
미미옥 울산점,🤔,5.0,울산 쌀국수 맛집!서울 쌀국수 반상에 명란마요 야채고로케 먹었는데 엄청 든든하고 너무 맛있게 잘 먹었네요ㅎㅎ직원분들도 친절하고 깔끔한 상차림에 너무 만족한 식사였습니다! 꼭 드셔보세요 적극 추천!!
