place_id,user_id,score,comment
바닷가횟집,하수진,5.0,"깔끔하고 독립적인분위기가 제일좋았고 음식도맛있었음.
코스를먹었는데 점심엔 식전 전복죽이안나와서 서운했다"
바닷가횟집,옥상위상추,5.0,"50년 가게를 운영하신 사장님의 맛 정갈함... 대를 잇는 친절한 아드님과 며느님

출장중에 들른 가게이지만 가족들과 함께 꼭 다시오고 싶은 가게입니다.…"
바닷가횟집,이응히읗지읒,5.0,"월요일에 갔는데 만석이라 .. 못 먹고 .. 돌아왔다가

화요일에 재방문했어요 !! 또 못 먹을까봐 예약하고 방문했고 20분이나 일찍갔는데 바로 이용할 수 있었어요 .…"
바닷가횟집,ch wonseok,5.0,"고래고기와 신선한 해산물 자연산 광어 맛이 일품이었습니다

마지막에 봄도다리 쑥국까지...!…"
바닷가횟집,Ne Ma,5.0,7만원 고래 먹었는데 고래고기 원했는데 고래고기가 없었어요 ㅠㅠ.. 제대로 알아보지 않은 제 잘못이라 실망했지만 오히려 더 맛있는 음식이 많아서 더 좋았어요!
바닷가횟집,동섭,5.0,"음식이깔끔하게잘나오네요
어른들이나 회 좋아하시는분들께 추천합니다
회가 신선하고 좋네요"
바닷가횟집,옥수수 혹시좋아하세요?,5.0,"친절하다. 주차가능 합니다 4대 정도
일산지에서 가장 오래된 횟집이라고 합니다
모두 룸으로 되어있어서…"
바닷가횟집,고kokoko,5.0,"룸식당 인데 잘 먹었습니다
회도 깔끔하고 맛있게 먹었습니다!
가격은 쬐끔 비쌈"
바닷가횟집,허광업,5.0,"직원들과구경잘하고 늦은점심으로  싱싱푸짐한회. 해삼.전복.멍게  넘좋았고요 밑반찬도맛입니다  그리고 개별로나오는매운탕 시원하고 맛은 말할것도없고요 직원분들도 친절합니다
맛나게먹고 태와강으로출발 ~~~^"
바닷가횟집,캔탑심상각,5.0,"따뜻한 물을 한잔 들이킬때
이집의 수준을 가늠했다
1977년 역사…"
바닷가횟집,Jonghoon Jeong,5.0,"회를 포함한 해산물 코스 요리 깔끔하게 잘나옴
룸으로 되어 있고 강아지 동반 가능함"
바닷가횟집,서범석,5.0,개별룸이어서 좋고 낡아보이는 외관과 다르게 깔끔한 인테리어 좋습니다. 재료가 싱싱하고 맛도 좋으네요. 직원분들도 친절하십니다.
바닷가횟집,seongjin RA,3.0,"저녁에 코스로는 38천원부터이고 세명이상 이어야 개별룸은 주는것 같습니다 38천원에 몇가지 해물과 회와 식사까지 가능하므로 가성비로는 괜찮다 싶네요
하지만 재방문은 하지 않을것 같구요…"
바닷가횟집,J-Hyeun Ko,5.0,"대왕암에서 차로 5분도 안걸릴 정도로 접근성 좋고, 외관은 허름한데 회와 스키다시가 기막히게 맛있고 신선하며, 50년 동안 지켜온 여사장님의 고객 사랑의 진정성이 배어나는 곳. 3만 5천원 모듬 먹었는데, 모두 만족."
바닷가횟집,Yeo CD,3.0,"예전에 우럭찜을 맛있게 먹은 기억이 있고, 검색해보니 물회도 맛있다고 해서 가봄.
일반물회(￦15,000) 먹었는데, 회 본연의 맛을 좀 더 느낄수 있게 양념이 쎄지않고 심심하게 나옴.
밑반찬도 다 심심함.…"
바닷가횟집,정익진,4.0,1인당 얼마씩의 가격제로서 코스요리를 연상시키는 횟집이었고 골고루 먹을수 있는 횟집이었다.
바닷가횟집,Any Pic,2.0,가성비가 좋진않음 매운탕 비림
바닷가횟집,박현열,4.0,깔끔하고 서비스가 좋았으며 가자미 쑥국 (쑥은 밭에서 직접 재배한다네요) 맛있게 먹었읍니다. 가게도 오픈한지 30년 정도? 주차는 3대 정도만.
바닷가횟집,권혁준,2.0,"주방 상태가 불결함...
가격대에 비해 찬구성이 다양하지 않음...
상품가치가 없는 상추를 먹으라고 줌...…"
바닷가횟집,최선영,4.0,"어버이날 식사하러 갔는데 룸이라서 분위기가 괜찮았다. 코스 음식도 타이밍이 좋았고 음식도 신선했다. 코스 마지막에 주는 매운탕,도다리 쑥국은 좀 아쉬웠다."
바닷가횟집,홍상원,4.0,"1인 전용 가자미 조림을 처음봤습니다! 깔끔하고 맛있습니다! 동구에서 오랫동안 계신 분들과 같이 갔는데, 좋은 집을 추천받은 느낌입니다"
바닷가횟집,이승철,5.0,"저렴한 식대, 친절한서비스."
바닷가횟집,전은정,5.0,친절하구요 맛도 좋고 개인룸이 있어 부담없이 먹을수 있어 좋았습니다~
바닷가횟집,존버다,5.0,간적도 없고 본적도 없는 장소지만 맛있네요
바닷가횟집,최경민,4.0,"사장님이 엄청 친절하세요..

밑반찬가지수는 별로 없지만…"
바닷가횟집,JONG HEON KIM,1.0,회맛이 정말 없어요 요리사 칼 솜씨가 정말 아닌것 같아요 가겨도 비싸고 전체적으로 별로임
바닷가횟집,신용호,5.0,"대왕암, 일산해수욕장 42년만에 아내랑 왔는데...바닷가횟집에 회를 먹었는데, 너무 맛있고 귀족 식사입니다."
