place_id,user_id,score,comment
방이편백육분삼십 울산태화점,Juhyeon Park,5.0,"태화강국가정원 근처 맛있는 편백찜입니다. 점심 특선으로 시키면 저렴하고 편할텐데, 저녁에 가시면 특선은 안될거에요. 2명 기준, 고기 2개와 밥 종류만 해도 충분할 것 같아요! 야채는 숙주 아래 깔려있어서 한 두개만 추가하면 좋아요. 2~3개하면 많아서 저희처럼 남길 것 같습니다.."
방이편백육분삼십 울산태화점,A CHOI,3.0,"담백하고 깔끔함 맛. 쏘쏘.
특별한건 아니고 우리가 아는 그맛.
평일런치세트가 가성비.…"
방이편백육분삼십 울산태화점,원정희,5.0,"깔끔한 홀분위기 음식 또한. 정갈하고 깔끔해요
점심특선으로 된장찌개까지 구수하면서 진하고 맛있어요"
방이편백육분삼십 울산태화점,N ・Y,5.0,"맛있어요:)
가격대도 괜찮고 깔끔해요
가게도 새로 생긴지 얼마 안된느낌이고 ..…"
방이편백육분삼십 울산태화점,yh j,3.0,편백찜이 메인인데 편백 향이 너무 적게 나는것 같아요. 물에 편백 칩을 조금 더 넣어주면 좋겠네요. 맛은 흠... 잘 모르겠어요.
방이편백육분삼십 울산태화점,J B,4.0,"담백하고 좋아요 건강한 식사 느낌
사람 많아서 미리 전화해놓고 가는게 좋을 거 같아요"
방이편백육분삼십 울산태화점,ONNA,5.0,"가격, 맛 모두 좋아요"
방이편백육분삼십 울산태화점,꼬부기,4.0,"깔끔하고 편백향이나는 샤브를 먹을수있어 좋았습니다
소스도 다양하게 나와서 좋았습니다"
방이편백육분삼십 울산태화점,백은경,4.0,담백한 소고기찜이 맛 있었습니다
방이편백육분삼십 울산태화점,최Cy,4.0,구운고기보다 부드럽고  기름튀지않고 냄새않나고 야채도 많이먹을수 있고 친구랑 아님 가족 끼리 즐길수있는 메뉴입니다  깔끔 조용 .좋아요~♡
방이편백육분삼십 울산태화점,미르후니,3.0,"새로운 경험
주차는 불편해요~"
방이편백육분삼십 울산태화점,KangSeok Kim,3.0,"편백향이 나는 식당.
처음부터 이베리코를 하는게 좋을듯..."
방이편백육분삼십 울산태화점,황철수,5.0,좋은 식당입니다 저는 혼자가는 경우가 많아서 7천원 간징새우밥을 먹습니다 식단도 깔금하고 맛도 깔금합니다^^
방이편백육분삼십 울산태화점,김현지,5.0,이베리코 편백찜이 최고였어요. 이베리코 흑돼지의 향기와 편백의 향 자제로도 편안해져요. 미각이 즐거워지는 곳!! 울산 갈때마다 갑니다
방이편백육분삼십 울산태화점,세현,5.0,편하게 고기와 야채를 한번에 섭취가느
방이편백육분삼십 울산태화점,ss쩡쓰쓰,5.0,조용하게 맛있는 점심
방이편백육분삼십 울산태화점,김홍주,5.0,"부모님과 오랜만에 점심을 함께하였습니다.
담백하고, 맛있다고 하시네요."
방이편백육분삼십 울산태화점,윤예준,5.0,스팀에 쪄주는 부드러운 고기와 신선한 야채가 너무 조화롭고 맛있어요!
방이편백육분삼십 울산태화점,VADAR DARTH (Dark Saver),4.0,기름없이 담백하게 좋습니다 근데 간장비빔밥은 좀 비싼느낌 태화강 공원돌고 밥한끼먹고 굿
방이편백육분삼십 울산태화점,현수선,3.0,그냥 그랬어요 서비스는 좋은줄 모르겠어요
방이편백육분삼십 울산태화점,Why not,4.0,안느끼하고 담백하네요
방이편백육분삼십 울산태화점,박대훈,5.0,여기 소고기덮밥 진짜 맛있습니다.
방이편백육분삼십 울산태화점,전미현,5.0,담백하고 맛있어요
방이편백육분삼십 울산태화점,WY jeong,4.0,양은 많지 않지만 맛은 괜찮음
방이편백육분삼십 울산태화점,정재은,5.0,깔끔하고 맛있습니다~
방이편백육분삼십 울산태화점,고봉수,4.0,맛있어요
방이편백육분삼십 울산태화점,김기태,4.0,굿
방이편백육분삼십 울산태화점,서정식,5.0,맛 짱~~^^
