place_id,user_id,score,comment
백년본가김치찜,SUNG MIN,4.0,"세트는 양이 너무 많을 것 같아 단품으로 시켰다.
같이간 일행이 말하길, 2인분과 4인분의 양은 김치양과 고기양의 차이가 크다했다. 그러나 만두개수 비례해서 증가하지않은 것에 서운해했다.…"
백년본가김치찜,Jonghoon Jeong,5.0,"갈비김치찜 밥도둑임!
저녁 셋트는 양도 많고 더 잘나온다고 함"
백년본가김치찜,karas k,4.0,"여기 수육김치찜 최고죠 맛있습니다.
메인 메뉴인 김치찜만 놓고보면 나무랄게 없습니다. 적어도 울산시 원탑입니다.…"
백년본가김치찜,sang min joo,2.0,메인이 김치찜이나 형편없음. 너무 사이드로 주는 음식들에 치중한 곳. 이것 저것 여러가지 먹는거 좋아하는 잡식성 인간들에게 추천함. 허나 김치찜 먹을려고는 절대 방문하지 말것. 고기 양이 너무 적을 뿐더러 사이드에 관심이 없다면 가격도 너무 비쌈. 재방문 의사가 없음.
백년본가김치찜,주머니괴물,5.0,"점심특선 가격이 나쁘지않고 김치가 맛있어서 밥두공기 뚝딱 가능
반찬도 정말 맛있었다 추천해염"
백년본가김치찜,김효현,3.0,"줄서서 먹는 맛집이라해서 다녀왔습니다...
줄서서먹을정도는아니고...
가끔가면괜찮은집
본메뉴 이외에 먹을게없어요..."
백년본가김치찜,겜린이,5.0,김치가 맛있어요 고기를 별로 안좋아하는데 수육이 냄새도 안나고 부드럽고 고소하네요ㅎ
백년본가김치찜,우진,4.0,"파전, 계란찜, 수제비 서비스가 훌륭합니다."
백년본가김치찜,Gael in Korea,3.0,가성비 최고. 세트 괜찮아요!! 그런데 밤에 가서 삶은지 오래돼서 그런지 수육이 좀 많이 맛없어요.... 구래서 별 두개 빼요
백년본가김치찜,김용술,4.0,"☆☆☆.5

요즘 김치찜 요리하는 집이 잘 없던데 괜찮네요.…"
백년본가김치찜,김세영,5.0,1년전에 갔는데 정말 맛있었어요
백년본가김치찜,배병옥 (방랑식객),5.0,점심특선 1인분 8천원 수육김치찜 대박임
백년본가김치찜,noble men,5.0,가격이 약간 있지만 푸짐하고 맛있습니다
백년본가김치찜,조재현,5.0,천기옥 의원님께서 추천해주신 식당입니다. 너무 맛있습니다. 감사합니다.
백년본가김치찜,Any Pic,4.0,"괜찮다 가격은 좀 있지만 음식의 맛,퀄이 높다"
백년본가김치찜,Z Park,5.0,맛도 있고 양도 충분하고 음식도 빨리 나오는 편이라 좋았습니다 여러 메뉴를 즐길 수 있는 것도 장점
백년본가김치찜,ᆢᆢ,5.0,가격대가 있다는것 말고는 좋은 음식점
백년본가김치찜,피터팬피터팬,4.0,"울산 일산지에 위치한 김치찜 맛집입니다.
수육이 냄비 가장자리에 둘러져있고 중간에 잘익은
묵은지가 있어 일반 김치찜과는 다르지만 맛있어요.
1인분에 12008원 식사입니다."
백년본가김치찜,용주조,3.0,"수육김치찜은 맛있음 근데 세트메뉴로 나온게 수육김치찜+순두부미역+파전+계란찜해서 2인37000원 3인 49000원 이런식인데 순두부미역은 좀 밍숭맹숭하고 파전은 두껍고 밀가루 맛이 많이나서 별로
또 세트메뉴 무조건초등학생이상 인원수대로 시켜야되서 아이들과 같이 가면 비싸긴 비싸고 다 먹지도 못하고 남기게 됨 음식물쓰레기 유발 음식점이라고…"
백년본가김치찜,송혜자,5.0,김치찜이 아주 맛있어서 집에 손님이 오면 이곳에서 식사대접합니다.
백년본가김치찜,Yuloh Kim,5.0,비싼곳. 점심이 이래도 될까 싶은데 맛은 있음.
백년본가김치찜,신신승현,4.0,한번은 가서 먹어도 후회는 하지 않을듯 단 김치찜을 좋아하시는 조건 김치외 수육이 어울어져 먹을 만함
백년본가김치찜,박성진,3.0,그저그랫어요ᆢ 파는음식은 늘 짜고ᆢ 순두부는 맹숭맹숭ᆢ 맛잇다고들해도 집에서 먹는거보다는 땡 입니다
백년본가김치찜,today iloveyou,4.0,맛있습니다. 하지만 특색있는 맛은 아닙니다. 또 생각나서 굳이 찾아가진 않을거같아요.
백년본가김치찜,강동형,5.0,역시 최고입니다 강추합니다
백년본가김치찜,SungWook Jung,4.0,세트메뉴 인수대로 시키면 너무 배불러서 다 못먹습니다. 맛은 좋아요!
백년본가김치찜,이인순,5.0,가족과 김치요리찾다가 발견한집이예요 줄서는거 말고는 친절하고 맛도 좋아서 추천합니다
백년본가김치찜,klHan,5.0,밋 있음. 셋트매뉴 양이 너무 많지만 맛있으니 좋음. 다시 가고 싶네..
백년본가김치찜,최진호,1.0,맛이 좀 바뀐거같은? 예전엔 참맛있었는데 ㅠ ㅠ 오랜만에 갔는데 조금 아쉽네요
백년본가김치찜,황동훈,2.0,"배달 하면 좋았겠네요
굳이 가서 드실 필요까진"
백년본가김치찜,김두열 (DY),4.0,가성비 좋은 김치찜 전문점입니다.
백년본가김치찜,jun maximus,5.0,김치찜이 그럭저럭 평타정도겠지라는 선입견을 깨준다
백년본가김치찜,안송자,4.0,손님도 많고 묵은지 갈비찜 맛나요
백년본가김치찜,김현숙,3.0,"아기가 가기는 꽝
주인장들 불친절
맛은 좋아요
^^"
백년본가김치찜,정지은,5.0,수육김치찜 파전 맛있습니다. 미역수제비?도 의외로 맛있었음
백년본가김치찜,Miguel Gonzalez,5.0,"대기할 때도 있고, 맛이랑 양도 많아요"
백년본가김치찜,김유나,5.0,김치찜 진짜 맛있게 먹었어요 엄청 푸짐해요
백년본가김치찜,하하맨,5.0,맛있어요
백년본가김치찜,다빈 (GodPower),5.0,"김치가 정말 예술입니다.
찌짐도 맛나구요."
백년본가김치찜,사공슈터,3.0,파전은 맛있음
백년본가김치찜,박종언,4.0,김치찜 맛나요 파전도좋고
백년본가김치찜,정영순,5.0,집밥먹고싶을때가면좋아요
백년본가김치찜,정승연,4.0,점심한끼 하기 좋은곳입니다
백년본가김치찜,김준현,5.0,"두번째 방문이고, 여긴 맛집 인정"
백년본가김치찜,김정록,4.0,맛집으로 점심식사 시간에는 대기 해야함.
백년본가김치찜,온누리TV,4.0,"웨이팅이 길었음
맛집이라고는 하나 쏘~쏘~"
백년본가김치찜,정주영,5.0,항상 맛있게 먹는 곳!
백년본가김치찜,jh yoo,4.0,"맛, 가성비 짱짱"
백년본가김치찜,Beomsoo Kim,4.0,맛있는데 조금 짜요
백년본가김치찜,식도락(울산 식도락),3.0,그냥저냥 먹을만은한데 두번가고 싶지는 않은집
백년본가김치찜,김태욱,2.0,김치가 너무 짭니다
백년본가김치찜,정정채화,5.0,아주 맛집이네요
백년본가김치찜,Jin,5.0,먹을만하네요
백년본가김치찜,Woodong Kim,5.0,아주좋습니다
백년본가김치찜,김희원,4.0,예약이 안됨
백년본가김치찜,이수현,4.0,맛있어요
백년본가김치찜,정석현,5.0,너무맛남.한번가보세요
백년본가김치찜,김MJ,5.0,겁나 맛있음
백년본가김치찜,정인태,5.0,맛있습니다
백년본가김치찜,정효석,3.0,그럭저럭
백년본가김치찜,김건태,5.0,존맛탱
백년본가김치찜,Lauren Turner,5.0,"Oh my goodness, absolutely the best kimchi Jim of my life! We came here on a Saturday evening for dinner, and got the set meal which was definitely enough food for two people, in fact it was too much for the two of us. We loved it so much that night, the next morning we came for an early lunch! A must eat if you are in Ulsan!"
백년본가김치찜,스닠왇SNIKWAD,4.0,전 맛있었어요. Kimchee is too sour for me. Meat was okay.  Expensive thou.
백년본가김치찜,Kevin Pope,5.0,Very popular! Good service! Very delicious especially with soju!
백년본가김치찜,Munsu Yang,5.0,
백년본가김치찜,Hilder Frederick,5.0,
백년본가김치찜,Woohyun Noh,5.0,
백년본가김치찜,조영우,5.0,
백년본가김치찜,WONCHEOL KIM,4.0,
백년본가김치찜,김민규,4.0,
백년본가김치찜,조병호,5.0,
백년본가김치찜,김경식,5.0,
백년본가김치찜,이미정,5.0,
백년본가김치찜,김승후,4.0,
백년본가김치찜,김홍년 (하얀추장),4.0,
백년본가김치찜,최재필 [JAE-PHIL CHOI],5.0,
백년본가김치찜,살사리꽃,3.0,
백년본가김치찜,김현우,5.0,
백년본가김치찜,권태윤,5.0,
백년본가김치찜,킴흐앙,5.0,
백년본가김치찜,신선호,5.0,
백년본가김치찜,조병국,5.0,
백년본가김치찜,김현희,4.0,
백년본가김치찜,오재영 (제이와이오),4.0,
백년본가김치찜,이채훈,5.0,
백년본가김치찜,se-yeon Geum,4.0,
백년본가김치찜,오홍식,4.0,
