place_id,user_id,score,comment
뱃고동횟집,김시율,5.0,물회 양도 많음 음식도깔끔하고 빨리나오고 좋네요!
뱃고동횟집,다대주민,1.0,가본 식당중에 최고로 불친절한 곳입니다. 남자 사장님 말투부터 화가 나 있고 너무 불친절해요
뱃고동횟집,배고파,1.0,맛도 없고 양도 적음 회센터가세요
뱃고동횟집,어지간하면 별5개 줌,1.0,
뱃고동횟집,도도,5.0,
뱃고동횟집,이종문,3.0,저도 자주가는 곳 이었지만 지금은 외국인 이  서빙하고 불러도 지들끼리 수근수근 그래서 이제는 자주안가는 편이네요 그래도 점심 시간에는 붐비네요 맛은  좋은대 가면갈수록 옛날이 그리워지네요
뱃고동횟집,한우명가소풍,5.0,
뱃고동횟집,해운대,1.0,여긴 해가 갈수록 달라지는 식당중 하나입니다 회도 비싸졌지만 양도 줄었습니다 홀에는 서빙(외국인) 하는 애들만 있고 식당 들어와서 나갈때까지 손님맞이하는 한국인은 없습니다 바로 뒷손님들은 큰소리로 얘기하며 식사하니 이리저리 부담스러웠네요맛은 무난합니다만 셋팅중 테이블 위에 떨어진 채소를 보는앞에서 손으로 집어 담아주는 식당 처음봅니다 이집 사장은 당췌 뭐하는지...
뱃고동횟집,y,4.0,"알밥,덮밥,물회,비빔밥 중에서 드세요.회만 먹으러가는건 비추."
뱃고동횟집,승리,1.0,양적고 불친절해요 비추
뱃고동횟집,예종구,4.0,"바다풍경도ᆢ좋고,회(도다리)맛도 조쿠요ᆢ제피향이 그윽한 열무김치.대박더 달라 하니,가득!인심도 짱!"
뱃고동횟집,정석원,5.0,행님덜 여기횟집 진짜맛잇음 성게알비빔밥 지리구연 물회도 육수도 많이줘서 밥두그릇 뚝딱 남자둘이가서 배터지게먹음
뱃고동횟집,고승현,5.0,정말 맛잇게 잘 먹고가요~~~ 양도 많고 반찬도 맛잇네요
뱃고동횟집,민돌~!!,2.0,양이 작아요.. 매운탕 맛있어요. 3인 감성돔 볼락 나왔는데.. 막회처럼 썰어나와요  고구마 맛있네요~ ㅎㅎ
뱃고동횟집,송민영민영,5.0,존맛탱 23년동안 먹어본 물회중에 레알지리는각 인정? 어인정 동의? ㅇㅈ아니고 보감
