place_id,user_id,score,comment
베테랑바베큐 삼산점,Martin Ahn,4.0,"자주 방문하는 캠핑 분위기 맛집 입니다
수입고기지만 부드럽고 맛도 좋아요
2명 가시면 2인분만 먹어도 충분하고 쌈장찌게 반드시 시켜서 먹으면 좋아요
다만 가격은 조금 비싼편 입니다"
베테랑바베큐 삼산점,Jae Hun Nam,5.0,"약간 캠핑장느낌도 나고, 고기맛도 좋아요~~"
베테랑바베큐 삼산점,이경미,4.0,음 나름나쁘지않았어요 계속 손이가서 살에게 미안한정도?...
베테랑바베큐 삼산점,박성범,3.0,"코로나19 전 후 비교 했을때 고기 질 차이가 많이 나요.
현재 빛깔도 회색 빛깔도 보이는 듯 하고요.
레어 미디움으로 구워서 먹어도 비린 맛이 납니다.
제가 먹은건 안거미살이에요. 부드러운걸 좋아해서요."
베테랑바베큐 삼산점,울산점.,3.0,"고기 너무별로임
가격도 저렴한편도 아님
묵사발맛있음
쌈장찌개 먹을만함"
베테랑바베큐 삼산점,조정배,5.0,"신선한 고기가 졸깃해
넘 맛나요"
베테랑바베큐 삼산점,국시방,5.0,자꾸 생각나요~
베테랑바베큐 삼산점,김아람,4.0,"맛있습니다.
가끔 회식이나 회사 번개로 먹습니다.
예전엔 첫 판은 구워주셨는데, 이제는 그렇지는 않네요. 안거미가 맛있습니다."
베테랑바베큐 삼산점,흑금성,3.0,세명이 먹어서 이쯤이서 잘 먹었네 생각해서 얼마 나왔는가 봤는데 15만원....뭘먹은거지? 맛있는데 부담됨
베테랑바베큐 삼산점,H MIN P (superbu),3.0,캠핑 느낌을 원하시면 한번 가보세요 소고기를 드럼통에 숯을 넣어서 직접 구워서 먹을수 있어요
베테랑바베큐 삼산점,Dong-hun Jeon,5.0,"엄청난 두께에 생삽겹살~ 맛이 정말 좋고요, 친절한 젊은 직원들이 직접 구워주는 서비스~ 최고의 돼지고기집"
베테랑바베큐 삼산점,조민정,2.0,"생각보다 맛이 별로였어요.
신맛과  단맛위주였고  목살은  구웠을때  퍽퍽한 느낌이라  다  안먹고왔어요"
베테랑바베큐 삼산점,이상현,4.0,안거미가 맛있어요. 소고기 저렴(?)하게 먹기 좋음.
베테랑바베큐 삼산점,호랑무당츄 (츄안이쁨),5.0,저렴하게 맛있는 소고기를먹을수있는공
베테랑바베큐 삼산점,어이가없네개쉣키가,4.0,가격이 조금나가지만 맛있어요.
베테랑바베큐 삼산점,갈비 부계정,1.0,"단가가 아주 높은데 서비스는 빵점이였습니다
도착해서 음식을 준비하는데까지 엄청난 시간ㅇㅣ 걸리고 손님들을 케어해 주지 않았습니다"
베테랑바베큐 삼산점,광탁진,4.0,메뉴가 저마다 맛이 있어서 좋았고 직원분들이 친절해서 즐거운 식사시간이었습니다.
베테랑바베큐 삼산점,김민주,4.0,고기맛있는데 묵사발은 무슨맛인지모르겠어요ㅎ
베테랑바베큐 삼산점,Sangcheol Kim,5.0,맛있습니다. 소고기 추천드림!!
베테랑바베큐 삼산점,sang in lee,4.0,맛있어요. 된장찌게 좋네요
베테랑바베큐 삼산점,이재환,4.0,자리도 넓고 캠핑하는 느낌이였습니다. 고기는 안거미가 맛있습니다.
베테랑바베큐 삼산점,송영걸,5.0,"본점인 간절곶과는 다르게 직원이 구워줌
고기 맛도 본점과 똑같이 맛있음"
베테랑바베큐 삼산점,정태현,5.0,"가격도 적당하고 맛은 보장합니다.
특히, 쌈장찌게는 무조건 드셔야 됩니다."
베테랑바베큐 삼산점,코맹,5.0,뭔4.2점이야 건방지게 여긴 최고 존엄이여 이거뜨라
베테랑바베큐 삼산점,파르크파파,3.0,"내입맛엔흑우가별로... 좌송햐욤
냉면 최고.."
베테랑바베큐 삼산점,Matthew Sang,4.0,분위기기 좋고 고기도 맛있네요 ㅎ
베테랑바베큐 삼산점,송채원,3.0,고기 자체는 맛잇으나 가게가 좀 어수선한 느낌
베테랑바베큐 삼산점,오리미운,3.0,된장찌개가 맛이 넘 좋아요
베테랑바베큐 삼산점,SAKL,3.0,그냥저냥. 고기질은 가격만큼인거 같음
베테랑바베큐 삼산점,아니아니그거아니,4.0,"돼지목살 먹었음
맛있는데 고기 꾸는게 조금 불편"
베테랑바베큐 삼산점,김호,5.0,안거미살이 살살 녹음~~ 강추
베테랑바베큐 삼산점,Dodson jack,4.0,맛잇어요..수입이 이렇게 맛잇다니 ㄷㄷㄷ
베테랑바베큐 삼산점,KR JANG,5.0,흑우 숯불에 구워서 술한잔~~꿀맛입니다^^
베테랑바베큐 삼산점,Kyeong cheol CHA,5.0,쌈장찌개가 대박입니다
베테랑바베큐 삼산점,SRI JH,5.0,"울산 맛집 중 하나!!!!
맛있어요 추천 합니다."
베테랑바베큐 삼산점,남윤상연,5.0,맛이좋아요
베테랑바베큐 삼산점,donna yamaha,5.0,맛있는음식 고기 가성비최고
베테랑바베큐 삼산점,김진영,4.0,고기 최고에요^^
베테랑바베큐 삼산점,정정규,5.0,숯불에 두툼한고기..끝내죠
베테랑바베큐 삼산점,이기현,4.0,고기 괜찮음  손님많음
베테랑바베큐 삼산점,심우화,4.0,고기 굽기 시설이 좀~
베테랑바베큐 삼산점,YU Lee,4.0,맛있고 캠핑장같은 분위기
베테랑바베큐 삼산점,이종훈,3.0,양도 많고 그럭저럭 괜찮음
베테랑바베큐 삼산점,최대근,4.0,양많고 맛있어요~~
베테랑바베큐 삼산점,김민섭,4.0,음식 맛나요^^
베테랑바베큐 삼산점,이민규,5.0,최고의고기집!!!!
베테랑바베큐 삼산점,Dongsu Kim,4.0,맛있는 고기집..
베테랑바베큐 삼산점,김명규,5.0,굿.
베테랑바베큐 삼산점,Yeonkyeong Ryu,3.0,맛있는데 비쌈
베테랑바베큐 삼산점,bongbong ha,4.0,맛있어요
베테랑바베큐 삼산점,rei seo,3.0,전보다 못한 맛
베테랑바베큐 삼산점,Sangil Yeo,4.0,괜찮아요.
베테랑바베큐 삼산점,윤직구,4.0,맛남
베테랑바베큐 삼산점,최성호,3.0,그냥 저냥
베테랑바베큐 삼산점,Dongman Lee,4.0,그저그런 소고기
베테랑바베큐 삼산점,LEE CHUNSEOP (누군가의행복),4.0,고기 좋아유
베테랑바베큐 삼산점,살람살람,5.0,고기 맛집!
베테랑바베큐 삼산점,Chevalier 1005,4.0,미국산 흑우
베테랑바베큐 삼산점,최병석,4.0,비싸지만
베테랑바베큐 삼산점,green forest,5.0,소고기다
