place_id,user_id,score,comment
본참치,이성곤,5.0,"이제까지 먹은참치는 참치가 아님
정말부드럽고 소고기같은 맛이남
생각보다 가격은부담스럽지만  돈이안아까움…"
본참치,또잉,4.0,"점심특선으로 3인 5만7천냥이에요.
음식퀄리티가 좋고 룸이어서 독립된 공간에서 식사할 수 있고
직원분도 친절하세요~…"
본참치,윤성호,4.0,"가격이 다 올라서 9만원짜리가 99.000원하네요.
랍스타나오고 괜찮네요.
호계황금참치랑 비교하면 황금참치는 금가루를뿌려주고 참치초밥.조림 이런게나오고 본참치는 튀김이랑 회조금나오고 랍스타나오고 그정도입니다.…"
본참치,H.M. LEE,5.0,점심코스를 먹었는데 회나 다른 음식도 맛있고 구성도 충실한 느낌입니다. 손님과 조용히 식사하기에 나쁘지 않습니다.
본참치,Eric Do,4.0,"9만원 코스요리먹음
참치의 경우 부위를 명확히 모르지만 참치내장으로 만든 소스와 같이 먹으니 맛있었음.
랍스터 회를 처음먹어봤는데 탱글탱글하니 맛있고, 같이 나온 폰즈소스 굳굳"
본참치,땡실이,5.0,엄마생신 ~ 동생네가 예약하고 난 그냥 가기만 ㅎㅎ 날것을 안 좋아해서 저는 모르겠지만 가족들은 1인 12만원 코스 그럭저럭 잘 먹었쑵니닷 근데 돈에비해 떨어지는듯한 너낌~ 특별히 좋은것도 모르겠고 더 저렴한 코스랑 만족도가 별 다를게 없었음
본참치,대윤 / DaeYun,5.0,일식 파인다이닝. 참치랑 랍스타를 동시에 먹으니 양이 많아서 배가 터질것 같으니 유의
본참치,고종주,3.0,여기는 그냥 일반 참치집 보다 분위기가 고급 참치 편하게 먹을거면 울산 참치 골목 이집은 약간 상견례자리 아니면 접대 분위기 제 생각이고 입 맛은 다 다르니 드셔보시고 판단
본참치,김은영,5.0,다찌자리빼곤 모두 룸으로 되어있어서 좋고. 음식도 깔끔하고 친절하시고 맛있습니다
본참치,류씨가문,5.0,룸이아닌 닷찌?자리를 예약해서.. 걱정했는데 주방장님이 너무 잘 설명해주시고 서비스도 주셔서 너무 잘먹고 갑니다. 배가불러서 마지막에 식사는 못했네요  다시 오고싶은 곳이에요 !
본참치,Hyun Jun Jang,5.0,"그냥 가서 드세요
후회하지 않습니다.
무조건 드세요
한번 방문하면 단골각~~~!!!"
본참치,SANGHO LEE (Shawn),4.0,접근성이 좋고 대체로 맛나요 가성비는 그저그래요.  화장실 깨끗하고 직원분들 친절하세요
본참치,JUNGHA YI,5.0,"진짜 친절하고 맛있었어요.
가족들 대접해줄라고 갔는데 대접받는 느낌이엿습니다."
본참치,김근우,5.0,"정갈한 반찬, 좋은 분위기, 훌륭한 서비스 울산에서 마제소바가 가장 맛있는집이라고 생각합니다."
본참치,이강훈,5.0,서비스도 좋고 맛도 좋아요.
본참치,이은정,5.0,런치 초밥세트 3만원인데 가성비 좋은듯 합니다
본참치,seunghwi hwang,4.0,점심 특선 2만5천 구성 좋네요. 초밥의 퀄리티 최곱니다!
본참치,TERMINATOR 2,4.0,괜찮긴한데 블로그등에 나온것처럼 되게 좋은 정도는 아님
본참치,꾸이,3.0,"두번째 방문 입니다.
두번다 9만원짜리 먹었는데요.
참치나 해산물 특수부위 같은 비릿한 것도 잘드시지 않는다면 안맞을수도 있겠네요.…"
본참치,블랙말랑카우,3.0,vip 코스 먹었는데 ...그냥 그런거 같아요
본참치,이진호,5.0,맞있는 참치에 좋은 사람과 기분 좋은 술 한잔
