place_id,user_id,score,comment
부조화,코뿌리,5.0,2022.04.03 방문느끼하다길래 죠금 불안했음 근디뭐가 느끼하다는 지 하나도 모르겠음배도 적당히 부른뎅?갠적으로 뇨끼가 진짜맛있었음! 스테이크도 부드러웠음불만만 많으신분들 걍 국밥드셔야할듯?
부조화,장희빈,5.0,자주 가는 곳 ~ !
부조화,와이라노,5.0,한달 전쯤 1층에 자리 없어서 2층을 이용했는데 직원분들 정말 친절하고 분위기가 좋았어요 음식도 맛있었고 너무 기분좋게 먹고 나와서 주위에도 추천하고 다녀요 굿굿
부조화,예아,5.0,맛있어요
부조화,김민주,1.0,맛있다고 해서 갔는데 간이 안되어있고 모든 음식이 느끼했습니다. 가격은 비싼데 맛은 평범 이하입니다.
부조화,제이,3.0,비싸고 양이 적어요 맛은 평범 분위기는 좋은데 직원분 서비스가 아쉽네요
부조화,고독한미식가,2.0,뇨끼 에바 아니냐너무 느끼하다. 리마리오 데려와도 이건 못먹어그래도  리조또는 잘 먹었다본죽에서 닭죽 사와서 부은거 같은데그래도 분위기 때문에 봐줍니다
부조화,고독한시식가,4.0,나는 뇨끼 생각보다 별로였음 그냥 파스타 시킬껄한번쯤 먹어볼만한 뇨끼 ㅇㅇ 맛은있었다치킨리조또는 처음엔 맛있었는데 점점 닭죽느낌분위기가 정말 좋다
부조화,@-@,5.0,크림 진짜 맛있음
부조화,Jessie,4.0,가격이 센만큼 맛있네요!뇨끼를 못먹어서 아쉽네요ㅜㅜ 또 가야징주차장이 협소하긴 해요~
부조화,김군,5.0,맛있게 먹었습니다 다음에 울산 올 일 있으면 다른 메뉴도 먹어보고 싶네요!
부조화,꾸우루,5.0,존맛
부조화,마이따마이따,5.0,다녀온지 좀 된 집인데 다 맛있었던걸로 기억함 직원분이 친절하고 가게가 깨끗했음
부조화,민쩌리,4.0,"맛있는 식전빵, 맛있는 뇨끼"
부조화,형이,5.0,맛나유 기맥히요
부조화,우디,5.0,"분위기 좋고 식사도 너무 맛있었습니다 :) 연어스테이크, 라자냐 먹었는데 둘 다 맛있었어요. 번창하시길 ㅎㅎ"
부조화,하야호요히,5.0,분위기도 좋고 음식맛도좋네요. 기대안하고 시킨 리조또 제일맛있었어요 ㅋㅋ 라스트오더가 8시 30이라 조금 아쉬웠던거빼곤 대만족입니다
부조화,엉덩이흔드록바,5.0,맛있었어요
