place_id,user_id,score,comment
산갈래닭갈비 화봉점,약셀코리아,4.0,"맛은 보통 맛과 매운맛(불닭보다매움)이 있는데 주문조정을 통해 섞어서 매운맛을 조절하셔야합니다. 지금까지 3번 방문하였습니다만 개인적으로는 보통맛2인분에 매운맛1인분이 저에게는 적당했던것같습니다.
조리시간이 25분 정도 소요됨으로 꼭 방문전 예약하시고 방문하실것을 추천해드립니다."
산갈래닭갈비 화봉점,면봉TV,5.0,"[ 산갈래닭갈비 ] 식사 후기

1. 위치 및 주차…"
산갈래닭갈비 화봉점,burke kim,1.0,맛을 떠나서 청결도 면에서 최악입니다. 상추를 털어보면 검은색 물이 나오고 상추는 재활용을 한것인지 여기저기 짓눌려서 상태가 안좋더군요. 실내 인테리어 상태도 엉망이며 불판 밑 가스레인지 주변에는 왜이렇게 위생이 엉망인지. 다시 방문 안하고 싶으며 먹으면서도 찝찝하네요. 음식 재활용은 절대 하지 말아야 할텐데 의심을 안할수가 없네요. 다른 테이블 음식 치울때 보니 상추 깻잎 고추는 안버리고 곱게 모아가더군요. 직원분들은 또…
산갈래닭갈비 화봉점,김봉수,4.0,"음식은 매우 훌륭했다.
그러나 2월23일에 방문한 남자3명이 성매매충이여서 식사내내 불편했다.
창원 일산을 언급하며 가격이 다르며 등등 식사내내 성매매 이야기를 하며 귀를 불편하게했다.…"
산갈래닭갈비 화봉점,JU K,3.0,"카레맛?이 좀 강함.. 개인적으론 별로였음
네이버 예약으로 하고 가면 음료도 주고 기다리는 시간도 줄일 수 있음. 그냥 가면 20-30분 기다려야함."
산갈래닭갈비 화봉점,차병근,5.0,"울산에서 산갈래닭갈비는 화봉동이 쵝오!로 마시쪙
병영점은 카레가루를 쓰는지 카레맛이 나던데 그거보단
여기가 훨씬 맛있구 카톡으로 미리 도착시간이랑 메뉴/인원 말해주면 음료수1병이 꽁짜! 닭갈비최애집"
산갈래닭갈비 화봉점,a.k choi,5.0,정말 맛있어요 사장님 친절하시고ㅡ 진짜 생각나는 맛♡
산갈래닭갈비 화봉점,anjune9,4.0,"조리시간이 길기때문에 미리 주문하고 방문해야합니다. 꼭 꼭 미리예약할것
그리고 닭갈비 특성상..옷에 냄새 베이는것은 ..  어쩔수없다는점..  맛은 좋습니다."
산갈래닭갈비 화봉점,원유진,5.0,생각나는 맛입니다 완전 강추!!
산갈래닭갈비 화봉점,최희승,3.0,물김치가 냉면육수 식초맛이 너무 강하네요 닭갈비 야채가 숨이 너무 죽어서 기존 닭갈비랑 틀리네요
산갈래닭갈비 화봉점,당무늘보,4.0,닭갈비가 먹고 싶을 때 자주 찾는 곳입니다. 몇 년째 가고 있는데 맛은 변함없구요. 다만 주차하기가 불편한 점이 걸리네요. 조리시간은 30분 정도 걸리니 미리 주문하고 가시길 추천합니다.
산갈래닭갈비 화봉점,YeongIn Kwon,3.0,예약 안하고 가면 음식 나오는데 까지 30분은 걸립니다. 조리를 다 해서 줍니다. 사장님은 엄청 친절하십니다. 사리를 최초 주문할 때 말고는 추가할 수 없습니다. 테이블에 있는 가스렌지 주위로 음식물 찌꺼기가 많습니다. 벽지 곰팡이도 그렇고 위생에도 신경을 좀 더 쓰면 좋을 것 같습니다
산갈래닭갈비 화봉점,황규진,4.0,"맛은 있는데 가격이 너무 비싼거같아요
식사용이라기보단 술안주값으로 보는게 맞는거 같습니다.…"
산갈래닭갈비 화봉점,Wan soo Na,2.0,오리지날 닭갈비와는 거리가 있어 보입니다. 테이블에서 직접 조리가 아니라 직원이 조리를 해서 갖다주는데 닭갈비맛보다는 퓨전에 가깝더군요~ 개인적인 입맛에는 별루 ㅡㅡ
산갈래닭갈비 화봉점,김지민,5.0,#연중무휴 #친절한 사장님 #카톡예약 음료 서비스
산갈래닭갈비 화봉점,시루,3.0,맛도 밍밍하고 시간도 오래 걸리고 사리추가 안되시고요~ 닭갈비 치곤 맛없는곳이니 맛있다는 생각을 버리세요.
산갈래닭갈비 화봉점,신초tv,2.0,후추향 강하고 미리예약은 비추 쫄면이 국물을 다 빨아먹어서....  야채 좀 몇번 시키면 좀 더주지를...  미안해서 한 세번시키고 못시킴 바구니에 깻잎 세장인가 다섯장인가 들어있음....근데 예약안하면 또 늦다해서.... 차라리 그냥 주면 안됨? 끓이면서 먹게롱 빈테이블에 끓고 있는게 차라리 맛나보임 그게 아니면 이제 안감....
산갈래닭갈비 화봉점,조원호,3.0,맛있다. 마케팅을 냄새로 한다. 주변에 가면 그냥 이 냄새가 난다. 그런데 비싸다. 닭갈비 특성이란게 있겠으나...
산갈래닭갈비 화봉점,백지혜,2.0,"주인분이봐뀌셨는지..맛이너무변했더라구요ㅠㅠ
돈아까워서음식못남기는신랑도결국젓가락놓구나왔어요..
재방문은없을듯해요.."
산갈래닭갈비 화봉점,윤미니영이맘,4.0,"신선한 재료~ 친절한 서비스~ 즉석조리로 40분이 걸리니, 예약시 사리 포함 시간계산 하세요~"
산갈래닭갈비 화봉점,윤예준,5.0,닭갈비 양념이 너무 맵지도 않고 싱겁지도 않아 먹기가 딱 좋았어요. 볶음밥도 강추합니다!!
산갈래닭갈비 화봉점,박용훈,3.0,"조리하는데 오래걸려 예약하고 가는게 좋음
사이드 메뉴가 없는게 아쉬움"
산갈래닭갈비 화봉점,황영승,1.0,솔직히여기별루네요ㆍ조리시간도많이걸리고요ㆍ약도적어요ㆍ술한잔ᆢ거기까지예요
산갈래닭갈비 화봉점,Nev G,4.0,밥 먹으러 간지 오래됐는데 닭갈비 다 먹고 볶음밥 추가해서 먹었었는데 맛있었어요.
산갈래닭갈비 화봉점,허복길,5.0,경주 산갈래랑  쬐금 차이있던데 그래도 맛났네요
산갈래닭갈비 화봉점,농농,5.0,"언제가도 jmt♡
쫄면사리강추! 예약하고가면 음료도 서비스로 줘욥"
산갈래닭갈비 화봉점,박현석,5.0,치즈 토핑은 필수ㅋㅋ
산갈래닭갈비 화봉점,Namgyu Yim,3.0,"일반적인 닭갈비집.. 사장님이 친절하고 괜춘..
닭갈비 냄새가 진하게 베임"
산갈래닭갈비 화봉점,유은주,4.0,"맛있어요.
예약하고 먹어야 많이 안기다려요."
산갈래닭갈비 화봉점,김종학,4.0,춘천의 맛을 느낄수 있으며 젊은 사장님이 열정적입니다
