place_id,user_id,score,comment
생선구이생생,SH Lee,3.0,"싸고 맛있고 기본 안주도 너무 훌륭해요
밥 먹으러 왔는데 와보니 주점이네요 ㅎㅎ
거의 대부분 20대가 술 먹으러 오는 곳이네요^^…"
생선구이생생,장성민,5.0,언제나 갈때마다 친절한 이모님들과 맛있는 음식에 기분좋게 술한잔하며 식사까지도 가능한 곳. 울산에 술집을 한군데만 가야한다고 하면 바로 여기.
생선구이생생,정수웅,4.0,"넓은 자리들과 (서비스도 주시는) 친절한 직원분들이 있는 곳입니다. 닭구이도 맛있고, 다른 안주들도 좋아요ㅎㅎ"
생선구이생생,희린,5.0,"여러분 여기 가시면 닭구이 꼭 드세요ㅠㅠㅠ 진짜 후회는 안 하실듯.

막 맵지도 않아서 매운 거 못 드시는 분들도 맛있게 드실 맵기에다가... 마요네즈...…"
생선구이생생,김억년,5.0,"생선구이집이지만 생선먹는사람  없어요^^
닭구이가  맛있고  가끔씩  라면도  하나씩 먹는데 분위기가  참 좋고  술  잘들어갑니다
서비스로  주는  계란말이도  맛있구요.…"
생선구이생생,뷰티정,5.0,"가격대비 고 퀄리티인것 같아요
평소에 자리가 없는데 요즘은 코로나땜시 조용한편 이었어요.가족모두 좋은시간 보내다 왔네요^^"
생선구이생생,탤,4.0,닭구이 맛있어요! 웨이팅이 좀 있습니다. 시끄러운분위기니 조용한 분위기 원하시면 비추
생선구이생생,Jonghoon Jeong,5.0,"매콤하게 양념된 숯불 닭요리 마요네즈에 찍먹 대박.
메뉴 이름은 까먹었음."
생선구이생생,장현구 (그의여행),5.0,김치찌개 2인분이 4인분과 같은양이였습니다.장사가 잘되는곳은 그만한 이유가있다고 생각합니다. 김치찌개외 닭갈비도 추천드립니다
생선구이생생,S.H. Park,4.0,맛과 가성비는 좋은곳  젊은층이 많아 자리잡기 힘들고 조금은 시끄러우니 참고하시길
생선구이생생,전아율,5.0,"'생선구이생생'이지만 아무도 생선은 먹지 않음
김치찌개 아주아주 맛있어요 3인분 양에 2만원
서비스 계란말이 = 맛있음…"
생선구이생생,순댓국집,3.0,사람많고 자리는 엄청넓습니다 하지만 깔끔하다는? 잘모르겠습니다
생선구이생생,진짜사나이,4.0,양이 혜자 찌개집에서 술은 처음먹었는데 3~4명이서 하나시켜도 괜찮을만한 집이고 일찍가야함 6시 넘으면 줄서서 들어와야함
생선구이생생,메기,4.0,저렴한 안주가격이 강점이고 종류도 다양합니다. 술먹을겸 배채우기 좋아요. 젊은친구들이 많이 찾는  편이고 주말밤에는 보통 테이블이 없어서 ㄱ
