place_id,user_id,score,comment
선바위한우불고기,닭한마리밥한공기,4.0,"잘 먹었어요
근데 투플인데 맛있는지 모르겠어요
특수부위가 많이 준비되어있지않아 아쉽네요…"
선바위한우불고기,Chumbak,2.0,룸을 예약하고 갔습니다. 여러가지 찬이 나오고 숯을 주셨는데.. 불을 껐음에도 숯의 불이 너무 세서 고기가 속이 익기도 전에 겉이 타서 제대로 구우려면 불판이 데워지고 나서도 20분은 기다려야 할것 같았습니다. 불판은 일회용을 쓰는거 같았는데 고기가 불판에 달라붙어 고기가 찢어졌습니다. 여름이라 에어컨을 틀어놨는데 그때문인지 아니면 흡기가 약했는지 고기를 굽는데 화생방을 하는것처럼 연기가 자욱했습니다. 그때문에 룸이지만 문을…
선바위한우불고기,또도깨비 (울산s자나),2.0,"음식은 평범한것 같은데
제법 분위기도 있고 가격도 조금 있는데
와사비도 없고 있어도…"
선바위한우불고기,조진영,5.0,부모님 모시고 갔었는데 고기도 연하고 밑반찬도 깔끔해서 좋았습니다.
선바위한우불고기,Seungcheol Lee,5.0,부모님 오시거나 중요한 사람이랑 든든하게 먹는곳 +_+
선바위한우불고기,무릎탁!,4.0,"갈비탕도 맛나고 고기도 맛납니다.
2층은 경치가 아주 좋은데, 단체 예약만 받습니다.
꼭 3 4 명이 가도 2층에 자리 줄 것 처럼 얘기하는데 거짓말입니다^^"
선바위한우불고기,김상균,4.0,"비싸긴 한데 맛도 좋았음
특별한 날에 가시면 좋을듯"
선바위한우불고기,핑크요정 (핑크요정),3.0,"고기는 맛있고
가격은 보통
밑반찬도 깔끔하고 맛있습니다.…"
선바위한우불고기,FILEX,4.0,"고기 맛있네요 갈비탕도 괜찮습니다.
고기를 눈앞에서 저울을 달아 직접 썰어서 줍니다.
자리를 잡으시고 고기를 사야하는 번거로움이 있지만…"
선바위한우불고기,정현태,5.0,음식 맛있고 분위기도 좋아서 자주 깁니다.근데 파리가 날아 다녀서 신경 좀 쓰이네요.
선바위한우불고기,쿠마몬,3.0,불고집치곤 깨끗한 미관입니다. 상차림따로 고기따로 가격이 비싸서 그렇지  ㅋㅋ
선바위한우불고기,울산가이드,3.0,"가격은 적당함. 주차장 평범함.

분위기는 좋은데.. 직원 아주머니 친절하지않고..…"
선바위한우불고기,이윤영,4.0,"갈비탕 /  고기가많고 깔끔하나 고기가 많은만큼 가격이 비쌈
맛은 있어서 한번씩 갈듯
소고기 가격도 있는편이라 테이크아웃은 비추"
선바위한우불고기,한동균,5.0,"전망 좋은곳에 새단장 깨끗하고 아늑한 분위기 뛰어난 품질의 한우
다양한 밑반찬 진한 갈비탕 최고"
선바위한우불고기,이동환,5.0,어머니와같이갔는데좋았어요
선바위한우불고기,Sung Whan Yoon,5.0,고기 퀄리티 정말 좋습니다. 눈꽃갈비살 혹은 등심 주로 먹어봤는데 아주 맛있었습니다 :) 식사로 갈비탕과 곰탕을 먹어봤는데 갈비탕이 맑은 국물은 아니고 곰탕 스타일 국물입니다. 둘 다 고기가 많이 들었고 곰탕 스타일을 주로 먹곤 합니다.
선바위한우불고기,이화준,5.0,갈비탕만 먹어 봤는데 참 맛있습니다. 고기도 구워먹어면 맛있을 것 같아요.
선바위한우불고기,권양욱,2.0,"갈비탕과 전골 먹었습니다.
밑반찬 -김치 맛없음, 마늘짱아치? 너무 시어서...
깎두기 보통…"
선바위한우불고기,이채묵 (무서운아줌마),4.0,"가게도 널찍하고, 예약도 가능하고요. 주차장도 넓긴하지만 자갈바닥인게 흠이에요. 옆건물은 커피전문점 이구요.
물론 고기먹고 믹스커피는 무료로 먹을수 있어요. 매장에서 직접 고기를 손질하더군요. 고기가 연하고 맛있긴한데, 역시 한우라 비싸긴해요. 그래도 좋은고기를 팔고 있는거 같아요.…"
선바위한우불고기,Seung hyun Ha (까미),5.0,갈비탕 너무 맛있어서 싹 비워버림
선바위한우불고기,배제민,5.0,"와우.. 여기 고기는 정말 좋더라고요.
소고기 부위중에 가장 저렴한(?) 부위가 갈빗살이잖아요.. 갓빗살이 마치 부챗살 같은 식감이었어요. 제가 나름 소고기 맛을 정말 잘 아는데, 갈빗살이 최고였습니다."
선바위한우불고기,윤여일,3.0,어디서나 볼수있는 고깃집. 별 특색없음. 고기맛이 어쩌구 하는 것들은 그저 있어보이고 싶은 미식가 코스프레 하는 것들임.
선바위한우불고기,용가리,5.0,"체온체크 입구에서부터 확실히 한 뒤 입장
갈비탕 별 기대없이 먹었는데 값어치 함 맛있음
주차장 잘 되어있으나 좁긴 함"
선바위한우불고기,James US,3.0,"가격은 비싸고 고기는 그냥그냥임
내부는 깨끗하고 청결함
주차는 어느정도 편함
옆에 카페가 있어서 이동없이 디져트가  가능한게 장점임"
선바위한우불고기,권단우,5.0,직원들이 새신발 마구마구 밟아 놓은것 빼고는 고기질 깔끔한 음식 만족 합니다.  3인가족 기준 8만원 먹었네요.
선바위한우불고기,"김민소,소은",5.0,"우리동네 한우찐맛집 선바위~~~!!^^!!
친절한 사장님과 정갈하고 깔끔한 음식으로
자주는 못오지만 가끔씩 찾게되는 범서읍 최고의 맛집이죠~^^"
선바위한우불고기,박시형,3.0,"무난한 갈비탕집. 가격은 비싼편. 그렇다고 언양시장 대비 높은 품질이나 양은 아님. 인테리어와 아웃테리어, 입지등이 이점이나, 본인 돈 내고 갈만큼은 아님."
선바위한우불고기,김대욱,4.0,"고기도 좋고 써비스도 좋아요~
이층에 가족끼리 먹기 칸막이
되있어서 좋고 강변뷰도 굿~!"
선바위한우불고기,픽페이드,5.0,"최상급의 고기, 리모델링하고 시설이 현대화되어 코로나 시대에 이용이 편리하네요.
친절합니다."
선바위한우불고기,쩡희,1.0,"분위기따지시면가세요
소고기값에 초장값 받고 고기도 제기준에 너무질기고
가성비 일도 없습니다…"
선바위한우불고기,Bejay Ssn,3.0,고기도 고기지만 된장찌개가 괜찮다
