place_id,user_id,score,comment
섬뜰,황진욱,4.0,"2012년에 오픈한 전복요리 전문점입니다.
점심시간에는 대기가 최소 4~5팀은 있습니다. 전복구이는 3.5만원인데 맛은있지만 비싸서 가성비가 좋지 않습니다. 깨끗하고 직원분들도 친절하십니다."
섬뜰,Junga Park,4.0,"전복밥 먹으러 들렀다.
주차는 아래 해변부근 공영주차장에 하고 움직이는 편이 좋고, 미리 예약을 하는 편이 덜 기다린다.
테이블 앉고도 밥 지어지는 약 20분가량을 기다렸다. 솥밥에서 전복밥을 개인그릇에 담아주면, 그 후부턴 취향껏 양념장과 반찬류를 넣고 비벼…"
섬뜰,ash won,3.0,"뭔가 상당히 주택가 스러워 보이는곳에 뜬금없이 덩그런히 있는 식당 입니다.
주차장소 여의치 않을때는 아래쪽에 수협쪽에 주차하시면 좋을듯 합니다.
음식 조리시간이 긴편이니 미리 예약하시고 방문하시는 편이 좋습니다.…"
섬뜰,IM K,5.0,예전에 방문했을 때는 좌식이었는데 공간이 훨씬 넓어지고 모던하게 바뀜. 기본 반찬으로 제공되는 전이 크리스피하고 맛있으며 전복밥과 미역국도 맛있다
섬뜰,Gael in Korea,4.0,예전에는 바닥에서 먹어서 불편했는데 리모델링을 싹 해서 테이블로 변경 됨. 솔직히 맛은 그냥 평범하다. 우와 대에에에에 존맛 이렇게 먹을 맛집은 아니었다. (아마 좀 더 윗연배 사람들이 좋아할 맛)
섬뜰,전동협,5.0,"사장님과 직원분들 너무 친절하십니다.
반찬도 너무 맛있구요.👍👍👍
전복돌솥밥은 최고 입니다.…"
섬뜰,김아람,4.0,"맛있습니다.
제주도의 명진전복과는 다른 분위기네요.
예약을 반드시 하시길 바랍니다. 주문 즉시 조리라 시간이 오래걸립니다."
섬뜰,ᄋ,5.0,방어진내에있는 전복집이다! 밑반찬에 전이 맛있다! 전복이 더 많았으면 좋겠다! 밥은 미리 예약하면 안 기다릴 수 있을것 같다!
섬뜰,El God,5.0,"우연히 들리게 된~~~!!!.
작은 솥에서 바로 밥 해주시는~~
대기시간..그리길지않지만..
예약은 필수! 맛집이니 대기..감수~~~"
섬뜰,HD,5.0,"오랫만에 제대로 된 전복솥밥 만났네요~ 반찬들도 짭짤해서 어르신들 입맛에 딱이네요~
전복버터구이도 아주 부드러워요"
섬뜰,JH Kim,5.0,"전복밥 맛있어요!
전복도 많이 들어있고
믿고 먹는 식당입니다.
예약하시고 가는게 좋습니다."
섬뜰,장효선,5.0,맛있어요~~ 직원분들도 친절하시고~
섬뜰,정인철,5.0,"맛있어요~
우리가족 단골...집은 서울.. 경주 울산 올때마다..."
섬뜰,정신디,4.0,"유명하다고하던데 맛은 그냥 전복밥맛이에요.
반찬도그렇고
그래도 다른곳보다는 친절해요.…"
섬뜰,허준,5.0,전복밥 맛납니다 누룽지가 진짜 일품이고요
섬뜰,mo go,4.0,주차장이 불편 예약 필수 아니면 무지하게 기다려요..
섬뜰,ᄋᄋ,1.0,"외지인들한테 유명한걸로 유명한 현지인들은 왜가는지 이해못하는 집
음식 짜다니까 서빙하는 년인지 사장인지 다음부터는 오지말란다 기본은 해라 좀
음식은 짜고 전복밥에 전복은 질기고 양도 적고 다시마는 밥과 따로 논다
한마디로 별로다"
섬뜰,buduk SEONG,5.0,완전맛나요♡전복맛느끼고싶어서 야채없이간장만 놓고 비볐는데 간쟝을 너무 많이 넣어서 짜게 먹어서...재방문해서 다시 먹고싶어요
섬뜰,siri시리,4.0,전복비빔밥 건강식이라 추천으로 갔는데 비벼먹을 나물 반찬도 맛있고 전이 있어서 주문했는데 촉촉바삭하니 맛있어요.
섬뜰,아침햇살,4.0,"맛이 다른곳보다 뛰어났다고 말하기는 어렵지만
아이들도 맛있게 잘먹었습니다.
양념장을 많이 섞어 먹기보다는 처음 나올 때 본연의 맛을 느끼고 난후 야채와 비벼 먹는걸 추천합니다."
섬뜰,Jeong-whi Seo,5.0,"전복밥
두번째 방문. 지인 소개로 점심시간에 한번 다녀왔고, 슬도 낚시 갔다가 일요일 이른 저녁시간에 재방문함.
통통한 전복에 진짜 버터 저리가라 고소한 참기름의 콜라보. 그냥 먹어도 꼬소하고 쫄깃한데, 여기에 무생채와 김, 해초무침, 정구지(부추)무침을…"
섬뜰,Sunny Yang,5.0,일요일 점심에 방문해서 대기줄이 길기는 했지만 맛있게 먹었습니다. ^^ 재방문 의사있습니다.
섬뜰,정익진,3.0,"소문을 듣고 지인들과 함께가서 전복 비빔밥을 먹었는데,
음식대비 가격이 크게 싼건 아니었고,
그냥 점심식사로 한번정도 먹을만 했다.…"
섬뜰,Kelly_choi_happyume Osaka,5.0,"와우!친구소개로. 미리 전화 예약한 전복밥집!
주문과동시에 전복밥을 짓기때문에 미리 전화주문 하면 먜우편리!비리지 않고 쫄깃한 전복과 고소한 내장이 잘어울러져 있으며 함께나오는 생채,다시마채나물과함께 썩어드시면 최고의 스태미나 한끼가될듯!…"
섬뜰,kwonkangin,4.0,가격은 살짝 있지만 맛을 너무 기대하지 않는 것을 추천. 물론 맛이 없다는 것은 아님. 사전 예약 필수.
섬뜰,나야민,5.0,전복도 많이 들어있고 밑반찬들도 맛있네요 맛집추천합니다 담엔 전복죽을 먹어보고 싶네요
섬뜰,이정화,5.0,예술입니다 기본전도 맛있고 미역국도 맛있고 감칠맛이 나는 맛집입니다 예약하시면 덜 기다리고 맛있게 드실수 있으니 참고하세요
섬뜰,김아미,5.0,친절하시고 음식맛있고 아기데려가기도 좋아요~
섬뜰,강재영,5.0,울산동구에 이런 좋은 조건의 식당이 있었다는게 믿기지 않을정도로 환경 분위기 맛 서비스등 대 만족이었습니다
섬뜰,최정희,3.0,"넘 오래 기다려서 여행중에 기분이 상했던곳으로 기억될듯.
밖어서 20분 기다리고 음식점안에들어가서도
40분 기다리고…"
섬뜰,Helper Lee,5.0,"입식으로 바뀌었어
만족합니다."
섬뜰,좋은날chan,4.0,"전복 비빔밥
맛도 좋고
음식도 깔끔함..…"
섬뜰,권남영,5.0,동구 맛집이에요~동생이 임신중이라 같이갔었는데 임신중인 동생 입맛에도 굿굿!!!
섬뜰,배경권,4.0,"예약이 가능합니다.
식사시간대에 현장에서 대기시 별도대기공간이 없고 주차장이 협소하며 대기에 많은 시간이 소요되니, 꼭 예약을 하고 이용하시기를 강력히 권장합니다.…"
섬뜰,#모네Tv,4.0,줄서서 먹는 그냥 전복밥집인데 여자들께 인기가 많네요
