place_id,user_id,score,comment
섬섬옥수,bbui bbui,4.0,"돈까스, 메밀소바, 우동을 주로 팔고있는 식당이지만 평양냉면도 판다고 하여 방문하였습니다.

평양냉면(물)과 돈까스를 주문하였습니다. 주변 손님들은 거의다 메밀소바와 돈까스를 먹는편이었습니다.…"
섬섬옥수,김동수,4.0,"돈까스 모밀 세트 13,000원
금액 적당하고 음식 맛도 괜찮아요
일본식 돈까스로 두꺼워서 작아 보이지만…"
섬섬옥수,Star Spangled Banner,4.0,"가격에 비해 음식 맛이 좋습니다. 그리고 버스터미널 근처에 위치해서 접근성이 좋습니다. 다만, 테이블 간의 간격이 좁아서 다소 어수선한 느낌은 있습니다."
섬섬옥수,lIl,3.0,"한줄평 : 푸짐한 가성비 식당

평일인데도 점심시간대에 북적이는 편입니다. 가게에  창들을 다 시트지로 덮어놔서 내부가 어둡습니다. 프론트에 배달포장과 결제가 같이 이루어지고…"
섬섬옥수,생활다락방,4.0,"셋트에 나오는 돈가스가 두툼하고 너무 맛있었습니다. 카레도 일본식 카레였는데 맛이 있었고요. 냄비우동은 고춧가루가 좀 들어가서 매웠고, 그 매운맛 때문에 좀 아쉬움에 남습니다.
판모밀 면은 괜찮았고, 육수는 무가 들어가 시원한 맛이 났는데 좀 싱거운 느낌에 났습니다.
한 번쯤은 먹을만한 그런 식당이라 저는 생각합니다."
섬섬옥수,DC K,5.0,가끔 생각나서 찾아오는 든든한 맛있는 한끼
섬섬옥수,조정인,5.0,돈까스 완전 빠삭빠삭 돈까스 너무너무 맛잏어요 육즙도 많고 퍽퍽하지도 않고 모밀 육수도 엄청 맛있고 면발이 완전  탱글탱글  완전맛있어요 완전빨리 나와용 ~!!!가성비 갑 오브 갑!!!  꼭 가보세요 !!!점심에손님 많으니 저녁 추천드려용~~!!! 냉모밀은 꼭 드세요~~~#울산맛집 #삼산맛집 #돈까스맛집 #섬섬옥수 #인생맛집 #울산돈까스
섬섬옥수,Dda woo,5.0,"간만에 정말 맛있는 돈카츠집을 찾은거같아요ㅎㅎ
우동의 달인이라고 하셔서 인지 우동과 판모밀은 당연히 맛있었구요!
돈카츠의 고기가 두툼하면서도 바삭한 튀김옷이 고루 붙어있어 겉바속촉을 제대로 느낄 수 있었습니다.…"
섬섬옥수,최정진,2.0,"카레는 먹을만함. 소바 평범.
돈까스 고기에서 냄새남. 소스 안찍으면 먹기좀 그랬음. 이름생각안나는 원형 돈까스같은거는 개인취향이 아님..
유명맛집인게 이해되지는않음.
재방문의사없음"
섬섬옥수,박미선,5.0,돈까츠 뚜겁고 겉은  바삭하고 속은 부드럽고 그기에 육즙까지 .. 돈까스는 역시 섬섬옥수 최고야. 내가 먹어본중에 제일 맛있엇어요 돈까츠에 솥밥도 이천쌀로 해서인지 윤기가나고 더 맛있엇어요 마무리는 숭늉으로 했답니다 갈때마다 테이블에 손님들이 꽉차있고 그기에 웨이팅까지요 ^^ 사람들이  많이가고 줄서서 먹는 이유를 알뎄어요  맛은 물론이고 갈때마다 느끼는 건데요 직원분들 너무 친절해요
섬섬옥수,레드텀블러,4.0,"맛있는 돈까스와 우동 그리고 메밀국수가 있는 곳입니다
세트메뉴를 시키면 카레와 밥 조금에 계란후라이를 하나씩 줍니다
입가심용 상큼한 샐러드 조금 나오고 김치, 단무지 제공됩니다…"
섬섬옥수,송재운,5.0,"점보세트 추천 !두툼하고 육즙이 배어있는 돈까스 와 시원하고 짭조름한  국물에 찍어먹는소바
느끼하지 않게 맛의 풍미를 더하는 카레까지!"
섬섬옥수,Miguel Gonzalez,1.0,우래옥의 평양냉면 맛을 느끼려 방문한 건 아니지만 아예 맛이 안나네요. 발 닦은 물도 맛은 날겁니다.
섬섬옥수,박선희,4.0,이야기 나누기에는 좀 시끄럽지만 맛은 끝내줍니다!
섬섬옥수,_Jju Twinkle,4.0,비 겁나 오는 날에도 사람 많음.  멘치까스 가성비 갑. 가격 500원 오름. 돈가스 진짜 두툼해서 씹는 맛이 있음. 우동보단 모밀 추천. 밥에 카레랑 계란도 얹어서 줌 가성비 좋은 이 집.
섬섬옥수,극도,5.0,돈까스는 엄청 도톰하면서 입안에서 사르르 녹는데 잡내는 또 1도 안남..짱맛있습니다. 판모밀은 사랑♡ 카레도 넘나 맛있습니다
