place_id,user_id,score,comment
세비로,Juhyeon Park,3.0,"엔티크한 감성으로 잘 카페는 꾸민 것 같아요. 주문하고 옷 수선하는 곳 가서 구경할 수도 있고, 2층도 있어서 독립적으로 잘 놀 수 있는 곳 같아요. 하지만 나오는 음식은 별로 같아요. 디저트로 나오는 저 인절미토스트가 특히 별로였습니다."
세비로,시으니의행주톡,4.0,"직원이 모델핏인데다 분위기도 괜츈
특이 홍콩식 와플이 굿"
세비로,김나니,5.0,위치가 조금 멀긴하지만 직원들도 웃으며 응대해주시고 친절하고 카페는 넓어서 좋았습니다. 커피가 덜 시원해서 얼음을 더 넣어먹었지만ㅎㅎ분위기도 괜찮았습니다! 아 근데 의자가 쿠션감이 너무 없어서 그건 조금 별로였는데 편히 놀다가 갑니당!
세비로,이경미,5.0,분위기도 아늑하고 예뻐요 고급지면서 빈티지한모습까지 좋습니다
세비로,노찬우,4.0,고급진 레트로 감성의 인테리어가 눈에 띄었고 커피향과 맛이 강하지 않으면서 좋았습니다.세비로와플은 고소하면서 가성비 좋았음.
세비로,Siri Jean,2.0,대표커피가 그렇게 맛있는지 모르겠어요 그리고 입구에 큐알코드나 입장명부 적는게 없었음
세비로,서지현,5.0,커피도 맛나도 분위기도 앤틱한게 좋아요
세비로,Kirby,2.0,맛과 분위기는 나쁘지 않은데 가격이 비쌈.
세비로,최은정,3.0,조용하고 ..차분한 분위기가 마음에 들어요
세비로,SUMODAL,5.0,이쁜 디자인.
세비로,이무엇,5.0,예뻐여 조아여
세비로,이은용,4.0,
세비로,H J Kim,5.0,
세비로,이상혁,5.0,
세비로,이병환,4.0,
세비로,미니꽃,4.0,
세비로,Kook Brown,4.0,
세비로,Youngkeun Kim,5.0,
세비로,Yi eunsu,5.0,
세비로,1298 hh,1.0,
세비로,다복다복,5.0,
세비로,Seon Mi Kang,4.0,
세비로,Seonmi Yoon,5.0,
세비로,이주환,2.0,
세비로,한종수 (고독한런너),3.0,
세비로,"어피치,",5.0,
세비로,ㅇㅇ,1.0,"가격대비 맛도,,, 양도 적음커피향 대신 문 앞에서 피워대는 담배쟁이들 때문에 담배냄새만 한 가득"
세비로,네쥬,3.0,"무조건 2층 가세요.  1층은 테이블이 좀 더러웠음.  카페 인테리어 독특하고 맛은 보통, 가격은 좀 있는편"
세비로,쑤정,2.0,"크로플 정말 맛있어요 가격대비양도좋고 추천합니닷! 그런데 커피가 맛이없어요... 분위기도 독특하고 디저트도좋아서 커피에 대한 기대를 많이했는데 너무 아쉽습니다. ++한번 더 가서 음료시켰는데 음료도 맛이없네요,,, 크로플은 추천합니다 다른데보다 커피랑 음료가격이 좀 있는편인데 많이 아쉽네요"
세비로,evvve,5.0,"안 가본 사람은 있어도 한 번만 가본 사람은 없는 카페.일단 분위기 너무 좋아요 카페가 정말 넓고 1층 2층 느낌도 약간 달라요 전 2층을 선호합니다.ㅎㅎ 인테리어에 굉장히 신경쓴 느낌이에요!! 카페에 소품 하나하나 다 고급스럽고 느낌있네요. 맛은 뭐 말할 것도 없이 맛있어요! 처음 갔을 땐 버터라떼?? 그게 시그니처 매뉴라 하셔서 먹었는데 다음에 아이슈페너도 먹어보니까 제가 이때까지 먹었던 아이슈퍼네 중에 원탑이에요ㅠ 디저트도 진짜 맛있어요! 카야잼이랑 와플 !!!! 가끔와서 공부하기도 하는데 진짜 너무 좋아요... 오히려 번화가와 조금 떨어져있어서 조용하고,,, 그래도 삼산시내에서 걸어서 10분 정도면 도착하더라구요 단점은 저희집과 멀어서 자주 못간다는 것? 아무튼 울산카페맛집이에요♡"
