place_id,user_id,score,comment
소선비,박하림ᄉ111,3.0,친절합니다.손님이 많아서 재료가 떨어지는 날이 있어서 확인하고 가세요.
소선비,유성후,4.0,"셋트메뉴 시켰구요~ 2부위가나오고 된장찌개포함입니다. 고기맛은 좋았구요.
미국산프라임 등급인가 그랬던거 같습니다.
갈비는 절대먹지마세요ㅜ 맛없습니다!
참그리고 겉절이가 개인적으로 맛있었네요~"
소선비,Kumjihea금지혜,3.0,"저렴히 맛있게 즐기던 곳이였는데 고기가 예전같지 않아서 아쉬웠어요   주인이 바뀐 느낑
그래도처음 가본사람들은  맛있다고는 했지만  ..."
소선비,돼지짜글이,5.0,진짜 맛있게 잘먹었습니다 다음에도 갑니다
소선비,Namgyu Yim,3.0,"단백한 쇠고기를 맛볼 수 있음
오뎅은 시키면 무료로 주심
전체적으로 괜찮았지만 특출나진 않음"
소선비,tae han kim,4.0,밑반찬 깔끔 하고 고기도 맛있어요
소선비,changwon seo,5.0,가성비가 좋은 소고기집~기대안하고 먹었는데 기대이상이에요^^
소선비,송수철,1.0,고기맛을 모르겠네요  아무맛이안나요
소선비,챈들러빙,2.0,기대했는데 그렇게 맛있다는 느낌은 ㅜㅜ
소선비,윤J,4.0,이정도면 됐스요~
소선비,안신욱,4.0,자리가 좁아 조금 불편하지만 맛은 괜찮았어요
소선비,박상욱,5.0,달콤하니좋네요
소선비,김아미,5.0,완전짱짱
소선비,주김,2.0,미국산이라도 맛있네요
소선비,박제상 (달동친구),5.0,가격이 착해요
소선비,김종욱,5.0,여기는 요즘 예약이 대세
소선비,곽흥규,4.0,적당히 한잔 먹기 좋은 곳
소선비,박성호,4.0,맛이고친절해요
소선비,최동희,5.0,맛나요♡♡♡
소선비,정경석,4.0,가격대비만족
소선비,원스패밀리,5.0,굿!
소선비,김준현,3.0,보통
소선비,마쿠스,4.0,저렴함
소선비,choi jerry,4.0,선비다 선비
소선비,Juns yya,4.0,미국산 블랙 앵거스 고기 사용. 가성비 좋은 소고기집. 평일이고 주말이고 항상 손님이 많다. 재료 소진될수도.
소선비,주성호,3.0,
소선비,엄재훈,5.0,
소선비,이승호,5.0,
소선비,Kyusung Choi,4.0,
소선비,HY,3.0,
소선비,Juwon,5.0,
소선비,김기범,2.0,
소선비,김영삼,3.0,
소선비,오서방,5.0,
소선비,최재훈,5.0,
소선비,서영민,5.0,
소선비,junmo jeon,5.0,
소선비,눈부시게맑은하늘 (GIANT),5.0,
소선비,윈스턴,5.0,
소선비,정미경,1.0,
소선비,김기헌,2.0,
소선비,성민장,3.0,
소선비,신명관,4.0,
소선비,덩묵,5.0,고기 사진은 먹느라 못 찍었넴 ㅠ 고기 넘너무맛있어요저번에 첨 가고 넘 맛있어서 또 왔어요근데 이 집 된장찌개가 넘 제 스타일 ㅠㅠ 땡초 팍팍 썰어 넣고 먹으면 개꿀맛 ㅠㅠ 둘이 가서 에이 세트에 된장찌개 먹으면 딱입니다!!! 다음 회식장소로 추진해보겠습니다 ㅎㅎ
소선비,콩콩,5.0,
소선비,촤승기아들. 딸,5.0,
소선비,나비효과,4.0,
소선비,손오반,4.0,
소선비,하니해,5.0,고기도 맛있는데 서비스도 친절해요
소선비,가을바람,5.0,2019/12/7 회식했는데 A코스 너무 맛있었어요고기도 부드러우면서 적당히 쫄깃하고 특제소스에 찍어 먹으니 고기의 풍미가 한층도 올라갔어요오랜만에 만족 했습니다
소선비,청산,5.0,맛나게 먹고 왔어요.
