place_id,user_id,score,comment
소소원,묘카,5.0,"쌍화차 처음 먹으러 와봤습니다! 일행이 순한 맛인데도 한약 냄새가 엄청 찐하다고 하네요.(저랑은 안맞네요)
태화강변쪽에서 가장 오래된 찻집입니다
입구부터 한방냄새가 가득하며 손님은 엄청 많습니다.
최신 메뉴 가격 표도 업로드해놨습니다."
소소원,Hong Ju Seo,5.0,분위기도 조용하니 전통 찻집의 향기가 느껴집니다. 실내 들어가니 풍기는 차 항이 너무 좋네요. 직원분들도 친절하시고 대추차와 쌍화차 마셨는데 아주 진하고 일상적으로 시중에서 마시는 그 쌍화차 아닌 진하게 우려낸듯 향과 맛이 강합니다. 강한 맛을 싫어 하시는 분들은 약한맛 주문을 하세요.  쌍화차에 들어있는 밤도 맛있네요. 찻잔은  아주 뜨거우니 그냥 수저로 터드세요. 건강한 맛이 느껴져 좋네요~ 차가 나오기 전에 주는 꿀떡인가?  이것도 먹을만 합니다. 가래떡을 구워서 주네요.
소소원,또잉,5.0,"홍시쥬스가 너무 맛있어요.
프렌차이즈 카페에선 맛볼 수 없는 찐홍시!!!
인테리어 신경 많이 쓰셨구 청결해서 좋았어요. 외관만큼이나 내부도 너무 깔끔하고 향도좋구 꽃들도 싱싱하규 아늑했어요. 옛날노래도 많이나와서 마치 타임슬립해서 과거로 돌아간 기분이었어요. 주위 둘러보니 나이있으신분들이 확실히 많더라구요 ! 어무니 아부지 모시고 한번 와야겠어요~~"
소소원,YOUNG MI SHIN,4.0,조용한 전통한방찻집으로 중구에 위치해 있어 접근성 가까운 분들에게 추천해요! 한방차 메뉴도 다양하고 써비스로 제공하는 꿀떡도 아주 담백하니 맛있네요. 내부 인테리어는 아주 예스럽고 고전적인 느낌이랄까  다양한 다과랑 차기세트 진열도 볼거리 있네요. 다양한 말린꽃으로 찻집 내부 인테리어도 아주 좋네요. 찻집외부 담벼락 아래에는 특히  제가 좋아하는 제라늄 꽃들이 다양해서 그 근처 지나갈 때마다 꽃이예뻐 눈길이 가네요 . 찻집 내부에 진열한 다양한 전통다기랑 그릇는 판매도 한답니다.
소소원,최Cy,5.0,단팥죽 상상만해도도 입맛다시는 단어 친구는 유자차 난 단팥죽  팥은 참맛있는데  밤맛은 그닥~.찹쌀떡을기대 했는데 아쉬움. 예쁜 꽃화분 본거만해도 치유가됩니다  실내 꾸밈이 또 오고싶게 해요~
소소원,DY N,5.0,"바로 앞에 공영주차장이 있어 방문하기 좋음
다만 식후 티타임으로 가기엔 자리가 없을 가능성이 매우 높음
(5: 다른 사람에도 추천할만한 곳)"
소소원,노혜정,5.0,"분위기 좋은 전통찾집 입니다
대추차 정말 맛있어요
귀한대접 받는 기분~^^"
소소원,짱써니,5.0,친절하고정성담긴쌍화차 미숫가루팥빙수예쁜 인테
소소원,Mission City,5.0,전통찻집으로 서비스가 훌륭하고 친절합니다. 재료도 신선하고 신경을 많이 쓰신게 느껴집니다. 다음에 또 방문하고 싶습니다.
소소원,Soo lee,5.0,"남편이 전통찻집 가자고 해서
남편은 진한쌍화차 저는 순한쌍화차
오랜만에 찾은 전통찻집에서
데이트 잘하고 왔습니다~♡"
소소원,박태곤,4.0,"가끔씩 가는데 좋은거 같아요~
오늘 매뉴는 단팥죽, 홍시쥬스 맛있게 먹고 왔어요~^"
소소원,김현우,5.0,"찻집에서 느껴지는 따뜻한 분위기와 예쁜 꽃들, 좋은 향이 너무 좋았습니다.
어른들 모시고 갔었는데 다들 너무 행복해하셨습니다☺️☺️
그리고 쑥빙수가 정말정말정말 맛있습니다.. 프랜차이즈 빙수 정말 많이 먹어봤는데 퀄리티가 비교가 안됩니다.."
소소원,이진숙,5.0,쌍화차 처음 먹어봤어요. 역시 건강차가  많더라구요.
소소원,임은택,5.0,"쌍화차 먹었어요 진하고 맛있었습니다.
빙수는 맛있었지만 제 스타일과 조금 맞지않았어요"
소소원,김은희,4.0,"평일저녁인데 사람이 많아서 기다렸다가들어갔네요
기다린보람있네요.친절하시고 음식 맛있어요.
사진은 단팥죽인데
홍시팥빙수도 맛있어요."
소소원,김정은,5.0,밤단팥죽과 진한쌍화차가 생각나면 다녀오는 곳입니다~ 돌로 된 찻잔에 뜨겁게 나오는 쌍화차는 몸에 온기를 주고 밤알갱이가 살아있는 밤단팥죽은 달콤한 행복을 줍니다~~^^
소소원,김다온,5.0,늘 가도 따뜻하고 건강해지는 쌍화차. 대추차가 넘 좋습니다.
소소원,임해정,4.0,분위기도좋고 강변도걸어수있고  수다떨고 편안한장소같아요ㆍ다양한차도많은것같아요ㆍ
소소원,김은정,4.0,몸에 좋은차 마시고 싶을때...
소소원,김하영,5.0,전통찬집인데요!깨끗하고.쌍화차.도좋구요.아이스크림도.일품이지요!분위기.아주좋아요.차들이.다맛있고요.한번가보면.또다시찾아올것입니다!위치는.울산십리대밭.불고기.단지안에있었요!참쾐찬은집이지요!손님들도.제법많이옵니다!들어서면.꽃들이.반기지요!차맛이일품입니다!
소소원,마태우스,4.0,분위기가 아늑하고 각종 차를 판매하네요..
소소원,정정화,5.0,#추운날 따뜻하게 몸을 녹일수있고   마음도 녹일수 있는곳 입니다.  추천합니다.~~♡♡^^
소소원,MING SEO,5.0,"전통 찻집은 처음인데
한방 아로마 테라피하고 온 느낌이예요 😆…"
소소원,Sang-Soo Park,4.0,"쌍화차 좋습니다.
생과일 빙수도 과일이 듬뿍!"
소소원,견출작업홍민호,5.0,휴식공간으로는좋은것같아요
소소원,소희박,5.0,오랫만에 참좋은 찻집에서 좋은추억 쌓고 좋았읍니다
소소원,Dahee Shin,4.0,오랜만에 카페와는 또 다른 분위기를 즐기다.
소소원,박순옥,5.0,"한번씩 들리는 곳 인데,코로나19 땜시 테이크아웃 하는 바람에 저번에도 탯자 맞고,오늘은 넘 행복 했습니다.늘~좋은곳 입니다~"
소소원,이상훈,5.0,"조용하고 아늑한 분위기
한방차 맛은 매우 진하고 깊은맛이 남"
소소원,권칠구,4.0,"전통찻집이고요 이색적 입니다.
깨끗한 환경이 좋았고 전톰차  맛도 좋아요"
소소원,이재원 (동급최강TV),4.0,쌍화차 굿.한약수준. 팥죽도 굿!
소소원,초이,5.0,변함없는  한방차 & 아늑한 공간  & 대접받는 느낌   & 주차하기도 좋아요 ♡♡소소원을 찾아오실 때는 간판에 숫자 20을 보고 오시면 편하실겁니다.
소소원,김지원,5.0,쥔장님의 생화 사랑이 곳곳에‥묻어있어 아주 기분좋게 대추차한잔 따뜻하게 마시고 왔네요^^
소소원,백미현,5.0,모임으로 밥 먹고나서 늘 찾아가는 곳입니다. 오늘도 대추차 쌍화차 단팥죽 오미자차로 즐거운 담소를 나누며 즐거운 시간 보내고 왔어요~^^
소소원,유동민,5.0,전통한방차집이죠 저는  이곳에 가면 항상쌍화차를 먹고 오는데요 맛도좋고 건강에도좋고 분위기도 좋아요
소소원,o P,5.0,"분위기도 좋고 사람들도 친절하시고 맛있습니다.
쌍화차 포장도 가능한데, 어른들께 선물하기에도 좋습니다."
소소원,이미순,3.0,은은히퍼지는한약향이중년의맘을움직입니다편안하게친구와 시간을같이할수잇어좋앗어요
소소원,이강희,5.0,한차를 마실수있는 분위기좋은 전통 찻집입니다
소소원,changwon seo,5.0,일반한방차와는 차원이 다릅니다 한끼식사대용으로도 가능할정도로 한약재와 다양한 견과류등이 가득한 맛있는 차입니다
소소원,둥둥,5.0,"유일하게 좋아하는 커피
홍차도 굳~"
소소원,남조현두,3.0,"분위기는 좋은데
입맛에는 안맞네요
50~60대 취향~"
소소원,억세달래집사,5.0,분위기 좋은곳입니다. 가족들끼리 오기 좋은곳입니다
소소원,김창호,4.0,팟빙수 먹었어요.한방 향이 가득한 앉아서 숨만쉬어도 몸이 건강해질것같은..^^ 온화한 분위기가 참 좋았습니다.
소소원,김흥대,5.0,아늑하고 전통적인 내부 인테리어가 마음을 편안하게   해주는 공간이며 차도  양가득주셔서  즐기며 갑니다
소소원,Jun Dong Lee,5.0,부모님과 가기 참 좋은 곳입니다^^
소소원,배봉선,5.0,분위기도좋았고쌍화탕이넘진하고끝까지따근했구요.꼭꽃밭에않아있는듯한분위기~
소소원,오계선,5.0,소소원의 명품 대추차와 흑임자팥빙수가 최고!
소소원,문자연이랑,4.0,"전통 한방찻집 분위기 좋아요
쌍화차 진하고 맛있어요
구운가래떡에 꿀 디저트 나와요"
소소원,최영자,5.0,분위기 좋은 한방 찻집에 예쁜꽃이 가득한 국가정원과 더할나위없이 좋음
소소원,정의석,4.0,"모든게 맘에들어요
주차공간이 없다는게 싫어요"
소소원,루나,4.0,오호..죽같이생긴 대추차는 첨이라..건강식 한끼들이킨? 느낌이네요.
소소원,방지윤,5.0,자리에 앉으면 뭔가 현실과는 다른느낌이랄까..정말 분위기도 좋고 좋았어요!
소소원,손미화,4.0,"겨울 감기  멀리보낼만큼 강한 쌍화차 한잔  굿~~~
하지만 사람이 넘 많아서 시끄럽네요 ..."
소소원,Jinwon Kim,3.0,전통찻집이나 커피도 있어요. 창가에서 강변과 거리를 멍하게 구경해도 좋을 듯 합니다.
소소원,Hyeagjae Kim,5.0,"맛난 한차와 다양한 차를 팝니다.
조금 가격이 높네요.
양이 많아서 좋아요."
소소원,김점옥,5.0,"편안하고  조용함~
조금은 고급진 분위기
한번쯤  가볼만 한곳입니다~"
소소원,박금화,5.0,분위기도 좋고 도자기 구경도 하고 필요시 구입도 가능  차도  좋고 다시 가고픈 맘이  생기는곳
소소원,이수석,2.0,가격이   식사비 보다   비싸다고  생각됩니다  업주들이야  적당 한  가격이라 생각할지  몰라도  쌍화차  9천원은  좀  그랬답니다
소소원,전미경,5.0,분위기도 좋고 쌍화탕이 맛있어요.견과류가 가득 들어 있어요~
소소원,Bokyun Ko,5.0,진짜 전통찻집 분위기 제대로인 곳. 생화 장식이 인상적임. 꼭 또 가고 싶은 곳.
소소원,ᆞ정규영,4.0,찻집 분위기 좋고 꽃을 사랑하는 주인의 마음을 잘 알 수 있네요
소소원,Hsu Wu Liang,5.0,"아직 안가봤지만 근처에있어서 지나가다 구글이 리뷰 작성 해달라고 작성해봄~
지나가서 봤을땐 사람 꽉 차있음 나중에 가봐야지"
소소원,박미숙,5.0,쌍화차! 따뜻하고 좋습니당☺️❤️‍🔥…
소소원,Jackie Park,4.0,쌍화차 제대로에요 설탕도 안들어가고 아늑한 분위기에 피로가 풀립니다
소소원,김경옥,2.0,"직원들이
너무 불친절했어요..
장사 잘되신다고 그러시면 안되지요.."
