place_id,user_id,score,comment
솔밭가든,한국인의 Life진아,5.0,"깔끔한 반찬 매장 분위기는 모임하기 적합한곳이고
3-4인 소수로 모이기도 좋은곳이다 점심특선으로는 좀더 저렴한가격으로 푸짐하고 냉면 밥 까지도 무료로 포함이다 가성이 정말 좋고 예전부터 자주가던곳! 오래된 맛집! 추천할수 있는집 어른들도 좋아하는 맛집입니다"
솔밭가든,박안기,4.0,"점심 특선 생오리구이에 냉면은 공짜
밑반찬도 깔끔하고 맛나고 양도 푸짐함.
주차장도 여유있음"
솔밭가든,서주환,5.0,"정말 맛있어요 맛있게 잘먹었습니다
개인적으로 추천하는 갈비 맛집입니다"
솔밭가든,zestyx,5.0,음식점 크기에 비해 주차장이 작음. 2022년 송년회하러 갔는데 주차 할라고 몇 바퀴 돌음. 암튼 주차장 작음. 그 외엔 만족.
솔밭가든,서주환,5.0,정말 맛있어요 맛있게 잘먹었습니다
솔밭가든,Danny Son,2.0,간만에 갔는데 예전만하지못하네요. 고기주문하면서시킨 반찬리필은 가게나올때까지 주지않고 벨3번은눌러야 오네요 평일 낮3시쯤인데도 저러는데 .. 예전좋았던기억은 다 없어지네요
솔밭가든,서자현,1.0,"굉장히. 불친절.
벨을 10번도 더 눌러도 안오더니.
짜증을 팍팍내고 인상쓰고..…"
솔밭가든,Tae H Um,4.0,"음식 사진보시면 아시겠지만 너무 맛있게 잘 먹고왔습니다.
다만, 직원들이 많이 힘드신지 너무 기운없어 보이더라구요. 그 안좋은 기운이 손님인 저한테까지 전해져와서 추가반찬을 시킬때도 좀 찝찝하더군요 불친절한건 아닌데말이죠..."
솔밭가든,박철우,5.0,식당규모가 아주커서 좋았고 오리불고기가 깔끔하고 맛있었습니다~
솔밭가든,Hak Nyeong Lee,5.0,"시내에서 외곽에 떨어져있어 검색으로 알아보고나 소개로 알아내는 경우가 많은 맛집중 하나다. 요즘은 이근처가 많이 발달 되었지만,
외부를 찍은 사진과 같이 꽤 규모가 크다 1층 2층.
그래도 5명이상 단체이거나 방을 원할경우는 되도록 예약을 하는게 좋다. 이제는 꽤알려져서 사람이 많다. 내부사진이 적은 이유도 바쁘게 직원들이…"
솔밭가든,심만종,5.0,부부동반 송년회 모임을 가졌는데 조용하고 오리생구이를 먹었는데 싱싱하고 맛있었네요 밑반찬도 깔끔하고...
솔밭가든,kihong kim,4.0,소갈비가 특히 맛있는것 같아요
솔밭가든,김원조,4.0,"친정엄마가 좋아하시는 오리 불고기!
맵지않고 적당하게 맛있었어요.
잘먹었습니다."
솔밭가든,Lee Victo,4.0,"원래 오리고기먹으러 자주갔는데
요근래는 양념갈비먹으러 주로 가네요.
북구에 아드님이하시는 가게 있는걸로 알고있는데…"
솔밭가든,Changyu Lee,5.0,"오리불고기먹음- 맛있음
가격은 39,000원(1마리)
주차장 오지게 넓음…"
솔밭가든,ZELDA,4.0,"울산 성안동 로스,구이 전문점으로
대형 음식점임
주차시설 잘 되어있고, 실내가 추울정도로 에어컨이 빵빵함…"
솔밭가든,윤예준,5.0,음식 품질과 맛이 정말 좋아요~ 사람이 항상 많아서 웨이팅이 길수도 있어요!
솔밭가든,이채면,3.0,성안 깊숙이 있어 시내를 벗어나 즐기는 맛이 있고 주차장이 넓어서 좋았어요
솔밭가든,안종록,5.0,"양념 목살 추천합니다.
소고기도 있지만 양념소스 맛이 비슷하여 차별화 안됨.
주차시설은 대단히 양호"
솔밭가든,you ho park,4.0,방역검사철저 식탁거리유지  여기는 칸막이가 다돼어있어 다른사람과 마주칠일이업음
솔밭가든,장제현,5.0,메인은 안찍고 육회를 ㅎㅎ
솔밭가든,김용한 (James Kim),3.0,음식은 대체로 무난함. 오리불고기에 볶음밥이 맛있음. 직원분들이 친절함. 가족모임에 최적화
솔밭가든,김영헌,5.0,오리불고기 먹으러 멀리 갈 필요없습니다.맛있습니다
솔밭가든,Jiwon Lee,5.0,너무 바빠서 서빙하시는 분들이 맡은 테이블을 다 쳐내지 못하는것 같아요ㅜㅜ
솔밭가든,꿈이큰사람,5.0,오리양념맛있네요. 양념목살도 아이들이 좋아해요
솔밭가든,홍수연,5.0,"한번씩 쉬는날 아점으로 식구들과 찾는곳
입구서부터 과일구매 충동을 일어히게하네요
갈비 먹고 과일도 사고 카드 줄줄 끍게 되네요
좋다고해야 할지..확실히 소비 본능을 일으키는 곳"
솔밭가든,김미소,5.0,"가족모임이 있어서 자주 가는 음식점입니다
룸이 따로 있어 좋은것 같습니다 음식도 물론 맛있습니다"
솔밭가든,김해용,5.0,"아내의 생일날을 딸래미의 초대로 오후2시에 예약되어 소갈비와 냉면으로 대접을 받았습니다, 넓은 주차장과 식당내부의 청결함에 첫인상이 좋았는데 갈비맛까지 기가막히게 좋아 시간 가는 줄도 잋고  자리를 떠날 수 가 없었습니다. 음식대비 가성비도 적당하고 더욱히 직원님들의 친절함에  너무 기억에 남아  글을 올림니다, 아내가 생일축하 장소를 선택해 준 딸래미에께 고맙다는  말을 계속하더군요~~^^장소는 울산  중구 함월20길65 솔밭가든 입니다, 아쉽게도 사진을 찍지 못해서 너무 안타까워요~ㅠㅠ"
솔밭가든,jun jun,4.0,"주차장이 넓고 가게도 깨끗하고

오리고기도 맛있어요…"
솔밭가든,Yoonsung Shim,4.0,저는 솔직히 잘 모르겠는데 울산 오래 사신 어르신들이 좋아하십니다
솔밭가든,맘해바라기,5.0,오리불고기랑 갈비살갈비먹엇는데 맛있었어요^^♡~   갈비살 부드럽고 맛있었어요^^~~  새로 지어간데첨가봣는데 깔끔하고 좋앗어요^^♡~
솔밭가든,JH Kim,5.0,"오리고기 안좋아하는데 아주 맛있게 먹었습니다.
밑반찬도 맛있고 볶음밥까지!
맛있게 먹었어요"
솔밭가든,정수아재Uncle Jung,5.0,맛과 가격의 균형이 잘 잡힌가게 입니다
솔밭가든,토토,3.0,"수용인원 많고 주차장 넓고 편리한 무난한 외식, 회식 장소
점심특선이 가성비 좋아 몇 번 갔었는데 오랜만에 다시 갔더니 가격도 오르고 질도 떨어져 이제 안갈 생각"
솔밭가든,김현수,3.0,"부부동반 모임을 한 울산 맛집 솔밭가든.
다양한 메뉴를 드실 수 있는 곳. 소갈비를 드시면 냉면이 무료입니다."
