place_id,user_id,score,comment
숙달돼지 울산삼산점,정진희,4.0,"직원이 고기를 구워줘서 먹기 편함.
여느 고기구이집과 비슷.
3인분부터 주문 가능하고, 테이블 약간 좁은것도 다 똑같음. 가격도 비슷.…"
숙달돼지 울산삼산점,Pablo _,4.0,삼산동 숙달돼지 입니다! 숙성 돼지고기 인 만큼 맛도 있고 이래저래 나오는 찬들이 아주 괜찮습니다. 하나부터 열까지 다 구워주시기 때문에 먹는 법도 알려주시는데로 드시면 됩니다. 가격은 있지만 한번씩 드시러 오시는갓을 추천드립니다!
숙달돼지 울산삼산점,unghee Jo,5.0,알바 불친절한건 없다 참친절하고 맛남 고기구워주는게 예술이다. 즐겁게   먹고간다
숙달돼지 울산삼산점,주누후누,4.0,"요즘 돼지고기 맛은 상당히 상향 평준화 되었기에 말할 필요 없다 생각하고, 서비스나 사이드의 맛도 괜찮았음."
숙달돼지 울산삼산점,무거1000,4.0,두툼한 숙성돼지고기를 직원이 먹기 좋게 구워줌.. 약간 부담스럽기도 하지만 친절함.. 삼겹살도 꼬시하니 맛있지만 이집 목살은 정말 부드러웠음.. 삽겹살 목살만 구워주고 나머지 부위는 내가 직접 구워먹어야 됨.. 다만 해물된장찌개가 5천원 치고 너무 형편없고 냉면도 그닥.. 고기와 밑반찬이 맛있는 집이지 식사는 별로임
숙달돼지 울산삼산점,Rick Lee,4.0,잘 구워주고 맛집 추천 입니다
숙달돼지 울산삼산점,배성준,5.0,
숙달돼지 울산삼산점,김강희,5.0,
숙달돼지 울산삼산점,Panggi,5.0,
숙달돼지 울산삼산점,김경래,5.0,
숙달돼지 울산삼산점,하주석,5.0,
숙달돼지 울산삼산점,Seungjin Baek,3.0,
숙달돼지 울산삼산점,Marie CH,5.0,
숙달돼지 울산삼산점,고봉수,3.0,
숙달돼지 울산삼산점,배영호,3.0,
숙달돼지 울산삼산점,나디니diny,5.0,
숙달돼지 울산삼산점,손오반,3.0,
숙달돼지 울산삼산점,민영,1.0,바쁜건 이해하지만 식당 들어가도 그 누구도 아는척도안하네요 ;; 몇몇 알바생분들 눈 마주처도 무시하길래 결국 한명 붙잡고 어디앉으면되냐고 물어봤습니다..그리고 다른테이블 옆테이블은 다 고기구워주는데 우리테이블은 고기만갖다두고 불판켜놓고 10분넘도록 감감무소식.. 저보다늦게온 옆테이블은 구워주고있네 ^^..결국 제가 알아서 구우면되는거냐고 물어보니 그제서야 한마디 말없이 집게를 들으시더라는.. 고기는 그냥 나쁘지않게 먹었는데 들어갔을때부터 기분이 나빠서 기분좋은 저녁시간을 망쳤네요..바쁘더라도 손님오시면 몇명오셨냐고 신경좀써주셨으면 좋겠습니다..
숙달돼지 울산삼산점,금금이,5.0,맛있네요♥  직원분들엄청친절하십니다^^!!!!
숙달돼지 울산삼산점,입맛까다로운사람,4.0,고기 진짜 맛있음. 구워주는것도 매우 적당함.하지만 피크시간대에는 대기열이 있는편임.
