place_id,user_id,score,comment
숙성창고,무거1000,4.0,"여러 종의 숙성회를 맛볼 수 있다. 먹지도 않는 거추장스러운 반찬은 없다. 오로지 회에만 전념할 수 있다. 테이블이 많지 않아 7시 넘어 가면 기다려야 한다. 괜찮아, 회는 살 안 쪄... 살은 내가 찌지..."
숙성창고,Daniel Lee,3.0,"회는 평범
크림 저거는 맛있음"
숙성창고,이선종 (Andreas Lee),5.0,동네 장사인데 음식 만족도가 높았음!
숙성창고,두토리묵,5.0,"남자친구 추천으로 두번 왔었는데 두번다 너무 맛있었습니다!
연어가 두꺼워서 식감도 미쳤구 진짜 맛있어요
남자친구는 명란구이 자기취향이라구 엄청 좋아했습니다.
개인적으로 저 김밥 무조건 필수에요 진짜 연어랑 같이 싸먹으면 정말 맛있습니다👍…"
숙성창고,최수현,4.0,마끼 처음 먹어보는데 완전 좋았다😄 나이쓰…
숙성창고,L. 205,4.0,"기본에 충실한 가게
A세트 중자 대자랑
B세트로 중자 대자로 나뉘어져있음"
숙성창고,injeong kim,5.0,일단 전부다 신선하고 개인적으로 회가 두꺼워서 좋네요 ^^ 다음에도 회 먹을때는 여기 올거같아요
숙성창고,이강훈,4.0,맛도 좋고 분위기도 좋음. 주차는 아주 어려움
숙성창고,harasion하라시온,5.0,전 코나 보컬 김태영님의 식당 그건만으로도 최고최고
숙성창고,프로빡빡이,5.0,맛있고 좋은데 세벽쯤은 담배냄새가 나서 살짝 아쉽다
숙성창고,조성욱,4.0,좋은 분위기와 맛있는 음식.
숙성창고,성구오,5.0,강추합니다
숙성창고,EE L,4.0,괜찮은 숙성회
숙성창고,Dd D,5.0,졸맛이더라
숙성창고,이태환,5.0,뇸뇸굿
숙성창고,색구,4.0,
숙성창고,호홍,4.0,
숙성창고,전민우,5.0,
숙성창고,유니콘,5.0,
숙성창고,이재원,5.0,
숙성창고,김지훈,3.0,
숙성창고,타이가,1.0,
숙성창고,Chevalier 1005,3.0,
숙성창고,Alex Kim,3.0,
숙성창고,도람,5.0,울산 숙성연어 중에 제일 맛있음김마끼 필수 안 먹으면 바보Ps. 사장님 두부 다시 큰걸로 돌려놔주시면 안돼요?돈 주고 사먹을게요 ㅜ
