place_id,user_id,score,comment
숯불에닭 달동점,강수민,4.0,"촉촉한 닭갈비
다 구워줌
소스도 맛있음…"
숯불에닭 달동점,김성규,5.0,"양념 소구구이닭갈비와 다양한메뉴 맛있어요
온잔치국수 국물 좋아요~"
숯불에닭 달동점,무거1000,3.0,숯불에 구워 먹는 매콤한 닭구이다. 맛도 가격도 괜찮은 편이다. 테이블 간격이 너무 좁아서 사회적 거리두기는 전혀 되지 않는다.
숯불에닭 달동점,삼산동손거성,4.0,맛있게먹었어요👍…
숯불에닭 달동점,양성훈,4.0,"양많고 맛있습니다
초벌해서나오는데 거의다익어나와서 바로먹을수있어서
편하게먹었습니다"
숯불에닭 달동점,박수한,5.0,"소금구이 숯불구이 맛있어요.
직원서비스 좋아요"
숯불에닭 달동점,이상헌,4.0,"맛도 괜찮고 간단하게 한잔 하기에
좋습니다."
숯불에닭 달동점,갈비맛,5.0,"울산에만 있는게 억울할 정도로 맛있는 집
닭도 쫀득쫀득하고 양념도 숯불향 가득에 감칠맛 장난아님"
숯불에닭 달동점,이상진,4.0,사람 많은데 맛도 좋고 가림막이 좀 허술함
숯불에닭 달동점,리엘,3.0,"밥안주 아님 술 안주임.ㅎㅎ
먹을만함.와~맛있다는 아니고"
숯불에닭 달동점,김은주,5.0,초벌구이 해서 나와서 편하고 맛있어요
숯불에닭 달동점,굿스멜,4.0,"괜찬다 재방문의사있으나, 너무 번잡함"
숯불에닭 달동점,김도경,4.0,대기가 길어요. 닭목살은 부드럽고 맛있었어요.
숯불에닭 달동점,박병규,4.0,나쁘지 않아요 전 양념이 맛나네요
숯불에닭 달동점,Joa Busai,5.0,닭꼬치 먹는다고 여기저기 찾아다닐 필요없음
숯불에닭 달동점,최현수,4.0,굿입니다.
숯불에닭 달동점,김지훈,4.0,가성비좋은 맛집이죠~~
숯불에닭 달동점,dk,5.0,"좋은가격, 구워먹으니 맛있음."
숯불에닭 달동점,HHell korea,4.0,여기 맛있어요 강추강추:D
숯불에닭 달동점,won J,5.0,보들보들 술안주 직입니다
숯불에닭 달동점,이소영,5.0,기대안했으나 맛있지
숯불에닭 달동점,인선생,5.0,완죤 밋있는 숯불닭갈비
숯불에닭 달동점,박삼식,1.0,맛집인같네요
숯불에닭 달동점,곱단이,5.0,맛있어요
숯불에닭 달동점,손영준,5.0,초벌구이라 만족
숯불에닭 달동점,junhwan choi,5.0,맛있습니다.
숯불에닭 달동점,더썬,4.0,양 푸짐  굿!
숯불에닭 달동점,윤주일,3.0,밎반찬이 별루라서
숯불에닭 달동점,pilyong lee,4.0,맛나요
숯불에닭 달동점,없는계정입니다,4.0,숯불에 굽는 닭
숯불에닭 달동점,정진희,4.0,
숯불에닭 달동점,황성원,5.0,
숯불에닭 달동점,진은,5.0,
숯불에닭 달동점,이동휘,4.0,
숯불에닭 달동점,사골곰탕,5.0,
숯불에닭 달동점,Seongmin Shin,5.0,
숯불에닭 달동점,김민성,4.0,
숯불에닭 달동점,전,4.0,
숯불에닭 달동점,Ge nie,5.0,
숯불에닭 달동점,오영택,5.0,
숯불에닭 달동점,Alik Izzatov,5.0,
숯불에닭 달동점,회사원Teo,4.0,
숯불에닭 달동점,유무상생,5.0,
숯불에닭 달동점,machingun passion,4.0,
숯불에닭 달동점,금나라,5.0,
숯불에닭 달동점,어블,5.0,
숯불에닭 달동점,Sang Hyun Tak,5.0,
숯불에닭 달동점,seungheon son,5.0,
숯불에닭 달동점,나무미,5.0,
숯불에닭 달동점,나비효과,4.0,
