place_id,user_id,score,comment
숯불의향기 명촌점,Hyun jini,5.0,"숯불향기 제대로 나고 양념도 맛있어요~ 치즈 한판먹고 추가로 더 주문해서 먹었어요. 맛있어요ㅎ
(첫 사진처럼 초벌해서 나와요) 잘라 불향 더 입혀서 먹음 돼요."
숯불의향기 명촌점,또잉,3.0,"소금구이, 간장, 양념 각각 1만냥/인분 인데 1가지 맛으로 3인분 주문이 기본임!

세트메뉴도 있는데…"
숯불의향기 명촌점,장현구 (그의여행),4.0,"구워먹기좋고 숯불향은 엄청나지않지만
적당히먹기좋아요"
숯불의향기 명촌점,bellagio,4.0,"가격이 조금 비싸지만 간장, 고추장 반으로 맛있게 먹었어요 둘이서는 3인분도 충분할듯"
숯불의향기 명촌점,DK,5.0,맛있어서 또왔어요
숯불의향기 명촌점,Jisu Bak,4.0,"숯불 닭갈비 집이 없어져 아쉬워하던 시점에 가게 되었다.
나는 고추장 맛으로 3인분을 주문했다.
초벌구이가 되어 나오며 직원분께서 친절하게 구워 주신다. 닭갈비는 강, 중, 약으로 맵기 조절이 가능하다.…"
숯불의향기 명촌점,Eric Do,4.0,맛있으나 가격에 비해 양이 아쉬웠음
숯불의향기 명촌점,사랑방촌장,4.0,"울산 동구 농수산물
뚜레주르 옆 골목.!
맛도 청결함도 친절함까지…"
숯불의향기 명촌점,이지영,2.0,가격대비 맛은 그닥이네요.
숯불의향기 명촌점,아름,4.0,어느정도 익어서 나오니까 좋네요~개인적으로 고추장이 맛있어요~닭발도 괜찮아요
숯불의향기 명촌점,박상우,4.0,먹는 순서는 소금->간장->양념순 입니다
숯불의향기 명촌점,홍승구,4.0,맛있고 직원분들이 친절합니다^^주차장이 조금 아쉬워서 별4개입니다!
숯불의향기 명촌점,김군,3.0,음식은 맛있으나 음식준비시간이 너무 길다..
숯불의향기 명촌점,한동균,3.0,매운닭발 계란찜 묵사발
숯불의향기 명촌점,강병훈,3.0,예전보다 맛이 덜한것같네요.
숯불의향기 명촌점,주김,4.0,숯불에 구우면 다 맛있지...
숯불의향기 명촌점,이점동,4.0,숯불항닥발맛이있습니다
숯불의향기 명촌점,이상훈,5.0,엄청맛남~!
숯불의향기 명촌점,무무,3.0,양념>소금
숯불의향기 명촌점,공호영,4.0,불맛이 일품
숯불의향기 명촌점,대한민국국민,3.0,그닥...
숯불의향기 명촌점,Kyunghee Harry Lee,5.0,
숯불의향기 명촌점,Seongmin Shin,5.0,
숯불의향기 명촌점,Hwang jung hong,4.0,
숯불의향기 명촌점,염기용,5.0,
숯불의향기 명촌점,Sangmin Lee,3.0,
숯불의향기 명촌점,바나나우유,3.0,
숯불의향기 명촌점,조민석,5.0,
숯불의향기 명촌점,김택영,3.0,
숯불의향기 명촌점,더뉴,4.0,
숯불의향기 명촌점,소주한잔 (소주한잔),4.0,
숯불의향기 명촌점,복재민,3.0,
숯불의향기 명촌점,김민영,5.0,
숯불의향기 명촌점,김미정,4.0,
숯불의향기 명촌점,이병직,3.0,
숯불의향기 명촌점,캡틴황,4.0,
숯불의향기 명촌점,이진일,1.0,
숯불의향기 명촌점,윤재황,5.0,
숯불의향기 명촌점,고채은,3.0,
숯불의향기 명촌점,남김진걸,3.0,
숯불의향기 명촌점,배교훈,4.0,
숯불의향기 명촌점,신대호,3.0,
숯불의향기 명촌점,제우스,5.0,
숯불의향기 명촌점,아하우후,4.0,
숯불의향기 명촌점,Prince Ulsan,3.0,
숯불의향기 명촌점,삼산동손거성,5.0,
숯불의향기 명촌점,sanghee park,3.0,
숯불의향기 명촌점,정영권,5.0,
숯불의향기 명촌점,Piljae Kim,4.0,
숯불의향기 명촌점,고봉수,3.0,
숯불의향기 명촌점,정열이,2.0,
숯불의향기 명촌점,김수철,4.0,
숯불의향기 명촌점,김진수,5.0,좋아요
숯불의향기 명촌점,이주현,1.0,알바생 교육 1도 안됨1. 소주 가져다주면서 잔 안가져다 줌2. 불판 교환하면서 고기 화로에 다 빠트림3. 국수 시켰는데 양념장 안가져다줌4. 벨 누르면 대답하고 안옴 전체적으로 기본 숙지 안됨 전부 처음 일하는듯교육 후 투입 필수일 듯 다음부터는 방문 안합니다.
숯불의향기 명촌점,김창조,5.0,숯불 닭갈비 흔하지 않죠~ 맛 쵝오입니다.
숯불의향기 명촌점,포동포동,5.0,
