place_id,user_id,score,comment
스컹크웍스 신정점,yh j,5.0,커피 정말 맛있구요 가성비 최고입니다. 야외 공간에서는 애완동물 데리고 있을 수도 있네요. 이제 맛있는 커피 사러 멀리 가지 않아도 될것 같습니다.
스컹크웍스 신정점,이강훈,5.0,간단히 커피 마시기 좋음. 공간이 넓어서 좋음
스컹크웍스 신정점,박하연,4.0,커피가 진하고 맛있었어요^^빵은 사실 평범합니다^^ 목욕탕을 개조해서 소리 울림이 있지만 화장실도 독특하고 동네길이라 운치있습니다!
스컹크웍스 신정점,박하림ᄉ111,4.0,"장소도 넓어서쾌적하고
말차라떼를 즐겨마십니다.
테라스에 꽃도 예쁘네요."
스컹크웍스 신정점,김용술,4.0,"울산 핸드드립커피의 원죠격이죠
지금은 더 이상 하지 않지만..
세 종류의 아메리카노만으로도 충분한 그 포스~…"
스컹크웍스 신정점,Daniel Kang,4.0,"분위기 깡패 울산맞나싶게 예쁘다 그러나 동네골목이라 위치가 애매, 주차공간 없음"
스컹크웍스 신정점,Seung Bai Park (Sir.),3.0,울산 토박이 커피프렌차이즈. 3천만원 짜리 키스반더웨스턴 스피릿 머신 보유. 직접 빵도 굽고 인테리어도 나름 괜찮음. 주차장 없음. 위치 애매.
스컹크웍스 신정점,김혜신,4.0,. 케잌류가 비싼듯
스컹크웍스 신정점,나야민,5.0,가격도 괜찮고 커피도 맛있어요~분위기도 좋아요
스컹크웍스 신정점,Salon Bang,5.0,분위기도 좋았고 커피맛도 진짜 좋았어요
스컹크웍스 신정점,Soo&Rim Song,4.0,골목안이라서주차가좀힘들지만 분위기도 편안하니 커피맛도좋아요 여기주변에브런치가게랑빵가게도있어서동네주민이라면좋을듯
스컹크웍스 신정점,BinHee Yang (LISA),5.0,"가격은 조금 비싼듯
공간이 넓고 인테리어 좋아요
커피맛도 좋은편!
주차공간은 좀 부족"
스컹크웍스 신정점,이영우,3.0,목욕탕 했던곳 개조~ 빈티지한 느낌  좋아요.말소리가 너무 울리는게 흠~
스컹크웍스 신정점,민희김,4.0,23시까지 오픈이라 방문했는데 나쁘지 않았어요. 의자가 불편한 좌석이 있어 별 하나 뺍니다. 자리 2번 옮겼어요 ㅜ
스컹크웍스 신정점,이창희,5.0,옥동 핫플레이스.커피맛이 혼자가도 빠져드는맛에 주택가 볼거리도 맛은 향수가 묻어나는 주택가 커피숍이에요
스컹크웍스 신정점,김정현,5.0,조용하고 커피 맛도 나쁘지 않고 좋아요
스컹크웍스 신정점,박윤환,4.0,분의기 좋은 카페였으나 입소문 타면서 사람이 많이 몰림. 조용하게 마시기에는 좀 힘든곳.
스컹크웍스 신정점,정태현,4.0,3가지 맛 중 선택가능합니다. 기호에 따른 커피맛이 좋더군요
스컹크웍스 신정점,정승욱,4.0,목욕탕을 리모델링해서 만든 커피숍...커피도 맛있고 분위기도 좋아요.
스컹크웍스 신정점,김라니,5.0,커피도맛있고 분위기도좋고 너무 편했어요
스컹크웍스 신정점,MOMO Hermit,4.0,무거동 본점과는 다른 분위기.  아메리카노는 무난합니다. 허나 주차장이 없어서 좀 불편합니다.
스컹크웍스 신정점,짱쭈야,5.0,분위기 좋고 커피도 맛있고 옥수수빵 넘 맛나요
스컹크웍스 신정점,HyeRa Lee,4.0,분위기 좋고 좋은시간 보냈습니다
스컹크웍스 신정점,박은영,5.0,친절하고 커피맛도 좋아요😘…
스컹크웍스 신정점,이승근,4.0,많은 분들이 찾는 곳이라 조금은 시끄러울 수 있습니다. 테이블간의 거리가 넓어서 편안합니다.
스컹크웍스 신정점,김은선,5.0,커피도 맛있고 아보카도 쉐이크도 정말 맛있어요~~^^
스컹크웍스 신정점,sun햇살,4.0,넓고 시크한 분위기가 조아요  좁은골목이라 주차는 좀......
스컹크웍스 신정점,마요의15번째 구독자가 되주세요,4.0,"카페라떼가 맛있는 집, 직원들의 응대도 좋은편"
스컹크웍스 신정점,신길년,5.0,커피가  너무맛있고 친절한게 장점이죠^^
스컹크웍스 신정점,오세원,3.0,소문만큼 맛있거나 좋지는 않네요.
스컹크웍스 신정점,최수영,5.0,인테리어도 괜찮고 매니저님도 친절하시네요 ^^
