place_id,user_id,score,comment
스타벅스 울산MBC DT점,Helper Lee,4.0,"토~ 모닝입니다.
커피 원두가 바뀌었는지
.......…"
스타벅스 울산MBC DT점,SANGHO LEE (Shawn),4.0,주차장 넉넉하고 직원분들 친절하세요 아늑하고 편한해요 지리적으로 접근하기 수월하고 DT로 구매가 가능해서 편의성 좋아요 다만 일부 주말아침 같은경우 DT라인 손님이 많아요
스타벅스 울산MBC DT점,H SUK,4.0,"주차 편리하고 드라이빙 스루도 있어 편리합니다.
아늑한 공간에서 대화하기 좋음."
스타벅스 울산MBC DT점,Karma Baek,5.0,"운동하는곳 옆에있어서 좋습니다.
주차굿 서비스굿 커피 굿"
스타벅스 울산MBC DT점,Daniel Kang,4.0,스타벅스의 장점은 오래머물러도 눈치 안보이고 친절하고 조용하다
스타벅스 울산MBC DT점,damdam,2.0,"드라이브 스루 가능한 매장으로 3층까지 운영하고 있는 듯 합니다. 직원분들은 친절했으나 테이블이 2인 혹은 1자리씩 띄워 앉는 공용 테이블 위주로 구성되어있어 3~4인이 이용하거나 할 땐 테이블과 의자를 옮겨 이용해야해서 조금 불편했습니다. 그리고 방문했을 때 2층은 거의 과제나 공부를 하시는 분들이 노트북 등을 놓고 자리를 사용하고 있어서 안그래도 4인 테이블이 없던데 빈자리는 2인석만 남아있었습니다.
드라이브 스루로 이용할게 아니라면 커피를 마시며 담소를 나누거나 쉬어가기엔 적절치 않아 굳이 재방문의사는없습니다."
스타벅스 울산MBC DT점,홍바람소리,2.0,돌체콜드브루를 시켰음.  투톤에 색감이 맛을 더해주는...... 근데 이건 머그컵에 라떼라고 해도 할말없을 색감  아이스 커피를  머그컵에 준다는건 어이 없다   맛도 없는거 같다
스타벅스 울산MBC DT점,김소영,3.0,"DT주문 픽업까지 너무 오래걸림
음료안에 커피 찌꺼기도 너무많았음
dt라는걸, 스타벅스라는걸 배제한다면
가지 않을듯"
스타벅스 울산MBC DT점,김종대,5.0,"공간도 넓직하고
적당히 소란스러워
야외 의자에서
음료를 먹었네요."
스타벅스 울산MBC DT점,Im Sang Hoon 무상훈 (무상훈),4.0,울산에서 가장 최근에 오픈한 스타벅스 프랜차이즈 MBC방송국 에서 가까운 카페매장
스타벅스 울산MBC DT점,버미버밍,3.0,아메리카노벤티 시켰는데 컵에 분홍색 캔디같은게잇네요...관리에 크게 신경쓰는매장은아닌듯해요
스타벅스 울산MBC DT점,Sean Lee,5.0,"조용하고 주차공간이 많아요
주차비는 유료지만 1만원당 1시간씩 무료주차 가능합니다"
스타벅스 울산MBC DT점,윤석영,3.0,"드라이브 드루도 가능하고 주차장도 넉넉해서 좋습니다.
그런데 2층에 올라가니 학생들이 자리들을 차지하고 공부하고 있네요. 코로나때문에 커피숍에서 공부하는 건 좋으나 공부는 집이나 학교를 이용하길 바랍니다. 업무차 커피숍에서 대화도 힘들다니 조금 짜증나네요. 더군다나 이 시국에 다닥 다닥 붙어 앉아 있으니 찝찝하기 이루 말할 수 없네요"
스타벅스 울산MBC DT점,Cho howon (꿀꿀이비엔나),5.0,새로생긴 스타벅스. 주차장도 공간이 좀 되고 무료 주차장이며 드라이드인쓰루도 있음. 2층 콘센트가 있는 테이블이 낮고 의자도 편한것 같고 개인적으로 맘에 듦. 아파트 단지가 있어서 인가 의외로 사람이 많은것이 흠..
스타벅스 울산MBC DT점,sunnyday K (sunnyday),3.0,드라이브스루있고 주차장있어요. 조용하고 넓네요.
스타벅스 울산MBC DT점,윤예준,5.0,"대로변에 있어서 접근성도 좋고, 내부도 넓게 구성되우 있어서 편하게 커피를 마시기에 좋습니다~"
스타벅스 울산MBC DT점,Jacky F.,5.0,차타고 주문이 가능한곳이라그런지 차가지고 많이 오네요.
스타벅스 울산MBC DT점,조은희,5.0,"울산에서 가본 스벅 매장중 제일아늑하고
좋아요.주차장도 넓고
이층 좌석도 편하고 빈 공간을 충분히…"
스타벅스 울산MBC DT점,정영희,5.0,주차공간은 작아도 있구요 드라이브 쓰루가 있어 이용하기 좋아요 2층까지 있어요 손님이 만원이네요
스타벅스 울산MBC DT점,윤영주,1.0,여기서 모임 50분하고  10명이 각각 기계한대인 주차비 계산하느라 뒷사람들이 엄청 기다림. 여기서 먹고 가는건 아닌듯
스타벅스 울산MBC DT점,gloomylamb kor,5.0,주차공간 괜찮고 건물 깔끔하고 야외석도 좋았습니다. 도로변이라 그럴싸한 야경이 없다는 점만 제외하면 만족스러움
스타벅스 울산MBC DT점,권PT.,5.0,"Drive-through 드라이브 뜨루 가능하다.
주차공간도 있다. 2층까지 있고 아기와 엄마 고객들이 많아보인다. 공부하는 학생들도 많다."
스타벅스 울산MBC DT점,JENNY이정선,4.0,"주차가 쉽고 드라이브 쓰루도 가능합니다.
오전에 커피랑 샌드위치로 브런치하기 좋습니다. 2층 창밖을 볼 수있는 자리도 있습니다."
스타벅스 울산MBC DT점,jk s,1.0,"주차관리 안됨
직원들 불친절 완전 별로임
마른고 굵은 목소리 남자 직원 상투적으로 쓰는 고객응대말투
친절한척 하지만 전혀 친절하지않음"
스타벅스 울산MBC DT점,냉이달리오,5.0,조용한 분위기 넓은 매장
스타벅스 울산MBC DT점,Hyun jong Kim,4.0,주차하기 좋아요
스타벅스 울산MBC DT점,Hyunchel Park,4.0,조용하고 자주 이용하고 있습니다.
스타벅스 울산MBC DT점,donna bahara,1.0,주차시에 1만원 이상 결제해야 딱 1시간 무료주차..
스타벅스 울산MBC DT점,JM K,5.0,오전에 가니 손님이  너무 많아요ㅜ.ㅜ 참고들 하세요
스타벅스 울산MBC DT점,깜비누,4.0,"매장도 크고 사람도 많아요. 주말에 가니 북적북적 시끌시끌 하더라구요.
주차장은 뒷편에 있어요."
스타벅스 울산MBC DT점,김우호,5.0,"집근처에있는 스타벅스 드라이브스루 자주찾는곳
직원들도친절하고"
스타벅스 울산MBC DT점,최병민,4.0,주차공간이 있어서 잠깐 틈내어 차 한 잔의 여유를 누릴 수 있어 좋아요
스타벅스 울산MBC DT점,김아미,5.0,"직원이 너무너무 친절해서 좋았어요
멤버쉽이나 할인카드 등 다 설명잘해주시고 귀찮아하심이 1도없음"
스타벅스 울산MBC DT점,될꺼야잘,5.0,깨끗해서좋았지만 주차공간이 협소한건쩔수없지만 인테리어나 직원친절도다만족합니다
스타벅스 울산MBC DT점,이동훈,5.0,"홈플러스 및 번영로 인근에 위치하여 방문하기가 편리합니다.
주차시설은 건물 뒷편에 있습니다."
스타벅스 울산MBC DT점,김미라,5.0,집근처라 가까워서 주말에 한잔씩 마시러가는데 좋아요
스타벅스 울산MBC DT점,짱시로,5.0,비대면 시대에 드라이브스루로 주문하고 뒷편 주차장에 주차해놓고 마시기 좋습니다~^^
스타벅스 울산MBC DT점,서재현,5.0,직원분들이 굉장히 친절하셨고 커피도 맛있었습니다.추천합니다♡
스타벅스 울산MBC DT점,조종인,1.0,암튼 고객이 물어봐도 시큰둥 공짜쿠폰이니 먹으러가지 조끄튼 이런커피숖 왜 가는지 이해가안가.
스타벅스 울산MBC DT점,Noblesse (혜안),4.0,드라이브 스루도 있고  주차장도 있어서 만나서 이야기하기 좋는곳
스타벅스 울산MBC DT점,고윤후 (volunteer),5.0,주차장이 잘되어있고 드라이브 스루가 되서 편리해요
스타벅스 울산MBC DT점,메기,2.0,"드라이브 쓰루 닉네임 안불러줘요.
이상한 닉네임 아닙니다... 5번인가 갔는데 그냥 고객님.."
스타벅스 울산MBC DT점,Lee Victo,5.0,깨끗하고 직원분들이 친절하네요'-' 주차도 편해요!
스타벅스 울산MBC DT점,응애,1.0,시설은 좋은데  직원친절도가 그 닥 .. 주문 버벅 거리니 한숨을 쉼 .
스타벅스 울산MBC DT점,민희김,5.0,너무 너무 친절하게 웃으면서 응대하셔서 갈 때마다 기분 좋아요 ㅎ
스타벅스 울산MBC DT점,김찬빈이 아부지,5.0,울산 중구의 핫한 장소 중구 스벅이에요 2층에는 노트북을 펴고 일하는 사람이 많아요
스타벅스 울산MBC DT점,Cheonlk Park,4.0,매장도 넓고 이용하기 편해요
스타벅스 울산MBC DT점,TH Interpreter ล่าม JUNG คุณ จอง,5.0,"스벅은 스벅 ~
유자민트차 완전 내스타일 🤩👍🏻…"
스타벅스 울산MBC DT점,호야,5.0,집앞이라 휴일마다들리는곳인데 친절해서 좋았어요.
스타벅스 울산MBC DT점,다니지니,4.0,깔끔하고 괜찮지만 2층에 공부하는 사람들이 너무많음~독서실인줄
스타벅스 울산MBC DT점,유로누 (유로누),1.0,스타벅스 처음와봐서 메뉴 고르는데 조금 서툴렀는데 여직원이 대놓고 기분나쁜 티를 내면서 엄청 불친절한 태도를 보여서 기분 잡쳤네요
스타벅스 울산MBC DT점,Seong-min Hwang (AcrobaticBear),4.0,스벅은 사랑이다.. 체인점 카페라떼중에서는 스벅이 내입에 제일 잘 맞다..
스타벅스 울산MBC DT점,kik쭈니파더,3.0,직원의따라 친절도가다름 어떤직원은친절한데 어딴직원은 물어도 대꾸안함
스타벅스 울산MBC DT점,한정우 (마공남편),2.0,주차시스템이 넘 불편하네요..
스타벅스 울산MBC DT점,냥이캣맘,4.0,"깨끗하고
주차공간 좋구요
직원 친절 합니다"
스타벅스 울산MBC DT점,JoonGyeong Seol,5.0,북적여요 많이 드라이브스루도 줄설정도내요
스타벅스 울산MBC DT점,최충만,3.0,다 좋은데 앉을 자리가 별로 없어 난감했었네요
스타벅스 울산MBC DT점,김효주,5.0,매장 깔끔하고 직원분들이 친절하십니다.
스타벅스 울산MBC DT점,강민수,5.0,"맛있어요
친절해요"
스타벅스 울산MBC DT점,김대현(군고구마),4.0,"DT됨, 적당한 넓이의 주차장도 있음"
스타벅스 울산MBC DT점,이영준,5.0,"코로나 소독 계속하고 깨끗하네욥
드라이브는 빨라요"
스타벅스 울산MBC DT점,돼지꿀,5.0,집 앞에 있어서 너무 잘 먹었습니다.
스타벅스 울산MBC DT점,seongjin RA,4.0,새로 틀어선 매장이라 방문해 보았습니다 그냥 평범한다고 느껴지는 곳이네요
스타벅스 울산MBC DT점,JongKeol LEE,4.0,좋은데 사람이 많아서 대기가 좀...
스타벅스 울산MBC DT점,하늘땅,5.0,"너무  부드럽고  맛있고  행복했음
넓고  조용하고  좋았음"
스타벅스 울산MBC DT점,S S,3.0,직원분이 친절하고 좋았지만  개인적으로 케익의 양이 조금 미흡해서 아쉬웠습니다.
스타벅스 울산MBC DT점,엄기찬,5.0,지금은 안에서 마시진 못하지만 좋습니다 ㅎㅎ
스타벅스 울산MBC DT점,Minsoo Kim,4.0,다른데 보다 매장이 넓어서 좋아요~
스타벅스 울산MBC DT점,Minseo Kim (Jade),5.0,지금 2층 누수로 공사중... 어둡다
스타벅스 울산MBC DT점,choi jerry,5.0,이층 넓고 의자 편안해요
스타벅스 울산MBC DT점,Yunho Lee,4.0,드라이브 뜌류 되고 매장 2층 테라스도 있고 좋음
스타벅스 울산MBC DT점,peter Yang,4.0,2층이 조용하네요. 손님이 많아요
스타벅스 울산MBC DT점,나디니diny,5.0,사람이 좀 많지만 커피가 빨라요
스타벅스 울산MBC DT점,열두시,5.0,스벅건물로 신축해서 아주 좋아요.
스타벅스 울산MBC DT점,Nicole Moon,2.0,다른 지점에 비해 커피양 엄청 적어요.
스타벅스 울산MBC DT점,김Junny,3.0,스벅은 스벅이지 뭐 다를게있나 주차장이 쪼매 되긴함 15대 정도
스타벅스 울산MBC DT점,Y H,4.0,주차장이 생각외로 협소함. 드라이브스루에 최적화되어있음.
스타벅스 울산MBC DT점,이 아로하별둥,3.0,의자가 불편함
스타벅스 울산MBC DT점,강마이,5.0,청결하고 아늑해요
스타벅스 울산MBC DT점,홍수연,4.0,3층 건물인것 같은데 2층까지 오픈되어 테이블이 부족해서 좀 아쉬웠다
스타벅스 울산MBC DT점,뀨찌맘,5.0,커피도 맛있고 차마시기 좋아요
스타벅스 울산MBC DT점,Doyeon Ss,5.0,오더 빠르고 친절해요.
스타벅스 울산MBC DT점,김영철,3.0,외국자본의 침투가 달갑지 않지만..
스타벅스 울산MBC DT점,N only,5.0,스타벅스는 두말하면 입아파요~ 믿고가는 스벅!
스타벅스 울산MBC DT점,yeong,4.0,다 좋은데 주차장이 협소합니다..
스타벅스 울산MBC DT점,심재일,4.0,울산 병영에서 가장 가까운 거리인 스타벅스!
스타벅스 울산MBC DT점,dufao park,5.0,낮과 밤의 서로 다른매력이 있음
스타벅스 울산MBC DT점,남성윤후중,4.0,"주차하기  쫌 힘들어요
드라이브 스루  있음"
스타벅스 울산MBC DT점,장희빈,5.0,"집에서 가깝고 번영교에서
가까운거리라 좋아요"
스타벅스 울산MBC DT점,프리지아,4.0,정신없이 바쁜듯하긴하나 불친절하진않음
스타벅스 울산MBC DT점,넷놈애비,3.0,코로나로 인해 편하지가 않았네요
스타벅스 울산MBC DT점,정연석,3.0,조아요ㆍ주차장이 부족해요
스타벅스 울산MBC DT점,여행중독,3.0,주차장이 좀 더 넓었으면 좋겠어요.
스타벅스 울산MBC DT점,Han Sol Lee,4.0,분위기도 좋고 직원도 친절해용
스타벅스 울산MBC DT점,신욱진,4.0,주차장이 사람몰리면 부족함 ㅠㅜ
스타벅스 울산MBC DT점,피터팬피터팬,4.0,친절하고 좋아요
스타벅스 울산MBC DT점,Hyungmuk YU,3.0,주차가 정말 불편합니다
스타벅스 울산MBC DT점,박원진,4.0,장사가 이래 잘될줄이야
스타벅스 울산MBC DT점,오유진,4.0,시부모님이랑 오게 되었는데 나름 좋았어요.
스타벅스 울산MBC DT점,Seo서정선,5.0,접근성도 좋고 깔끔해요
스타벅스 울산MBC DT점,김춘수,4.0,주차시설 좋고 좋았어요
스타벅스 울산MBC DT점,기무정현,4.0,직원들 친절하고 껄끔함
스타벅스 울산MBC DT점,hyeon seok Kim,5.0,커피는 스벅이죠
스타벅스 울산MBC DT점,짹토,5.0,dt줄 오래기다림...
스타벅스 울산MBC DT점,김미정,5.0,깨끗하고 조용하고 좋아요
스타벅스 울산MBC DT점,D :,5.0,음료가 맛있어요
스타벅스 울산MBC DT점,배혜선,4.0,드라이버스루 있어서 편하다
스타벅스 울산MBC DT점,프리스탈JK,4.0,조용하니. 직원도 친절ㄷㄷㄷㄷ
스타벅스 울산MBC DT점,주영예준TV,5.0,분위기 좋고 위치좋고 사람 북적
스타벅스 울산MBC DT점,Sangman jo,1.0,싸가지 없는것...아니 없는곳.
스타벅스 울산MBC DT점,강봉구,4.0,깨끗하며 분위가 좋았습니다
스타벅스 울산MBC DT점,신영근_미스터손09,5.0,자주애용하는 매장이에여
스타벅스 울산MBC DT점,정재은,5.0,조용해서 사색하기 좋습니다
스타벅스 울산MBC DT점,강종대,1.0,"직원들 불친절해서요....
시정바람...."
스타벅스 울산MBC DT점,민기김,5.0,주차가 좋습니다.
스타벅스 울산MBC DT점,건박,5.0,공부하기좋은곳
스타벅스 울산MBC DT점,지국이,3.0,주차장이 너무 협소합니다
스타벅스 울산MBC DT점,곽민철,5.0,좋은 위치와 친절합니다
스타벅스 울산MBC DT점,신상훈,3.0,앉아 있기 불편하고 추움
스타벅스 울산MBC DT점,조병호,4.0,생각보다 주차공간 부족
