place_id,user_id,score,comment
신명횟집,bbui bbui,5.0,"가격 저렴하고 모듬회 양 많음.

최근 또 방문했는데 창문으로 바닷가가 보여 뷰가 좋음.…"
신명횟집,양민호,4.0,"가격착한 숙성회가 유명합니다
광어지느러미 다진 것이 별미랍니다"
신명횟집,가필드,5.0,"쯔끼다시는 별로 없지만
회는 제철에 맞게 정말 싱싱하고 ,
새알심미역국은 미역자체가 넘사벽 미역이고, 매운탕은 깊은맛이 나게 맛있고,…"
신명횟집,우준마미,3.0,"볼일이 있어 휴가를 이쪽으로 잡고~ 리뷰를 보고 찾게 됐어요~ 워낙 회를 좋아해서 평소 회를 자주 먹으러 다녀요,회는 모듬회에서 소 중 대 특대. 기본찬은 많지 않아요~ 기본찬 많이 나오는 곳 원하시면 추천하지 않아요~ 회는 비린내가 나거나 하진 않아요~제 입맛엔 굉장히 무난한 정도 인것 같아요. 딱 중간.…"
신명횟집,MM yo,5.0,바다를 보며 회를 먹을수있음....일찍 예약하면 방갈로같은 작은 방에서 식사가능함..
신명횟집,설탕공장,4.0,"외관만 보고 들어가서 안에 들어가서는 사람들 많아 놀랐어요~
맛집인가봐요 ㅎ 회, 매운탕, 미역국 넘 맛있어서 맛집 인정이요~"
신명횟집,Mission City,4.0,숙성된 회가 아주 맛있었고 가격 또한 마음에 들었습니다. 하지만 서비스가 조금 개선되어야 할 것 같습니다. 주문을 받으시는 분들이 조금 ...
신명횟집,유대석,4.0,"가격 대비 회.찌개다시.매운탕맛있습니다
추천합니다"
신명횟집,Jongcheol Kim,4.0,"3인회  55000원, 공기밥 1500원. 새알미역국 줍니다. 회는 최고 겉절이도 맛있고 특히 참기름이 아주 훌륭해요. 음식만 보면 별5개. 강추!!"
신명횟집,오계선,5.0,싱싱하고 쫄깃한 식감이최고에요.가격도 너무 착해요
신명횟집,pretyhjs,4.0,"좀 더 깨끗하면 좋겠고요 .
그래서 방문추천합니다. 가성비갑입니다.
11시부터영업하고 예약많은곳으로 전화문의후 방문하세요"
신명횟집,김용술,4.0,"☆☆☆.5

#모듬회 도 맛이 괜찮았고…"
