place_id,user_id,score,comment
심돈 본점,정영선,5.0,리뷰 보고 다녀온곳인데 여기는 먼저 고기를 구워서 나오기 때문에 너무 좋았습니다. 여기는 예약을 미리 해두면 좋을거 같습니당 자리가 금방 차더라구요.
심돈 본점,sh k (리셀),5.0,솥밥 메뉴 하나씩 먹어보고 있는데 김치찌개 솥밥은 찌개 맛은 있는데 좀 짜네요. 고기류 솥밥이 좀 더 맛있는것 같네요. 점심시간에는 회사들 많아서 예약 안하면 바로 먹기 힘들어요.
심돈 본점,박소윤,4.0,"삼겹살과 목살, 돼지껍데기랑 콩나물 무침, 부추 무침 비주얼은 식욕을 부르게 합니다. 많이 못드시는 분들은 중자 좀 양이 많다고 느끼실듯요~  고기는 두툼하니 돌솥판에 구워서 나와요~^^  맛있게 먹기만 하면 되죠~^^  여기는 쌈채소 대신 돌김이랑 무쌈에 싸 먹게 되어 있더라구요. 이색적으로 드시고 싶은 분들에게 추천 해 드려요~  어르신(70대 이상)들은 고기가 좀 씹기 힘들다고 하실 수 있어요."
심돈 본점,SeulBi Lee,5.0,맛있고 뭔가 멋져보입니다 가서 드시면 좋습니다
심돈 본점,youl kyeong Lee,5.0,2명이서 모듬 2-3인분 주문해서 먹었는데 너무 푸짐하게 잘먹었습니다!
심돈 본점,권현철,3.0,삼겹살과 돼지겁데기를 썩어 직접 굽어주는 서비스를 제공하는 곳으로 알바생들의 친절한 서비스가 눈에 띄는 영업방식임
심돈 본점,S.H. Park,4.0,구워져나와 편한것은 있으나 추가시 미리 요청필요하며 음식이 조금 느끼한편임
심돈 본점,윤미니영이맘,4.0,맛있고 친절한데 웨이팅이 길어요~~된장찌개는 조금 짜요
심돈 본점,김지혜,5.0,깔끔하고 맛있음.  고기는 구워져서 나오는데 빨리먹지않음 질겨져서 빨리먹어야함
심돈 본점,쨉구,4.0,"맛있고 가성비 좋아요 ㅎㅎ
근데 조금 느끼합니다😅…"
심돈 본점,권현철,4.0,"직접 구워주는 삽겹살 모듬구이 메뉴로 알바생들의 친절한 서비스에 맛있게 먹어 주기만 하면됩니다.
가격은 4인기준 모듬구이 한접시 5만원대 초반"
심돈 본점,박기숙,4.0,친절하고 돼지껍데기 맛있어요
심돈 본점,신동윤,4.0,무난하게 식사할 수 있는곳입니다.솥밥이 맛있습니다.
심돈 본점,Set Sun,3.0,평범한 맛에 시끄러운 분위기
심돈 본점,안순수TV,5.0,맛있고 주차장도 크네여^^
심돈 본점,최형욱,5.0,괜찮아요
심돈 본점,이건주,5.0,첨 가봤는데  고기가 구워서 나와서 편리하가  연하고  맛있었어요~^^
심돈 본점,UKTRAMAN,4.0,한판 개념! 색달랐어요~ ㅎㅎ 최소 한번은 가볼만합니다.
심돈 본점,ᄉᄒ,5.0,와 ㅋ 맛있었어요
심돈 본점,박문하,5.0,가게도 깔끔하고 고기도 맛있고 부드럽네요 가격도 괜찮은 듯 합니다
심돈 본점,아이나,1.0,음식이 너무 늦게 나와요 30분 넘게 기다려도 안 나오네요
심돈 본점,또잉,5.0,다 구워나와서 편하고 맛있어요~!!
심돈 본점,changmo Son,4.0,깔끔하고 구위서 나와서좋아요~
심돈 본점,신상훈,4.0,특색있어 좋아요
심돈 본점,송태아빠,4.0,저녁에는 시끄러운 편
심돈 본점,흥해라흥,5.0,점심이 맛있는 곳!
심돈 본점,강마이,4.0,맛있어요
심돈 본점,고깃집박사장,5.0,굿
심돈 본점,하별,5.0,고기 질이 너무 좋아요
심돈 본점,youngcranee,4.0,갠춘
심돈 본점,sh k,4.0,구워져서 나와서 편하구요 음식들이 간이 쎄서 술안주로 좋습니다
심돈 본점,장명진,4.0,모듬 한판에 소주한잔 하기좋은곳 함께 먹으면 좋은곳 입니다
심돈 본점,Helper Lee,4.0,
심돈 본점,이슬,4.0,
심돈 본점,김숙희,3.0,
심돈 본점,이네,5.0,
심돈 본점,이름뭐하지,5.0,
심돈 본점,Cheers Mate,5.0,
심돈 본점,손민석,4.0,
심돈 본점,정창호,3.0,
심돈 본점,SH Moon,4.0,
심돈 본점,양진관,5.0,
심돈 본점,카라미,4.0,
심돈 본점,리은아,5.0,
심돈 본점,SeungKi Shin,3.0,
심돈 본점,DY N,4.0,
심돈 본점,SEOLBIN CHOI,3.0,
심돈 본점,이성윤,5.0,
심돈 본점,권재근,4.0,
심돈 본점,M. Han,3.0,
심돈 본점,이경수,5.0,
심돈 본점,정비루 (허스키베어),5.0,
심돈 본점,김태윤,4.0,
심돈 본점,하삼동,4.0,
심돈 본점,최正식님,4.0,
심돈 본점,이종복,5.0,
심돈 본점,목진용,4.0,
심돈 본점,윤재일,3.0,
심돈 본점,Jongbok Lee,5.0,
심돈 본점,정영선,5.0,리뷰 보고 다녀온곳인데 여기는 먼저 고기를 구워서 나오기 때문에 너무 좋았습니다. 여기는 예약을 미리 해두면 좋을거 같습니당 자리가 금방 차더라구요.
심돈 본점,sh k (리셀),5.0,솥밥 메뉴 하나씩 먹어보고 있는데 김치찌개 솥밥은 찌개 맛은 있는데 좀 짜네요. 고기류 솥밥이 좀 더 맛있는것 같네요. 점심시간에는 회사들 많아서 예약 안하면 바로 먹기 힘들어요.
심돈 본점,박소윤,4.0,"삼겹살과 목살, 돼지껍데기랑 콩나물 무침, 부추 무침 비주얼은 식욕을 부르게 합니다. 많이 못드시는 분들은 중자 좀 양이 많다고 느끼실듯요~  고기는 두툼하니 돌솥판에 구워서 나와요~^^  맛있게 먹기만 하면 되죠~^^  여기는 쌈채소 대신 돌김이랑 무쌈에 싸 먹게 되어 있더라구요. 이색적으로 드시고 싶은 분들에게 추천 해 드려요~  어르신(70대 이상)들은 고기가 좀 씹기 힘들다고 하실 수 있어요."
심돈 본점,SeulBi Lee,5.0,맛있고 뭔가 멋져보입니다 가서 드시면 좋습니다
심돈 본점,youl kyeong Lee,5.0,2명이서 모듬 2-3인분 주문해서 먹었는데 너무 푸짐하게 잘먹었습니다!
심돈 본점,권현철,3.0,삼겹살과 돼지겁데기를 썩어 직접 굽어주는 서비스를 제공하는 곳으로 알바생들의 친절한 서비스가 눈에 띄는 영업방식임
심돈 본점,S.H. Park,4.0,구워져나와 편한것은 있으나 추가시 미리 요청필요하며 음식이 조금 느끼한편임
심돈 본점,윤미니영이맘,4.0,맛있고 친절한데 웨이팅이 길어요~~된장찌개는 조금 짜요
심돈 본점,김지혜,5.0,깔끔하고 맛있음.  고기는 구워져서 나오는데 빨리먹지않음 질겨져서 빨리먹어야함
심돈 본점,쨉구,4.0,"맛있고 가성비 좋아요 ㅎㅎ
근데 조금 느끼합니다😅…"
심돈 본점,권현철,4.0,"직접 구워주는 삽겹살 모듬구이 메뉴로 알바생들의 친절한 서비스에 맛있게 먹어 주기만 하면됩니다.
가격은 4인기준 모듬구이 한접시 5만원대 초반"
심돈 본점,박기숙,4.0,친절하고 돼지껍데기 맛있어요
심돈 본점,신동윤,4.0,무난하게 식사할 수 있는곳입니다.솥밥이 맛있습니다.
심돈 본점,Set Sun,3.0,평범한 맛에 시끄러운 분위기
심돈 본점,안순수TV,5.0,맛있고 주차장도 크네여^^
심돈 본점,최형욱,5.0,괜찮아요
심돈 본점,이건주,5.0,첨 가봤는데  고기가 구워서 나와서 편리하가  연하고  맛있었어요~^^
