place_id,user_id,score,comment
아니마 울산점,yum,3.0,"날치알크림은 두어 번 먹어봤는데 늘 만족스러웠어요. 새우 진짜 많이 들었고, 고소한 크림이랑 찐한 갑각류 향 잘 어울려서 아주 맛있었습니다 (색도 그렇고 약간 비스큐+크림 느낌) 근데 아래 다른 분 리뷰처럼 봉골레는 대체 뭔맛인가 싶었어요 ㅠ 그냥 집에서 냉장고 털이용으로 아무 재료 다 넣고 한 파스타 느낌; 맛없다는 게 아니라 '봉골레'의 맛이 절대 아니었어요. 조개 감칠맛 거의 없고, 토마토 많아서 너무 달고, 면은 넓적해서 소스 머금지도 못하고 봉골레랑 안 어울리고 그냥 총체적으로 묘했던... 라구도 한번 먹어봤는데 좀 묽고 달았어요. 그리고 매장 바쁠 때랑 한가할 때 음식 퀄이랑 서비스 편차가 좀 큰가 봐요. 전 여유로울 때만 방문했어서 그런지 평타 이상이었는데 불만족 후기가 많은 걸 보면,. 나름 유명 레스토랑인 만큼 전체적인 퀄리티 잘 유지해서 명성 이어갔음 좋겠네요"
아니마 울산점,fksoq,5.0,울산 오면 늘 방문 하는 곳 입니다. 파스타 최고
아니마 울산점,🤔,1.0,누가 봉골레 파스타에 바지락도 아니고 동죽을 넣나요.. 면은 떡져있고 토마토 파스타 아닌데 토마토 들어가있고 맛술인지 화이트와인인지도 너무 많이 들어가서 면에서 단맛나요 5900원 파스타만도 못한데 18000원이라뇨
아니마 울산점,츄뤂,5.0,트러플 리조또가 특히 맛났음 !뇨끼는 좀 더 부드러운 느낌이었는데 크림소스 맛있었고 새우살도 들어있음내부 분위기도 좋다
아니마 울산점,French,1.0,맛있으면 뭐하노 서비스가 쓰레기자리나도 안들여보내고 밖에서 달달떨면서 기다리라함ㅜㅠㅠㅠ개킹받네음식준비때매 그렇다는데 아니 자리랑 음식준비랑 뭔상관???
아니마 울산점,클라라,5.0,"1.제가 가 본 근처 여러 가게 중 파스타가 젤 맛있어요 (혼자가서 스테이크는 못먹어봄) 별점 낮아서 안가려다가 사람많음 안가야지하고 갔다가 자리있어서 먹었는데, 만족했습니다. 2.한번 더갔는데, 날치알크림스파게티(로제색상) 나쁘진 않았는데 제입에 좀 달았어요. 3.또 한번 가서 토마토소스 다른 것도 먹어봤는데, 결론은 대체로 좀 달긴 합니다. 이날은 스테이크도 먹었는데, 스테이크는 쏘쏘였어요. 네번째 가게되면 덜달게 해달라고 요청해볼까싶어요."
아니마 울산점,라이라이차차차,5.0,여친님이 극찬하신 감자뇨끼랑 잘어울리는 매운파스타부채살 안먹어봐도 맛있을듯jmt데이트코스 분위기좋은 샐러드 뇨끼 리조또
아니마 울산점,하이,5.0,이제 대사관도 리뷰 못달음ㅋㅋㅋ
아니마 울산점,.,1.0,
아니마 울산점,죠르디디,5.0,스테이크랑 파스타 하나씩 나오는 세트로 시켰고 샐러드랑 감자튀김이 같이 나왔어요~! 맛있게 잘 먹고갑니당
아니마 울산점,웅,5.0,맛은 있다 가격도 좀 비싼편이긴하지만 그렇게 막 엄청 비싼건 아니고 이정도 가격에 이맛이면 저는 만족합니다 다만 웨이팅이 조금 번거롭네요
아니마 울산점,ㅊ시영,3.0,"맛있는데 이 가격까진,,, 맛있긴 합니다,, 하지만 웨이팅이랑 가격때문에 주춤 하는 느낌,, 주차 공간 없슴미다"
아니마 울산점,싸가지,5.0,가본적없는데왜뜨지
아니마 울산점,요니,1.0,"황당했습니다.사람이 많아 두테이블 잡았는데 한테이블은 어른만3,한테이블은 어른2에 아이가 함께였어요.똑같이 2인세트 +추가메뉴 주문했는데 샐러드가 양이 다르게 나왔어요. 물어보니 아이있는곳은 어른이2명이라 양이 작데요. 똑같은 메뉴를 주문했는데 양도 똑같이 나와야지 무슨 말도안되는 말을 하고있음.그럼 덩치큰사람 가면 양 더 불려주시나요??이렇게 하시면 안되는거 아닌가요굉장히 기분 나빴습니다."
아니마 울산점,예지,5.0,웨이팅이 쫌 있었지만 음식은 존맛
아니마 울산점,ㅇㅅㅇ,1.0,맛은 있는데 불친절하네요..
아니마 울산점,JYL,1.0,
아니마 울산점,_____,1.0,
아니마 울산점,조이,2.0,
아니마 울산점,쩡,4.0,맛있어요 아주조금만 더 친절히 응대해주시면...
아니마 울산점,송보경,1.0,"주문상태에서 근무직원들 위생개념 엉망인걸 지켜보면서 맛은 차치하더라도 두번 다시 오고 싶지 않음. 주방 직원 턱스크 상태로 수다, 접시 닦는 행주는 손님 의자 위 방치, 위생장갑 낀채로 방명록 터치 등등, 완전 대 실망"
아니마 울산점,마이따마이따,5.0,스테이크 대존맛.. 이집은 무조건 추천이요
아니마 울산점,yoonyappa,5.0,스테이크도 너무 부드럽고 맛있고 파스타도 맛나고 뇨끼 최고. 세트 가격이면 가격도 좋습니다. 단품은 가격이 좀 비싼듯하지만 서울에 비하면 아주 저렴하네요. 질먹었습니다.
아니마 울산점,루리,4.0,스테이크 좋네요 리조또도영 게살 저파스타는̆̈ 저한테는̆̈ 별로네요ㅠ 비린내가좀ㅠ
아니마 울산점,CEO,1.0,서빙 직원 불친절파스타 맛없음. 면발도 라면면인줄...스테이크도 별로.
아니마 울산점,김동우,1.0,음식은 맛있구 먹을만했어여 안되는 메뉴들은 미리 설명은 기본이죠  직원들 불친절 위생 2020.01.12 방문 했어요 진짜 위생 ○○○○서 사진한장찍어둠 ㅋㅋ 감자튀김 시키니까 다른 색기들이 처먹고 남은 캐첩통에 고대로 캐첩 처뿌려옴 ○○○○이 ㅋ 현장에서 말할려고 하다가 알바 한테 말하면  알아듣지도 못할건데  알바좀 급식들좀 쓰지마세요ㅋㅋ 식당 망합니다  배운사람들좀 씁시다. 오죽하면 이런글알쓰는데 캐첩이 굳었더라
아니마 울산점,익명,5.0,날치알 새우 스타게티 맛있어요
아니마 울산점,한정욱,5.0,여기 기념일에 가기 정말 좋아요.. 음식도 맛있고 분위기도 좋고 서버분도 친절하셔서 만족했습니다. 주차장이 없어서 조금 불편했지만 그것 빼곤 다 만족했어요
아니마 울산점,ㅇㅅㅇ,1.0,친구랑 갔는데 느끼해서 다 먹지도 못하고 식전빵도 별로였어요....가격도 비싸고 웬만해서는 식당나오면서 후회 잘 안하는데 진짜 인스타나 블로그 후기 믿으면 안된다고 생각하면서 나온 집...
아니마 울산점,나그네,1.0,두번 다녀옴처음에는 괜찮았던거같았는데... 면에서는 밀가루냄새가.... 파스타 소스는 무슨 통조림 냄새가......돈내고 ㅆㄹㄱ 사먹은 기분...기대하고 기다렸다가 먹은 그 순간이 후회스러웠음........
아니마 울산점,🙂,3.0,리조또랑 파스타는 먹을만 했어요.샐러드는 평범했고요.그런데 11월 말에 갔을때 난방을 안해줘서 너무 추웠고전체적인 분위기며 테이블이 좀 분식집 같은 느낌..고급스럽진 않았어요.주문하려고 할때마다 안되는 메뉴들도 좀 있어서 그랬고요.암튼 굳이 찾아가고싶은 마음은 없네요.
