place_id,user_id,score,comment
안압루,허무진,5.0,"갈비탕 맛있습니다.
맑고 깊고 개운합니다.…"
안압루,최은정,5.0,"가족들과 식사하기엔  좋아요
주차장이  협소한게 문제
갈비탕도 맛있지만 된장찌개는 굉장히 맛있습니다."
안압루,Hak Nyeong Lee,4.0,"한우구이.한우갈비 집 안압루에 갔습니다.
오늘은 황칠통뼈갈비탕. 소갈비탕을 먹었습니다.
이전부터 구이도 종종 먹었지만, 갈비탕 먹으러 한번씩 갔었습니다. 황칠? 에 대한 이야기는 가게 곳곳에 설명이 많이 되어있어요. 제가 읽기만하고…"
안압루,박하림ᄉ111,5.0,밑반찬도 흔치않은것들이고 도라지?더덕?도 구워먹으니 맛있고 갈비도 맛있고 셋이서 3인분시켰는데 냉면과 함께 먹으니 배불렀어요.
안압루,김희준,4.0,"갈비탕만 식사했습니다
고기  많아서 좋은데 좀 기름기가 많아
개인적으로 느끼 했습니다만…"
안압루,밤디,5.0,여기가 그 mdir만드신 전설의 프로그래머 사장님?
안압루,신원창,4.0,"고기 전문점이라 점심 특선이
좋아요"
안압루,YH Lee,4.0,갈비탕등음식은정갈하면서도  식재료고유의맛을잘드러내고있고 무엇보다도갈비탕의대형갈비두대에서고기가푸짐하고 맛이좋아요
안압루,김동현,5.0,"직원분들의 친절한서비스 때문인지 코로나에도 이곳은 갈때마다 손님들로 북적이네요 모든메뉴 추천드립니다
아쉽게도 메뉴 사진을 준비하지못했네요 ㅠ
다음엔 메뉴 추천도 해 드릴께요"
안압루,강은희,5.0,"작년에 지인과 함께 먹는데 정말 맛있게 먹었어요
다음에 딸을 데리고 와서 먹었겠다 생각했죠
그맘을 오늘에야 실천했죠…"
안압루,조홍래,5.0,"사장님의 고집이 보이는 집입니다
어머님 모시고 점심특선으로
양념갈비랑 비빔냉면 먹었습니다
갈비탕도 좋아요"
안압루,Joa Busai,3.0,"생갈비를 먹었는데
질은 좋은것 같으나
직접 구워먹으려니…"
안압루,조성제,5.0,갈비탕이 정말 정말 맛있어요
안압루,이재욱,5.0,음식  맛이 좋은데다 사장님의 친절한 마음이 너무 인상깊네요
안압루,송은정,1.0,"처음 가본 곳이라 메뉴를 신중히 고르기해 맛보기로 2인분씩 주문했는데 조금시켰다고 기분  나뿐 표정. 말투  덕분에  기분나빠  6인분만 먹고 나와서 다른 곳에서 밥먹었어요
여자 주인인건 같은데...오히려 직원들이 응대태도가 더 나은듯..."
안압루,손복순,5.0,일단 시원하고 갈비탕 맛이 아주 죽여줘요
안압루,박부용,5.0,소갈비와 설렁탕 전문집인데 고기가 항상좋아요.가격이 약간 높은게 아쉬워요
안압루,그냥,3.0,고기는 쥑입니다. 살살 녹는게 쥑입니다. 근데 너무 비싸요.
안압루,백미현,4.0,"소고기집이라 별로갈일이 없었는데 갈비탕먹어보니 좀 비싸긴한데 맛있네요.
건강해질꺼같은 맛."
안압루,신욱진,5.0,"점심 갈비탕은 꽤 맛있었다. 주차장도 넓고
다음에 고기먹으러 가봐야겠다"
안압루,쪼쪼,4.0,수빔면 먹었는데 비빔냉면에 가까운 맛이었어요. 면이 얇고 질기지 않아서 잘 넘어갔어요. 근데 가격이 9천원이라 별 하나 뺐어요 ㅋㅋ 반찬도 없고 냉면이랑 온육수만 나오는데 조금 비싼 느낌..
안압루,B.G. P,4.0,싸진 않지만 음식이 정갈하게 잘 나오고 맛있어요. 소고기와 돼지고기를 모두 판매하고 있고 숯불로 구울 수 있었어요.
안압루,신원창,4.0,"주차장이 좋고 다양한 매뉴와
점심 특선 갈비가 좋아요 갈비탕도
괜찮아요"
안압루,Mingyu Park,5.0,"점심특선 갈비탕 12000원 왕 갈비 크고 맛있어요
가격은 각자 생각해서 판단하면 됩니다"
안압루,성낙모,5.0,도심에 위치한 갈비탕과 쇠고기돼지고기 수육을 안주를겸비한 만남의장소 주차공간이 넓어 이용하기 편함
안압루,Gang-wook Jeong,3.0,한우와갈비탕이맛있지만여름에는내부가더워...
안압루,전용섭,5.0,"주 메뉴인 갈비탕과 안심소고기
참으로 부드럽고 맛있습니다😀…"
안압루,알땅알택,5.0,다 맛있는데 특히 갈비탕이 일품이네요~^^깨끗하고 친절하고 서비스 좋고 ㅎ
안압루,발램새아가,5.0,가격싸고 맛도일품 다만 아쉰게있다믄...육회가 저번보다 조금 맛이ㅜㅜ 없어짐 고기는 아주조아영 육회를 예전으로 돌려주세영 싸장님
안압루,신선숙,5.0,갈비탕도  맛있고  냉면도 맛있게  먹고 왔어요   사장님도 친절하시네요
안압루,이채범,5.0,"냉면 맛있다.울산에선 제일 잘 할듯?
사장님도 마인드가 장난아니라서, 친하든 어리든 가리지 않고 존댓말."
안압루,Jinho kim,4.0,안압루 소양념갈비
안압루,김복덕,4.0,지인들과 아주만족한 점심런치을   먹었읍니다 좋았어요~*****
안압루,noble men,4.0,맛있습니다 하지만 비싸요... 가격이 비싼편이니 참고하셔서 방문하세요
안압루,김보민,5.0,고기 퀄리티가 좋고 음식이 맛있습니다
안압루,이창희,3.0,갈비탕은 맛있고. 양도 푸짐하나. 겉절이등 밑반찬이 너무 아쉬움.
안압루,정명준,5.0,"맛 서비스 최고
한우 갈비살 맛났어요~^^"
안압루,young jae jang7066,5.0,"갈비탕식사 하기위해 다녀왔습니다
맛집으로 추천 드립니다"
안압루,황신권,4.0,소고기 구이집 입니다 실내는특별하지않고 보통이며 고기질이좀좋은것 외는 특별한것은 없는집이며 고기값이 비싼 편입니다
안압루,김운삼,5.0,사장님은너무친절하시고맞도좋아습니다별다섯좋아요
안압루,J B,4.0,"점심에 갈비탕&냉면 먹으러 감
고기 굽는 냄새가 나서 먹고싶었는데 물냉면 먹었어요 ㅋㅋ 맛있었습니다~"
안압루,채동열,4.0,가성비 좋은 돈불고기와 건강에 좋은 황칠옻 육수의 갈비탕이 맛있다.
안압루,junmi Park,5.0,완전단골집 양념맛집 비냉맛집
안압루,KR JANG,4.0,부드럽고 맛깔스런 안창살~~소고기는 숯불이 맛을 더욱더 깔끔하게 해준다~
안압루,강채민,4.0,갈비탕이랑  부추 맛있어요. 자극적이지 않아 한번씩 찾게 됩니다.
안압루,Lee Victo,3.0,점심특선 갈비 먹었는데 불판... 석쇠를 줘서 자꾸 움직여서 굽기 불편했어요.
안압루,이진호,4.0,비냉 맞있었어요 ~
안압루,Anna Lee (Happy tree),5.0,"재료가 너무 씽씽해요
맛도 최고에요~"
안압루,도매니져,5.0,"냉면은 정말깔끔합니다.
조미료가 아니라 천연의 깨끗하고 맑은맛"
안압루,WookJoon Hwang,4.0,주차가 비교적 편리하고 고기맛이 좋습니다.
안압루,Hyun Jun Jang,5.0,"갈비탕 굿굿굿!
담엔 소고기 먹으러 또 가겠음"
안압루,와장창,5.0,냉면이 아주아주 맛있어요.
안압루,9리차드,5.0,울산에서 제일 맛있는 갈비탕집
안압루,김호,4.0,소고기집 적당한 가격에 고기는 괜찮음. 인테리어가 오래됨
안압루,임민재,5.0,"굿굿굿, 일반 갈비탕보다 너무 맛있다."
안압루,최영미,3.0,"가격대비 음 중급?
사장님은 상급"
안압루,바베로니카,4.0,"요 근처에 식사시간에 오면 항상 갈비탕먹음
갈비가 꽤 크고 괜찮았음."
안압루,In-Q Chung,5.0,"소문이 안나서...
고기 맛있고, 밑반찬 깔끔하고,
울산 최고의 숨은 맛집."
안압루,라임,5.0,맛있고 친절한곳이였어요~^^
안압루,Jh Kim,5.0,여기가 Mdir 만든분 가게인것 같은데 추억삼아 한번 들려볼 가치가있겠네요 ㅎㅎ
안압루,강예령,5.0,갈비탕에 고기가 정말 많이 들어있다.
안압루,Jdoc,5.0,단체회식 및 행사하기에 딱 좋으며 일단 고기가 맛있습니다.
안압루,이승찬,4.0,작은 모임 하기좋아요
안압루,유시근,5.0,갈비탕이 정말 맛있었어요
안압루,조정배,5.0,"갈비탕 맛, 국물이 아주 끝내 줍니다"
안압루,규담,5.0,점심특선을 먹었는데 아주 맛났어요.
