place_id,user_id,score,comment
어랑어랑,sh k (리셀),4.0,분위기나 음식들 맛있었습니다. 탕쪽 먹고 싶을때 다시 갈 것 같습니다.
어랑어랑,소호,4.0,안주 메뉴가 많아요~~ 분위기도 좋고 맛도 있네요 처음오는데 꽤 괜찮네요! 생맥은 하이네켄만 있어요 서비스도 있고 기분 좋게 먹고 갑니다~~
어랑어랑,멍멍 (JIHN),5.0,울산가서 맛집 찾앗습니다. 메뉴가 조금 다양하고 비슷비슷해서 고르는데 조금 시간이 걸렷지만 맛잇게 잘 먹엇습니다. 직원들도 친절하고 오픈주방 맞은편에 앉은 덕에 주방에서 일하시는 분들도 많이 봣습니다. 숙성시킨 연어가 전시용이 아니라 필요할때 꺼내쓰더군요 ㅎㅎ. 안주도 깔끔하고 사진찍기 좋게 나오는데가가 맛도 잇엇습니다. 다만 안주로 썰어져나온 문어와 연어의 조각이 조금 작다는점? 숙성연어와 일반적으로 먹는 연어의 맛 차이가 크지 않다는점(이건 제가 막입이라 그런것일수도..)이 조금 아쉬웟습니다. 그래도 별 다섯개드립니다.
어랑어랑,BangFo AFo (JordyAndNINIZ),3.0,안주는 그럭저럭 맛있어요. 세미정장 입고 있는 남자 매니저인지 직원인지 모르겠는데 마스크도 안끼시고 말투도 막 친절한 편은 아니라서 다시는 안갈것 같아요
어랑어랑,Minji Kim,5.0,"여자들이 왜 좋아하는지 알것 같은곳
화장실 깨끗👍👍
안주도 굳굳…"
어랑어랑,차병근,5.0,"말로만 듣다가 처음가봤는데...
맛있고 분위기있고 괜츈하네~
소개팅하고 한잔하기 적합해"
어랑어랑,동섭,4.0,깔끔한 매장 활기넘치는 직원 연어 광어 혹은 연어 육회 등 반반한 먹을수있으며 특히 짬뽕탕 강추합니다!!  연어도신선햤고맛있었어요
어랑어랑,신엣지,5.0,"연어,육사시미 뿐 아니라 거의 모든 음식이 정말 맛남.
가격도 적당함."
어랑어랑,또잉,4.0,분위기 좋고 깨끗해서 좋아요 ~!!! 회도 시내쪽에서 이정도면 괜찮구요
어랑어랑,영,5.0,연어도 맛있었지만 나베가 제 입맛에는 더 맞았어요
어랑어랑,챈들러빙,3.0,기대를 많이 했지만 그냥 그저그렇던 특히 복탕수육은 별루 였고 연어 소고기타다끼 이건 먹을만 했어요 간장종지 이쁘더라구요
어랑어랑,이환희,5.0,"음식이 전체적으로 깔끔
잔잔한 분위기에 비오는 날이 특히 좋은데
맑은날도 여전히 좋음"
어랑어랑,Zero,5.0,자주애용하는 곳이에요ㅎ기분좋게 잘먹고 왔습니다
어랑어랑,윤루키,5.0,가격이 쫌 비싸도 퀄리티가 ㅎㄷㄷ 숙성회라 더 맛잇네요!!!완죤 강츄
어랑어랑,조진훈,5.0,분위기좋고 음식도 맛있는곳
어랑어랑,민희김,4.0,"가성비 나쁘지 않았어요.
식사 후 2차 3차 식으로 가볍게 먹는다면 나쁘지 않지만,
회가 먹고 싶어서 찾기엔 비추..…"
어랑어랑,ChangMin Eym,3.0,"생각보다는 괜찮았던 것 같아요. 그냥 일반 술집에 그저그렇겠지 생각했는데 나름 핫플이네요.
그런데 사람도 너무 붐비고, 넘 시끄러워서 대화에 집중하기가 힘들어요.
숙성연어가 그런데로 괜찮습니다. 짬뽕탕은 계속해서 음료나 술을 마시게하는 맛입니다."
어랑어랑,박주현,4.0,분위기 킹왕짱. 연어와 다양한 반반세트. 깔끔함.  데이트 장소 굿.
어랑어랑,한영일,5.0,가격대비 좋았어요 다만 너무 인기가 좋다보니 웨이팅기본입니다ㅋ
어랑어랑,윤준희,3.0,괜찮아요 ^^
어랑어랑,김은수,5.0,가격이 비싸긴 하지만 여자친구 데리고 가기에는 좋았을거 같았다  금가루도 뿌려주고 좋았다!
어랑어랑,동구사는동굴남,5.0,분위기 맛 매우 베스트
어랑어랑,김채원,5.0,다 좋다 음식도 깔끔하고 직원도 친절하고 넓은공간
어랑어랑,엉덩국,5.0,맛있긴 존나맛있다 다만 회종류는 양이 적더라
어랑어랑,김영기,1.0,"사진,블로그에 진심으로 속지 마세요,최악 입니다"
어랑어랑,황현종,2.0,실내 소고집같은 냄새나고 음식이 보여주기식이다..사진빨.
어랑어랑,Dongsu Kim,5.0,맛있고 분위기도 좋아요
어랑어랑,스티븐 황(아쭈s),4.0,맛난 안주와 독특한 분위기 좋음~^^
어랑어랑,대한민국국민,4.0,게안네 ㅎㅎ  깔끔하니...먹고나면 2차는 미나미에 스지오뎅탕!!
어랑어랑,서주현,3.0,"연어는 겁나 비림, 광어는 괜춘, 가성비는 별로"
어랑어랑,서경옥,4.0,연어랑 한잔하기 좋은곳
어랑어랑,이동건,4.0,깔끔하니 음식도 맛나고
어랑어랑,dufao park,4.0,나쁘지않음 안주가 신선함
어랑어랑,김수연,5.0,존맛.셀카존
어랑어랑,Duck L,4.0,"회가 맛있음
연어 맛집 👍…"
어랑어랑,이무엇,5.0,갈데없으면 여기가 최고
어랑어랑,곰대지팡팡,5.0,분위기 엄청좋음
어랑어랑,석정배,5.0,맛나고 깨긋 한고굿
어랑어랑,leo kim,5.0,차슈나배맛있음
어랑어랑,손병헌,3.0,양 적음 매우
어랑어랑,김태은,4.0,사진
어랑어랑,Daniel Jang,5.0,맛있었어요. 다만 처음에 나오는 와사비좀 많이주셨음함
어랑어랑,DK Poopoojung,4.0,좋은 음식이 빨리 제공됨 하지만 비밀리에 조금 비싸다.
어랑어랑,Shenhua Piqo,5.0,
어랑어랑,김동베,4.0,
어랑어랑,손기훈,5.0,
어랑어랑,이강석,4.0,
어랑어랑,유동진,4.0,
어랑어랑,김지혜,5.0,
어랑어랑,이상진,5.0,
어랑어랑,jb lee,5.0,
어랑어랑,Young Dol,5.0,
어랑어랑,서종길,4.0,
어랑어랑,J.H H,4.0,
어랑어랑,MIHO JJAO,5.0,
어랑어랑,이창수,5.0,
어랑어랑,Sun Hong Kim,5.0,
어랑어랑,Sungjoon Park,5.0,
어랑어랑,박근택,4.0,
어랑어랑,Youmay CHOI,4.0,
어랑어랑,염정호,5.0,
어랑어랑,머리말,5.0,
어랑어랑,일상겜수니,5.0,
어랑어랑,도호두 (쿠쿠몽키),4.0,
어랑어랑,먼키친mun_kitchen,5.0,
어랑어랑,심도형,3.0,
어랑어랑,SUMODAL,5.0,
어랑어랑,잉드,4.0,
어랑어랑,황보채환,5.0,
어랑어랑,박선희,4.0,
어랑어랑,이병규,5.0,
어랑어랑,machingun passion,4.0,
어랑어랑,심진우,5.0,
어랑어랑,Ss S,4.0,
어랑어랑,김여진,5.0,
어랑어랑,소원석,4.0,
어랑어랑,하하파파vlog,4.0,
어랑어랑,Junho Shin,4.0,
어랑어랑,김동환,5.0,
어랑어랑,성민장,5.0,
어랑어랑,이성용,3.0,
어랑어랑,강인선,4.0,
어랑어랑,세수하면태희,5.0,
어랑어랑,김동찬,5.0,
어랑어랑,dlsk kka,5.0,
어랑어랑,아하우후,5.0,
어랑어랑,김정준,4.0,
어랑어랑,김미주,5.0,
어랑어랑,가그아리고댜,3.0,
어랑어랑,박경민,5.0,
어랑어랑,이채영,5.0,진짜 너무 맛있어용
어랑어랑,최지원,5.0,여기 아는동생 생일이라 간곳인데 엄청 맛있었어요! 정장입으신 남자직원분도 엄청 친절하셨구요! 생일이라고 물어보시더니 연어구이랑 샴페인 주셔서 너무 잘 먹었습니다 💓앞으로 여기만 오려구요! 다음에 또 방문할게요:)
어랑어랑,je,5.0,존맛
어랑어랑,ㅈ,1.0,완전  네가지없는 불친절식당  허거득
어랑어랑,국밥충,5.0,밀푀유나베 최고예요!
어랑어랑,정다운,1.0,
어랑어랑,맛집 탐험가,5.0,밀푀유나베 존맛이구여 술 먹는 순간 해장 됩니다 국물이 그냥 술술 들어가요 삼산 핫플 인정합니다 식전 셀러드도 맛나네용 홍홍
어랑어랑,바디걸즈,3.0,
