place_id,user_id,score,comment
어향횟집,Generalist K.,5.0,"1. 주차 ; 가능
2. 좌석 ; 단체회식 20인 가능
3. 가성비 ; 적정…"
어향횟집,이희정,5.0,"홀 부터가 넓어서 단체 모임 하기에도 좋고 더 좋은것은 요리가 맛 있더군요.
또한, 주차장도 20대정도 주차할 수 있었던것 같고 사장님이 친절하게 호응하여 주셔서. 매우 좋더군요."
어향횟집,조현지,5.0,"꿔바로우 같은 생선튀김 진짜 어디가서 못먹는 맛 👍🏻
회도 너무 맛있고 ㅎㅎㅎ 기본 반찬들이 아주 훌륭합니다.…"
어향횟집,몽슈킴,5.0,가격이 많이 올랐어요
어향횟집,Richald K2,3.0,"자연산 회전문 울산이라 물가가 쎄다
회가 나오기전 다양한 스끼들이 나온다"
어향횟집,gogo축구TV e택시,5.0,처음으로 간 울산에서의 식사 정말 맛있었습니다
어향횟집,정현모,5.0,"메뉴가 아주 고급 레스트랑
같은 수준급의 요리...."
어향횟집,kjhcbj,3.0,"각 방이 있어서 모임하기 좋음.

맛은 괜찮은진 모르겠음. 평타수준"
어향횟집,Dong Il Lee,4.0,주차장 넓고 실내 깔끔하다
어향횟집,박증선,3.0,"나는 물회 ..만오천원..건물은 깨끗하고 청결하지만 음식은 그다지.. ㅜ 내 입은 까다롭지않다. 그러나 크게.. 점수줄수는 없다. 내가 원래 조리사였지만.. 방풍나물 외 평범한 ..간장게장,계란찜, 미역초무침 등 ..물회 양만 많아보이지. .전에 방어진가서 먹은거보다 못하다. 자연산? 그게 중요한가? 크게 어필할만한게 없음"
어향횟집,DONG IN Kim,4.0,"점심특선 2만원짜리 회정식
회도 괜찮은 편이고 반찬들도 좋았음.
주차장도 넓고 재방문하고 싶네요."
어향횟집,김환철,5.0,"깔끔 하고 밑반찬 맛나고요
물회육수가 좀 매워요
그래도. 맛집 추천"
어향횟집,김희영,5.0,"사장님부부  친절하시구  유쾌하시기도 하셔요
맛은 당근 맛나겠죠
가게도  깔끔까끗해요…"
어향횟집,김시환,4.0,"주차장이 넓고 룸이 있어서 좋아요
회도 맛있어요"
어향횟집,권산,3.0,"자리도 넓고 저럭저럭 기본이상은 합니다.
예약하고 가세요 처음갔었는데 거의 예약제 분위기에요"
어향횟집,김정주,4.0,회가 싱싱하고 밑반찬이 맛있음
어향횟집,Sangho Lee,5.0,방역관리 잘하고 있고요 음식도 청결하고 맛도 괜찮았습니다..
어향횟집,송윤기,4.0,평범한 솻집으로 생각됩니다
어향횟집,김경철,5.0,자연산회가 맛있어요
어향횟집,신민경,4.0,"횟밥을 먹었습니다
맛있었어요
깔끔하게 홀도 화장실도
이쁘게 ㅎ"
어향횟집,전상인,3.0,"깔끔하고 괜찮은 식당.. 물회를 맛있게 먹었음
식당주인과 직원이 친절했음
주차장이 있어 편리함"
어향횟집,송영록,5.0,"회가 싱싱하고 쫄깃합니다.
밑반찬이 깔끔하고 맛있습니다."
어향횟집,맥스크루즈,5.0,너무 맛있고 너무 친절하시고 또한 청결합니다
어향횟집,최종아,5.0,최고!!!  말이 필요없음 사이드메뉴도 잘나와서 놀랬음 ㅋ
어향횟집,Sun L,4.0,"가격이조금 쎄지만
음식하나하나 매우 훌륭합니다
사진을 왜 안찍었나 후회가.. ㅠㅇㅠ"
어향횟집,채경란,5.0,푸짐한양과 여러가지 사이드 메뉴가 맛있고 튀김이나 구이등은 따뜻하게  나옵니다
어향횟집,박준형,4.0,soso 주차장 넓어서 좋아요.
어향횟집,방정애,4.0,자연산 회가 맛있어요.
어향횟집,김영헌,5.0,회가 싱싱하네요
어향횟집,이은경,5.0,방으로 되어 있어  좋았어요
어향횟집,ja yong choi,4.0,조용해서좋은데 주말에는 음식이 쉬엄쉬엄나옴
어향횟집,김지훈,4.0,가성비가 다소 떨어지나 맛은 괜찮은집~~
어향횟집,Kim Ilseong,5.0,찌게다시 많습니다. 단 회는 소소합니다.
어향횟집,장수정,5.0,"가서 먹어도, 포장해서 먹어도 회퀄리티가 남다릅니다."
어향횟집,가수 신명성TV,5.0,주인장이 친절합니다
어향횟집,최영목영목,3.0,메인 메뉴인 회가 부실
어향횟집,이상헌,1.0,물회를숭어로해줘요  짜증 다시는않감
어향횟집,송미숙,5.0,좋아요
