place_id,user_id,score,comment
언양1번가주먹떡갈비,재방문한미래의나에게,5.0,너무 먹고 싶거든 택배시키기
언양1번가주먹떡갈비,,1.0,다른데보다 비싸고 가격맛큼의 퀄리티가 없어요손님이 많은게 신기합니다특허라길래 뭔가 특별한게 있나했는데 실망만했어요재방문 의사 없습니다
언양1번가주먹떡갈비,TomaDo,1.0,왜 별 0개는 안되나요 나참부모님과 좋은 시간 가지려고갔는데 이렇게 엄청 일방적인 서빙을 하는곳은 처음이네요주말대목이라 시스템을 간단하게 하고 싶은 마음은 알겠는데 그러면 사전에 적어 두셨으면 좋지않았을까요? 아무런 사전 공지도 없이 메뉴의 반이 안된다고 하니 좀 당황스럽더라구요 곰탕 주문하니 자기들은 원래 안판다는 황당한 소리를 하더라구요 생고기도 안되고 메뉴판에 있는 것 중 반 정도가 다 안된다고 합니다그런 상황도 솔직히 당황스러운데 서빙하시는 분이 엄청 퉁명스럽고 짜증섞인 서빙에 좀 당황스럽더라구요 안경안끼고 머리올리시고 쌍꺼풀없으신 60대정도되시는 여자분 좀 그랬습니다 왜 음식을 주문하면서 기분이 나빠야하는지 모르겠네요 거기다 불쾌해서 대충 정리해서 나가려는데 아직 자리 뜨지도 안고 가는데 통로 막고 빈그릇 치우시면서 트롤리에 쾅쾅 소리내며 그릇을 던지시는데 안그래도 기분나빠서 먹은게 얹히겠는데 토할거같았습니다다른분들이 다그런거같지는 않아 데스크 가서 클래임하려고 하다가 데스크분위기를 보니 전반적인 시스템 문제인거같았어요 그냥 안가는게 나을거같아요
언양1번가주먹떡갈비,징징이,2.0,그냥 한번정도는 먹어볼만한 집이였어요 가격대가 생각보다 비쌌고 가격에비해 반찬도 부실하고 직원들도 별로 친절하지 않았네여
언양1번가주먹떡갈비,Victoria(빅토리아),1.0,정말 다시는 안가고 싶은곳이에요.몸이 불편한 어머니를 모시고 집에서 입던옷을 입고 갔더니 손님접대도 하지않고 음식 한번 가져다 놓고 테이블에 한번도 와서 봐주시않는곳이에요. 홀에서 일하시는 분들이 기본적으로 서비스가 무언지 모르고 불친절했어요.  고기판이 저렇게까지되도록 직원들 몇명이 왔다갔다해도 한번도 봐주지않고 ... 남은고기 집에서 먹기로하고 빈통 달라고하니 쓴던 통을 가져다 주네요. 어처구니가 없어서 너이상 말이 안나오네요주인은 카운터옆에서 서서 음식을 먹고있고... 친절이 그집 음식맛의  절반인데... 특히 토요일 일요일은 가지마세요.
언양1번가주먹떡갈비,류승현,5.0,
언양1번가주먹떡갈비,😙,1.0,
언양1번가주먹떡갈비,.,1.0,"평상시 떡갈비맛있어서 좋아서 간 집인데열차시간이 촉박해 식사류만 이용하려고 하니""곰국""만 가능하다고 하여 주문하고 들어갔는데떡갈비를 시키지 않으면 식사를 할수 없다고 하여 그냥 나오게되었어요이게...... 뭔가요.......?;;;;;식당에서 식사류만 시키는 거가 안되면 입구에서 막거나 해주셔야죠.. 기분이 참 안좋네요"
언양1번가주먹떡갈비,김형호,5.0,사장님 상주고싶은 맛이네요. 배운사람입니다 분명
언양1번가주먹떡갈비,7356,5.0,가격은 좀 있지만 25000/1인 존맛
언양1번가주먹떡갈비,MJ❤,1.0,맛은 훌륭하지만 가격이 너무 세다는 생각이 듬가격을 좀 낮추어보시길 그럼 더 좋을듯합니다
언양1번가주먹떡갈비,ㆍ,4.0,잘 먹고 왔내요
언양1번가주먹떡갈비,Kyona,5.0,시골본가 내려갈때 마다 먹는떡갈비 최애집인데 리뷰가 호불호가 심하네요. 전 극호 ㅎㅎ 떡갈비랑 냉면 된장 다 맛있어요.
언양1번가주먹떡갈비,宇宙一波,3.0,언양고기 고전메뉴아닌 신메뉴유명한 집
언양1번가주먹떡갈비,박민성,1.0,
언양1번가주먹떡갈비,목마른너구리,5.0,'떡갈비' 맛있습니다.
언양1번가주먹떡갈비,김봉관,5.0,
언양1번가주먹떡갈비,고통없는 변화는 없다...,5.0,
언양1번가주먹떡갈비,최종권,5.0,
언양1번가주먹떡갈비,바디걸즈,2.0,
언양1번가주먹떡갈비,Ryu용환,4.0,떡갈비 특허 받은집 1인분 2만원
