place_id,user_id,score,comment
언양기와집불고기,Byong-il Lim,5.0,"If you visit Ulsan-si this old Korean Barbeque restaurant may be one of the best choices.
It serves smoked dry type Bulgogi on iron mesh plate on grill.…"
언양기와집불고기,앵앵,4.0,"넥플리스 한우랩소디에 나온집,
일요일 점심 방문으로 웨이팅 상당함,
테이블링 앱으로 원격줄서기 가능함,…"
언양기와집불고기,Yongdae Kwon,5.0,언양불고기 맛집으로 유명합니다. 이전에 먹었던 언양불고기는 양념이 강했던데 비해 여기는 양념이 가볍게 들어가면서도 맛있습니다. 반찬도 대체로 간이 세지 않지만 맛있습니다. 기대에 시킨 육회도 양념은 딱 필요한 만큼만 들어가고 육질도 좋고 맛있습니다. 눈이 번쩍 떠지는 맛은 아니지만 누구나 인정할 만한 맛집입니다.
언양기와집불고기,뷔뷔아이피,5.0,오픈시간보다 30분일찍 갔는데 대기 3번이더라구요. 들어가면 이미 테이블 세팅 마쳐있구요. 주문하면 구워져서 나오기시작하고요. 육즙 쭉쭉 맛나요! 식사마치면 식혜도 주시네요~^^
언양기와집불고기,조진희,5.0,맛있음.. 웨이팅 각오하고 가야될듯  음식도 전체적으로 빨리나오고 직원분들도 친절함..  고기 다먹고 막국수 시켜드시길~  고기는 맛있는데 막국수맛이 강해서 같이 먹으면 고기맛을 못느낄수 있음.. 된장국과 식혜도 필히 드시고 나오세요^^
언양기와집불고기,Sasha Hulbert,5.0,"울산의 맛집 별이 다섯개 ☆☆☆☆☆

울산 지인의 추천으로 방문한 맛집이다.…"
언양기와집불고기,Adela H,4.0,"점심시간에 갔더니 핫한 집인거를 알았어요. 대기가 30번이 지나야 식사가능하였음. 기다리면서 언양읍성도 걷고 식사하러 갔어요.
일단 식당주차가 힘들어 근처에 주차하고 대기하면서 화장실을 다녀왔는데, 수압이 진짜 약하게 작은거 볼일 물도 잘 안내려가더군요. 사장님이 이런건 투자하셔도 좋을거 같은데 ㅠㅠ…"
언양기와집불고기,Sean Jeong,4.0,"그래.. 유명한 곳이니까 한번은 가봐야지...
한번은 저녁에 갔다가 장사를 마쳐서 못먹었던 이력이 있어서, 아점을 하기 위해서 아침일찍 갔다. 오픈 하기 거의 2-30분전에 가서 대기 10번대에 안착!…"
언양기와집불고기,Chumbak,5.0,우선 가기전에 테이블링으로 예약을 하고 가세요 피크타임에는 안하고 갔다가 2시간 가까이 기다릴수도 있습니다. 그래도 불고기가 구워져서 나오기 때문에 회전율이 빨라 10분에 7~10팀씩 빠지기 때문에 참고하시고 예약하시길 바랍니다. 주차는 주차요원까지 있으니 걱정은 안하셔도 될듯 합니다. 육회는 배가 낭낭하게 나와서 좋았습니다. 시장이 반찬이어서 그런지 맛있게 잘먹었습니다만 역시 메인은 불고기인거 같네요. 다먹을때까지 식지도…
언양기와집불고기,SEONG GYU Kim,4.0,"주말이라 그런지 웨이팅 심해요
주차하시려면 매장 주차장은 이미 만차일경우 빙빙 돌지 마시고 강변쪽 공영주차장 이용하고 걸아오세요
한명은 웨이팅 신청하고 운전자분은 주차하는걸 추천…"
언양기와집불고기,Hyunji Shin,4.0,"정말 맛있고 건물도 예쁘지만, 양이 많진 않고, 테이블링 어플로 미리 대기를 걸어놔야 그나마 덜 기다린다는 점이 아쉽다. 그치만 한우암소로 만든 요리인데다 반찬도 맛있고 많아서 언양불고기 먹을 땐 여기로 가게되는 건가싶다."
언양기와집불고기,손동민,5.0,"(별점은 정말 뭐같지않은이상 5점을 드립니다)
(평일이아닌 주말방문이라 평일과는 다를수도있습니다.)
일단 오픈탐에갔기에 주말엔 대기순번이 상당히 길더군요.…"
언양기와집불고기,SEUNGJUN LEE,5.0,이집은 불고기가 아니라 생고기가 맛있음 육회나 불고기는 단맛이 좀 있음. 불고기 식감은 호불호가 있을 수 있음 된장찌개도 맛있음 사장님이 국민포장을 받았다함. 직원분들도 서비스 속도나 자세도 괜찮음. 암튼 방문 추천
언양기와집불고기,형그거아니야,3.0,"주차공간 넓고
웨이팅 아주 긺, 사전예약 필수
기대를 너무 하고 가서 그런지..…"
언양기와집불고기,Hyung_Jun Yoo,2.0,"1. 불고기 평범함.
2. 밑반찬도 별로.
3. 막국수 별로.
4. 멀리서 찾아 갈만한 곳은 아닌 듯."
언양기와집불고기,찐트레블러,4.0,"평일인데도 웨이팅 있었다. 평일에도 1시간은 기본으로 웨이팅이 이루어지는 곳이라, 때늦은 점심이 막연하게 늦어질까 걱정했지만, 테이블링으로 예약을한지 10분쯤 지나니까 카톡으로 알람이 와서 바로 입장할 수 있었다. 언양오게되면 늘 찾게되는 곳. 많은이들이 알고 있는곳은 항상 복잡하기 마련인데, 맛도 맛이겠지만 가성비가 좋다. 가족들과 푸짐하게 먹어도 부담되지않을 가격대가 많은 고객들이 찾게끔 하는 것 같다.
직원분들 친절까지 한몫한다. 생고기 보다는 불고기 맛이 월등하다. 가족단위로 식사하기에 딱인 곳."
언양기와집불고기,전동협,4.0,"맛은 좋습니다.
그렇다고 엄청 맛있는 집은 아닙니다.
근처 들리시면 한번쯤 오시는것도 나쁘지 않습니다.
한옥 정통적 분위기는 좋습니다."
언양기와집불고기,Nomadian0,4.0,불고기와 된장찌개 정말 맛있게 먹었습니다. 다만 대기가 너무 길고 룸같은곳에서 먹었는데 실내 연기가 잘 안빠져서 먹는게 힘들었어요.
언양기와집불고기,tim treasure,5.0,"고급스런 분위기
불고기 맛있음
180g에 22,000원?…"
언양기와집불고기,Huijeong Kim,5.0,"평일 점심시간 빗겨서 갔는데도 15분정도 기다렸습니다. 석쇠위에 구워져나오는 불맛+단맛나는 불고기인데 상상하시는 맛있는 맛입니다만, 가격대비 양이 많지는 않습니다.
식사류가 부실한 편이라 큰기대 안하시는게 좋습니다."
언양기와집불고기,박금수,4.0,"친절하고 분위기도 좋고 음식 맛도 좋았는데
손님이 많다보니 주차공간이 넓어도 부족해서 불편했음"
언양기와집불고기,우리반친구,4.0,5회 이상 방문한 곳으로 언양의 맛집이라 생각됨. 주차 시설이 잘되어 있음. (입구와 출구가 따로 구분되어 있으니 주의 바람)기와집으로 되어 있으며 각 방에서 식사할 수 있도록 구조화 되어있음. 사람이 항상 붐비고 맛이 있음. 언양불고기가 약 22000원으로 가격이 착한 편은 아니지만 맛은 있음. 성인은 최소 2인분 이상은 섭취(?)가능. 유일한 단점은 1인분 양이 많지 않음.
언양기와집불고기,최동섭,5.0,"대기손님이 많아 다른집으로 갈까하고 잠시 고민했는데 역시 40분을 기다려서 먹은 맛은 후회를 안합니다.
4명이 불고기 6인분에 육회 2인분, 막국수 2인분을 뚝딱해치웠습니다."
언양기와집불고기,이현웅,4.0,"언양불고기 자체는 회전율이 좋아 맛있습니다.직원들 모두 친절하고..
하지만 손님이 앉기 전 음식을 미리 세팅 해 놓고 많은 손님과 직원들이 분주히 움직이다 보니 미리 세팅 된 음식에 먼지나 이물이 많이 떨어집니다.옆 테이블에서도 밑반찬에서 머리카락이 나왔습니다."
언양기와집불고기,UnYng Kim,3.0,"주차요원 안내로 주차 굿. 한옥으로 잘 꾸며져 있어서 굿,  직원분들 서비스 굿,
음식 맛 보기전까진 모든게 퍼펙트,
정작 맛은 불고기며  반찬은 많이 아쉬웠다.
그나마 욱회가 살려주었다"
언양기와집불고기,SEIHOON LEE,5.0,"두말할 필요 없이 맛집이 확실합니다.
줄 서서 먹는 집은 대부분 맛집이겠지요. 평일 점심 때 방문했는데도 앞에 10팀이 있었네요.
허나 가격대가 너무 높아 내돈내산은 조금 부담됩니다."
언양기와집불고기,박상준,5.0,"일요일이라 1시간 기다렸다 먹었어요
항상 이용하는 식당인데 반찬도 깔끔하고
거리두기 시행이라 테이블도 한칸식 비우고 불고기랑 육회맛있게 먹고 왔어요"
언양기와집불고기,맛있는거사줘,4.0,"일단 웨이팅은 사악합니다. 주말에 가려면 1시간은 웨이팅한다고 생각하고 가야겠네요. 불고기는 적당히 달짝지근한게 물리지않고, 참기름찍어먹기좋네요. 양도 사람수대로 시키고 밥먹으면 딱 맞는거같아요. 근데 봄시즌이라 그런지 온갖 겉절이며, 쌈채소며 비빔막국수에 전부 미나리가 들어있어서 미나리향에 묻히는 경향이 있어요.  저는 딱 30분이내로 기다린다면 먹어볼만한 맛집 정도로 하겠습니다."
언양기와집불고기,노황우,5.0,가격이 쬐끔 비싼거 빼면 괜찮아요. 특히 육회는 최고예요.
언양기와집불고기,GeeNie Kim,5.0,맛있네요. 울산역하고 가까워서 기차타기전 먹고 움직이면 좋을듯 하네요. 친절하고 방역지침도 잘 따른고 있구요. 주차도 도와주는 분 있네요. 다만 가격이 넘 비싼듯...은 단점
언양기와집불고기,최귀숙,5.0,대기시스템도 잘되어있고 빠르게 음식나오고 맛도 좋았어요~
언양기와집불고기,자폴레트,3.0,"가성비로 가는 식당은 아니지만 별로입니다.

불고기에 불맛은 나지만 맛자체가 약합니다.…"
언양기와집불고기,멍멍캣,5.0,아주 맛있습니다. 그러나 사람이 많아 대기해야하고 식당내 들어와서도 복잡하고 주문을 잘 안받아 줍니다
언양기와집불고기,n.k.s Dreamer,2.0,잘게 다진 양념 소고기 다 구워져 나옴. 먹을만한데 육회에 막국수 먹어도 모자람. 불고기는 어중간히 잘아서 석쇠에서 하나씩 떼 먹음. 차라리 싸고 맛있는 돼지 앞다리를 불고기감 절여서 에프에 구워먹으세요. 그게 가성비갑인듯.
언양기와집불고기,nurigoGAYA,5.0,"이집은 기와집으로 분위기로도 맛집입니다.
주문 즉시 음식 서빙은 물론 서빙직원들이 친절하게 응대하면서 서비스가 신속합니다.
식사끝과 동시에 식혜를 서빙하는 치밀함 까지"
언양기와집불고기,고래상어,2.0,"23년 1월 8일 다녀옴

1. 일행이 먼저도착해서 줄섰고 우리차례가 됐음에도…"
언양기와집불고기,감재근,3.0,"맛있네요.
고기도 아주 잘 구웠고 반찬도 깔끔하니 흠잡을데 없이 맛있어요.
아쉬운점은 불친절 하네요.…"
언양기와집불고기,DE KIM,4.0,물막국수 맛있네요.불고기도 괜찮고.. 물김치는 맹물인데 김치랑 먹으니 괜찮네요 건강한맛ㅋ 친절도 높아요ㅎ
언양기와집불고기,Fantazije,3.0,가격이 조금만 더 착하면 정말 최고일듯. 막국수 메뉴는 뽑는면도 아니고 막국수도 아니고 그냥 기성품 굵은면 / 된장찌개 가격 너무 바가지. 공기밥 주문하면 그냥 서비스로 줘도 될듯한데... 암튼 유명하다고 가봐야... 돈값은 못하는듯
언양기와집불고기,Hana Cho,5.0,직원분들도 친절하고 맛도 좋고-
언양기와집불고기,따로,4.0,"고급스럽고 친절한 분위기의 언양불고기 맛집.

말씀 드리고 싶은건 두 가지 입니다.…"
언양기와집불고기,이은희에스테틱,5.0,"울산 강동해변에 해돋이 보러 갔다가  기와집 불고기 갔어요
맛있어요"
언양기와집불고기,박대용,3.0,"직원들은 매우친절하나 음식(석쇠불고기)의 량은 적음
주차하기 매우힘듬(목요일 18기준)
유명한 맛집이라 하나 한번만 가고싶음"
언양기와집불고기,SH Lee,4.0,"맛있어요
언양불고기 넘 맛있고 된장찌개도 맛있고 후식으로 주는 식혜도 맛있고.. 종업원분들 엄청 친절하세요
둘이가서 불고기둘(일인분 22000원 180그램), 된장찌개 3000원. 밥하나 1000원. 총 48000원 나왔어요…"
언양기와집불고기,우승숙,5.0,"맛있어요
주차공간도 넓구요. 직원들도 친절하ㅂ니다
배부르게 먹기에는 지갑이 고생이지만~
비싸지만 그래도 한우 이니까요"
언양기와집불고기,동주,3.0,"어쩌다 간 언양불고기집. 입구에서 휴대폰번호를 입력하고 기다리면 순서가 되었을 때 카톡으로 들어오라는 안내를 받을 수 있다.
30팀 정도 기다렸는데 30-40분 정도 기다린 듯 하다.
휴게실도 마련되어있긴한데 사람이 많아서 들어가기 좀 껄끄러워지기도 했다.…"
