place_id,user_id,score,comment
언양불고기식당,손기원,5.0,"#음식이 정갈하고 맛있게 보였고, 실제 맛있음#먹는 음식의  섞는 비율이 이상적임#양도 적당하고 깨끗하고#언양불고기 맛도 좋았음#서비스도 주셨음"
언양불고기식당,송형준,5.0,정갈하고 맛도 좋아요. 한우 육회 신선해요
언양불고기식당,Junmin _,5.0,"울산에 놀러온 회사 동료에게 식당 소개를 해줬었습니다. 울산에 처음온 그 지만 상당히 만족하고 갔었어요. 특히 울산역에서 접근하기도 좋아요.
특히, 가족식사도 손님 접대하기도 좋은 것 같아요.…"
언양불고기식당,kim jin,4.0,"맛있게 잘 먹었습니다.
고헌산 갔다가 점심먹으려 갔습니다.
지난번에 갔다가 브레이크 타임에서 걸려서 못먹었는데 이번에는 운이 좋았어요. 국물이 아주 맛있었고 불고기 혼자다못먹어서 포장도 해주시네요. 다음에는 다른 메뉴 먹어보고 싶습니다."
언양불고기식당,제리,1.0,"점심시간에 갔는데 밥이없다며 밥양이 말도않되게 적네요.여기분들은 소식가인듯...리뷰사진에 보면 밥이 소복한데 밑에 깔린듯 밥을 퍼놨네요.
기분상하고 감..."
언양불고기식당,Kim엘리사,4.0,점심 지나서 갔는데도 사람이 많아요. 단순한 메뉴에 맛도 좋습니다!!
언양불고기식당,Jay LEE,5.0,"사장님 너무 친절하시고
가게는 매우 깔끔합니다
언양육불비빔밥과 언양불고기 한판을 주문했습니다…"
언양불고기식당,한바다,5.0,"1인 플레이팅으로 깔끔하게 나오는 곳.
언양불고기가 부담스럽다면 언양불고기가 들어간 비빔밥으로 대체해도 충분하단!
육회비빔밥도 맛있고 그 두가지를 다 섞어 먹는 육불비빔밥이 특히 최고!"
언양불고기식당,이미야,5.0,불고기랑 육회비빔밥을 먹었는데 불고기 연하고 달짝지근한게 넘맛있고 육회비빔밥도 나물종류따로나와 식성에 맞게 비벼먹을수있어 아주좋고 신선해요
언양불고기식당,한바다,5.0,"언양불고기비빔밥과 육회불고기전문점인 언양불고기식당.

지난 겨울부터 직접 끓인 한우국밥도 판매를 하고 있어요.…"
언양불고기식당,찐덜미,5.0,"4인 가족끼리 점심식사 하고 왔습니다. 육회비빔밥(12,000원/인)에 언양불고기 한판 추가(30,000원/판)해서 먹었는데 사진엔 언양불고기는 안나와 있네요ㅎㅎ 상당히 정갈하며 깔끔하고 특히 육회 비빔밥은 정말 맛있습니다."
언양불고기식당,투구 Toogoo(TooGoo),1.0,42000원 냈는데 정말로 나오는거 없습니다
언양불고기식당,정석복,4.0,단체회식 때문에 들렀는데 떡갈비를 주문해 먹었는데 그렇게 맛 있다는 생각은 안드네요. 부드러워 어르신들이 좋아할 것 같네요. 회식했는데 배부르다는 느낌이 안드네요.
언양불고기식당,Yoon,3.0,좀 외진 곳에 있어요. 맛은 있는데 가격은 비싼 것 같아요. 저 상차림에 4만 2천원... 불고기만은 18000원 정도였던 것 같은데. 밥도 따로 시켜야하고 된장도 그래요. 대단하게 특별한 맛은 아니라서... 재방문 의사는 없어요
언양불고기식당,씨몽키,4.0,"맛은 있고 깔끔 정갈함

사장님이 말투가 쎈데 경북스타일이라 이해하심 댈듯"
언양불고기식당,라라,2.0,"보통  후기 참고만 했었는데  다른 분들도 아시고 가셔야 할 꺼 같아 적습니다.
1인상으로 깔끔하고 빨리 나오고 맛도 만족해서 한번씩 들르던 곳 이였는데 손님응대 하시는 게 굉장히 불친절 해 졌네요.
예전엔 안 그랬는데 빨리 주문하라 채근 하는 뉘앙스...주문하려고 벨 눌러도 본인 할일 다 하시고 천천히 오시고 다 먹고 냅킨이 없어 요구하니…"
언양불고기식당,온누리TV,3.0,"육회 비빔밥

분위기도  좋고…"
언양불고기식당,tim treasure,5.0,가격좋고 주차장 있고 맛있고 빨리나옴
언양불고기식당,pe min,5.0,직원분이 매우 친절하시다. 음식이 매우 맛있다! 국은 무조건 리필
언양불고기식당,꿈이큰사람,5.0,너무 맛있네요. 아이들이 너무맛있데요.
