place_id,user_id,score,comment
영농한우식육식당,황진욱,4.0,"무거동 가성비 맛집입니다.
소고기보다 돼지고기 추천드립니다.
인기있는 집이라 일찍 가거나 예약 필수입니다."
영농한우식육식당,이은정,5.0,생대패 삼겹살 주문해서 먹었는데 맛있어요.
영농한우식육식당,BJ Lee,5.0,"고기,반찬,기타음식까지 정말 맛있고 가성비까지 대박👍 완전 추천합니다…"
영농한우식육식당,할라룽,4.0,친구랑 먹은 가끔 가는 맛집^^  된장찌게 진짜 맛있어요!!!
영농한우식육식당,hyungil Nam,4.0,"대패삼겹살은 생고기로 나옵니다.
냄새도 안나고 부드럽고  고소 합니다."
영농한우식육식당,윤예준,5.0,손님이 많이 오셔서 그런지 매일매일 신선한 소고기를 공급해주셔서 고기가 정말 신선하고 살살 녹는듯 맛있어요! ^^
영농한우식육식당,SC “Mr. Park” Park,4.0,"맛있고 좋아요.
동네 고기 맛집"
영농한우식육식당,류혜천,5.0,소고기는 이집에 꼭옵니다!  친정아버지도 입맛이 까다로운데 아주맛있게 잘먹고왔어요 된장찌게는 진짜 굿!!  물냉은 고기먹고나서의 게운함!  소고기는 영농한우식육식당으로!!
영농한우식육식당,김인순,4.0,점심식사 하러 간곳~~~!!
영농한우식육식당,정희정,5.0,금액도 맛도 모두 좋습니다. 깔끔하고 예쁜 분위기를 찾으신다면 추천해드리기 어렵겠네요.그냥 흔한 식육식당 분위기입니다. 하지만 맛과 고기질은 아주 좋아요!
영농한우식육식당,뽀그미,4.0,고기질이 최고입니다.사장님 인심도 좋고 맛있었습니다 다만 늦은시간까지는 하지 않아 조금 아쉬웠습니다 식육식당이라 고기값도 저렴했습니다 ^^
영농한우식육식당,함은구,5.0,"고기 신선하고 맛있고...
된장찌게 맛있고...
다 맛있내요ㅋㅋ
식육식당이라 초장값 들어가요!"
영농한우식육식당,정설화,5.0,삼겹살. 갈비. 각종 소고기 다~ 맛나요. 특히 된장찌개 와 함께 하셔야해요.
영농한우식육식당,최성희,1.0,한우만 판매한다고해서 갈비살 600g(6만9천원+일인당테이블비 5000원)을 엄마랑 먹고 왔은데 정말 고기가 맛이없었슴.서비스도 안좋았고..다시가기싫음.
영농한우식육식당,polce,5.0,고기 너무 맛있어요
영농한우식육식당,정명희,4.0,저희는 안심 시켰는데  고기는 맛있어요 초장집에 나오는 밑반찬이  좀 짜고 별로여서 아쉬웠어요
영농한우식육식당,장클로드,4.0,"고기가싱싱하고 저렴하며 밑반찬이 좋아요.점심메뉴로 소고기국외에설렁탕,육개장등도 맛이좋아요~^^"
영농한우식육식당,핑크요정 (핑크요정),5.0,맛이 끝내줘요~
영농한우식육식당,이용주,3.0,삼겹살은 질 가격좋음 소갈비살은 지방이 많이섞여 질떨어지는 고기와 양호한고기 반반 나왔고 상차람이있었어 추천하고싶지않음 조삼모사
영농한우식육식당,최경민,3.0,"가격이 많이 올랐네요...
반찬가지수도 좀 줄은것 같고요...고기는 맛있습니다"
영농한우식육식당,이경순 (밝은햇살),4.0,맛있게 먹었어요. 시설은 오래 되었고ㅠ밑반찬은 조금 어설프지만 고기는 좋아요
영농한우식육식당,장미애,5.0,고기도좋고 음식들도 맛났어요 단지 가게가 좀 더워서 땀흘리며 구워먹었어요 된장찌개가 의외로 아주 진한 맛이라 특별히 맛있었어요 담엔 김치찌개로 ㅎㅎ
영농한우식육식당,bulldog walker,2.0,육회에도 설탕 파 절임에도 설탕. 내 혀가 잘못된게 아니라면 설탕이 녹지도 않을 만큼 많이 들어갑니다
영농한우식육식당,윤지현,3.0,"된장찌개맛이 된장이 목욕하고 사우나까지
한 맛입니다ㅋ"
영농한우식육식당,Chevalier 1005,5.0,"안거미,안창살,살치살등 신선한 특수부위와 막찍기"
영농한우식육식당,서정호,5.0,값이 싸고 질 좋은 한우를 먹을수 있는 착한 가게 입니다.
영농한우식육식당,고경수,5.0,"최고 품질의 고기로 정말 맛나요.
사장님의 후한 인심도 최고입니다~~^^"
