place_id,user_id,score,comment
우가포커피로스터스,먹방요죵,5.0,키즈룸이 있어 아가와 함께오기 좋은 곳
우가포커피로스터스,nerf this,4.0,빵 이랑 음료는 가격대비 그저그런데건물 뷰가 진짜 좋음 .. 재방문의사있음
우가포커피로스터스,달,5.0,뷰도 좋고 우가포스틱 맛있어요! 🥰
우가포커피로스터스,맛집다내꺼,5.0,최고!
우가포커피로스터스,불량에너지,4.0,멋진 뷰.  맛있는 커피. 케잌. 강원도에서는 볼수없는 뷰와 맛. 가격은 조금 비싸지만 만족합니다!
우가포커피로스터스,예다움,4.0,뷰맛집
우가포커피로스터스,나그네,5.0,평점 왜 낮은지 이해할 수 없음ㅜ어느 것 하나 부족한 것 없이 만족스러운 카페바다 보면서 커피 마시면 세상 걱정이 없습니다~
우가포커피로스터스,😑,5.0,커피도 맛있고 뷰도 좋음 컵도 리유저블 컵 가져갈 수 있어서 좋아요
우가포커피로스터스,ㅇㅇ,5.0,불친절하다는 후기보고 찜찜하게왔는데 그직원들 다 짤렸는지 넘 친절했음 뷰 최고 사람도없고 빵존맛
우가포커피로스터스,박정연,1.0,뷰가 너무 좋아 두 번 갔었는데...음료 상태가 불결해요~ 음료 얼음 안에서 벌레 나왔네요
우가포커피로스터스,윤이야,5.0,여기 뷰맛집이에요 진짜 ~~ 커피한잔에 여유 제대로 즐겼네요
우가포커피로스터스,강물,1.0,별1개도 아깝네요 직원교육 좀 시키세요 카페 에서 커피주문하면서 기분상한적 첨이네요 짜증난 목소리로ㅡㅡ;; 뷰만 좋음 다시는 방문 예정없어요
우가포커피로스터스,쏘래,5.0,뷰가 진짜 예술이에요 !! 외국같은 분위기
우가포커피로스터스,이태훈,1.0,역시 불친절이 빠지면 울산이 아니지직원교육 좀 시켜요.
우가포커피로스터스,김병수,1.0,직원 교육이 필요할듯 짜증난듯한 대꾸!이러다 망해요!
우가포커피로스터스,이재동,5.0,"주말 점심 후 따뜻한 커피와 페스츄리,바다 풍경과 함께 잘 맛보고 갑니다"
우가포커피로스터스,영호,1.0,쪽팔린줄 아세요
우가포커피로스터스,서임량,5.0,힐링한곳~~~~참 좋았어요 빵도 대박~~~
우가포커피로스터스,coree,4.0,아메리카노 따뜻한것 고소한 맛 + 빵 조합이면 만족하실수 있는 카페. 커피 이외의 음료는 비추천. 좋은 뷰. 화장실 구조가 안좋음. 와이파이는 1.2층만 됨.
우가포커피로스터스,구파발왕언니,1.0,요근래 들어 가장 쪽팔리는 곳.
우가포커피로스터스,싼쵸,1.0,부산 기장 웨이브온 카페를 따라하신 건가요?
우가포커피로스터스,조정호,5.0,접근성이 약간별로. 음료의 가격이 살짝 높음마감전은 빵류 행사로 저렴히 판매디자인적인 해안카페
