place_id,user_id,score,comment
웅촌식육식당,장권배,5.0,삼겹살  고기가 정말 좋고 맛있네요. 가격도 엄청착하구요. 넷이서 6인분 먹고 밥 된장찌게 먹었는데  64000원.
웅촌식육식당,journey kang,5.0,삼겹살이랑 주물럭 김치찌개 주문했습니다 오랜만에 맛있는 삼겹살먹었어요 김치찌개 속에 들어있는 고기가 너무 부드럽네요 주물럭은 나쁘지 않았어요 ㅎㅎ 웅촌명주는 이지역 양조장에서 만드는 막걸리라고하네요 그리고 가격이 올랐어요
웅촌식육식당,BigZero Gold,5.0,2명가면 배 좀 부르게 먹을 기준 삼겹4인분에 밥 2공기시키면 됩니다. 된장찌게는 그냥 나오고요^^.
웅촌식육식당,진민기,5.0,"블로그 보고 방문한곳인데 삼겹살이 오겹껍데기 까지 붙어있어서 쫄깃하고 식감이매우 좋았습니다  1인분에 만원 130그람인데 고기 부위가 뼈부위만 잘내어놓아서 어른6명이서 15인분을 먹었는데 다먹을때까지도 고기를 좋은부위만 내어주시더군요 왜 장사가 잘돼는지를
바로 인정하고 이해했네요…"
웅촌식육식당,미드매시,4.0,시골이지만 점심시간에는 자리가 없어서 대기 해야합니다. 주물럭과 김치찌게가 맛있습니다.
웅촌식육식당,H S,5.0,삼겹살이 쫄깃하고 육즙이 일품입니다. 정말 맛있습니다.
웅촌식육식당,박수한,5.0,"가격저렴, 직원서비스 좋아요
등심 부드럽고 맛있어요.
김치찌개 감칠맛 나요"
웅촌식육식당,김용술,4.0,"주물럭 맛있었어요.
삼겹살도 베리 굿!…"
웅촌식육식당,박종근,4.0,돼지삼결살과돼지김치찌개가주메뉴입니다.45년이지난전통의음식점입니다.
웅촌식육식당,jr. cho,5.0,"양산 '웅상식육식당' ""메차 오이씨데스""
'냉동육'이 아닌 생고기.  부드럽고 신선, 착한가격!
하루에 돼지를10마리를 잡아데는 이유가 있는집.…"
웅촌식육식당,맛집탐방이랄까,4.0,다 좋지만 가격이 너무 싸서 1점 깎았습니다 더 올려주세요 너무 맛있네요 ㅎㅎ
웅촌식육식당,김ditto,5.0,이곳 김치찌개는 미국에서 생각납니다
웅촌식육식당,안미연,5.0,일단 밑반찬이 너무맛있고 사장님이 직접 제배하는 신선한재료와 재철재료로 맛과 건강까지 정성과 진심을 담아내는곳~그리고 직접담그시는 김치 최곱니다
웅촌식육식당,singki kim,5.0,"삼겹살 은 여기거 최고 입니다.
카터링 서비스도 분담이 잘되어 빠르고 효과적 이며 우호적 이었음."
웅촌식육식당,상활좋은,5.0,고기가 맛있고 사장님이 착하셔서 식사하기 베스트입니다
웅촌식육식당,*소울리티,5.0,"삼겹살~~
미박이라 씹히는맛이 끝내줘요~^^
맛있게 잘 먹었습니다."
웅촌식육식당,이승우,4.0,고기는 좋은데.김치가 중국산 이라는게 쫌 걸리네요. 김치찌개 맛집인데 김치가 중국산.
웅촌식육식당,유광석,5.0,"여기 삼겹살 진짜 맛있음. 생긴건 좀 특이하던데
완전 맛있음. 소고기는 안먹어봐서 잘모름.
앞에 주차공간 있음. 찌개류도 된장 김치 다 맛있음."
웅촌식육식당,남성윤후중,5.0,"4명이서   주물럭4인분 김치찌개2인분
환상의 조합이였습니다"
