place_id,user_id,score,comment
원터가든 명촌점,maio k,4,"오리고기,볶음밥까지 맛있게먹었습니다."
원터가든 명촌점,Bowie ever,5,"회식 장소로 좋아요
무알콜 맥주 판매해요 👍…"
원터가든 명촌점,윤예준,5,"오리고기 육질이 아주 좋고, 반찬이 정말 잘 나옵니다~ 손님이 항상 많은데 그 가운데에서도 종업원 분들께서 열심히 챙겨주셔요 ^^"
원터가든 명촌점,김용한 (James Kim),4,오리고기불고기 맛있어요. 바닦에 기름기가 있어서 그런지 미끄럽네요 ㅠ
원터가든 명촌점,몽슈킴,1,대복 원터가든 보다 훨씬 바싸고 인원수 만큼 무조건 주문 강요함
원터가든 명촌점,김홍준,5,"깔끔한 음식과 진국처럼 혀끝에 와닿는 탕국의  맛!
정말 그 어디서도 견줄수 없는 맛입니다."
원터가든 명촌점,이종문,4,매장 개장하기 15분 전에 들어 갔는데도 아주 친절 하게 잘 해 주셨습니다
원터가든 명촌점,먼지냥이,5,오리탕이 넘 맛있어요 반찬도 여러가지 나오고~ 잡채랑 양념게장 맛있어요^^
원터가든 명촌점,손원태,5,오리탕  죽여줍니다~
원터가든 명촌점,리나리,2,맛은 그냥평범했어요. 오리메뉴가 저렴한 메뉴가 아닌데 직원분들이 불친절해서 억지로 먹고나옵니다. 단골도 아니고 메뉴에 대한 이해가 부족하고 설명도 부족해서 계속 메뉴를 정하는과정에서 큰소리로 흥분해서 대답하시는데 유쾌하지않네요. 울산이 진짜 굉장히 맛있고 신선하고 특색있는곳이 거의없어 식당을 선택하는 가장 큰요인은 친절이라고 생각됩니다. 늘 어른들을 모시고갈땐 맛보다 친절하고 대접받고나오는 기분이 드는 한◇위를 찾는 이유가있는데 넘 식상해서 옮긴 자리가 너무 속상하네요.
원터가든 명촌점,이강희,4,"넓은 주차장이 있어 편리하며
맛난 오리 요리를 즐길수 있습니다"
원터가든 명촌점,Y H,4,"가족모임으로 좋아요. 방은 좌식, 홀은 의자입니다. 오리로스구이와 뼈탕은 필수. 몸이 허한거 같을 땐 오리탕을 먹습니다. 포장도 가능합니다."
원터가든 명촌점,Chumbak,5,오리 불고기 너무 맛있게 잘먹었습니다. 볶음밥도 꼭 드세요 정말 맛있습니다.
원터가든 명촌점,k욱찌,3,맛은 사람마다 다르겠지만 청결이 우선 안좋았습니다 바닥이 너뭐지저분해요 오리양념기름에 안보이는 기름까지 거기다 그릇에 밥풀이조금씩 있어요 앞으로 조금더 청결에 신경써주셨으면 좋겠습니다
원터가든 명촌점,유니ASMR,4,"오리불고기하면 생각 나는 이름!
오리탕은 다른곳 있음...
남자들끼리 가도 좋은곳…"
원터가든 명촌점,조현수,1,이 불경기에 저렇게 불친절하게 장사하고 손님북적한거 보면진짜 신기함.직원은 아닌거 같고  가족으로 보이는듯한 카운터  아줌마직원이 답없이 불친절함. 돈주고 먹으러 가서 이게 무슨 서비스인지 식사 내내 기분이 안좋음. 서빙하는직원들은 나름친절하고 음식도 그정도면 맛있었다고 할수 있으나 카운터분의 무례함은 별하나도 아까움.
원터가든 명촌점,정은주,5,"세트메뉴 정말 맛있어요
사장님도 친절하시고 또 가고싶어요~"
