place_id,user_id,score,comment
육일횟집,mi na,5.0,"최근 먹은 물회 중 가장 맛있는 집
사람많을땐 대기번호 뽑아야하는 집
육일물회가 가장 인기메뉴, 전복죽도 진하고 맛있어서 아이들도 먹기 좋다"
육일횟집,Hyun Chul Kim,5.0,"바닷가에 위치한 육일회집.
물회랑 전복죽 정말 맛있습니다.
회를 주문 하려 했으나, 안된다고 해서 아쉬웠네요.
직원분들 친절하세요."
육일횟집,최병호,5.0,"물회가 생각날 때 자주가는 횟집입니다. 반찬도 샐러드 포함해서 종류가 많지는 않지만 먹을만한 것들로 잘 나옵니다.

물회는 워낙 유명한 메뉴고, 회정식도 맛있습니다.…"
육일횟집,두부마미,5.0,"물회가맛있는주전바닷가맛집입니다.
기본반찬도많이나옵니다.
바다도보고바다의맛도느낄수있는곳입니다."
육일횟집,김나니,3.0,"주차장 짱 넓고 저는 시간 조금 일찍가서 덜 기다렸는데, 먹고 나오니 대기가 있더라구요! 바다뷰는 좋았고 물회에 있는 회 양은 푸짐한데 그 소스가 너무 짜서 아쉬웠습니다. 밑반찬은 다양하고 괜찮았는데, 미역국도 들깨가루 가득해서 고소했어요!"
육일횟집,YOUJUNG kim,5.0,밑반찬 다 맛있고 물회에 들어가는 채소 과일이 다 좋아하는것들이라 너무 맛있게 잘 먹었어요 마지막 마무리 매실차도 새콤하니 좋았네요~! 직원분들도 다들 친절하시구요~
육일횟집,HS Lim,5.0,외관이 허름해서 별로 기대하지 않았는데 이른 시간에도 손님이 바글바글 하네요 물회가 끝내줍니다 폭염에 시달리다가 정말 맛있게 먹고 나왔습니다 주차장도 넓어서 좋네요^^
육일횟집,조덕환,5.0,"바닷가 바로 앞 뷰가 멋지고
전복죽과 육일무회를 시켜서 먹었는데
회는 와이프가 전복죽은 제가 먹었는데 전복죽은 참기름향에 맛이 정말 맛있었고 만족감에 흡족"
육일횟집,소희,5.0,대기번호를 적고 기다려야하는 점이 있지만 맛있고 반찬도 가지각색이 나와서 최고로 좋은곳인것 같아요
육일횟집,네이브킹,4.0,"맛있어요, 가게 바로앞에 공영주차장 51면짜리가 있어 편리합니다."
육일횟집,최정우,3.0,주변에 많은 횟집이 있지만 그래도 나름 맛나고 회도 듬뿍주시는듯...일반과 육일  두종류의 횟밥&물회..맛났네요
육일횟집,Ne Ma,5.0,바다의 풍미와 해산물의 비릿하면서 바다내음을 내주는 향이 만족스럽다. 다만 양념이 너무 자극적임. - 2021년 4월 다시 가보았다. 양념이 자극적이지 않고 매우 부드러운 느낌이 되었다. 기존 별 4개에서 별 5개로 수정.
육일횟집,변창민,4.0,"맛있음 음식이 정갈하고 미역국이 정말 맛있음.
물회는 울산에서는 손에 꼽힐정도"
육일횟집,허동희,5.0,"혼자 자전거 타고 물회가 먹고 싶어서 혼자 먹을수 있나요 했는데  했는데 흔쾌이 ㅇㅋ
많아서 담엔 반찬은 빼고 묵어야 겠어요"
육일횟집,m k,4.0,"양도 많고 다양하게 넣어주며 신선하고 새콤매콤하니 맛있습니다.
매운맛은 혀가 살짝 얼얼한정도!
그리고 밖에 바로 바다입니다!"
