place_id,user_id,score,comment
육향,Pablo _,4.0,후기보고 우대생갈비 먹었습니다 인원에 맞게 시켰는데도 양이 좀 되네요 가격은 있는편이고 먹다보면 좀 느끼했은데 된장찌개가 한수네여 ㅎㅎ
육향,ss쩡쓰쓰,2.0,"분위기 미쳤다 하며 앉았습시다
디쉬세트가 맘쏙
샐러드도 상큼 아삭 김치들도 맛남 기대치 상승~~…"
육향,정지헌,4.0,맛나지만 저렴하진않음 성격급하면 전화로 예약하고 주문해야함 20분기다리니 나옴 2인가면 최소3인분 갈비주문해야 배좀찹니다
육향,yun p,5.0,"두번째 방문인데 정말맛있네요.
양념이 돼있는 두꺼운 고기라서 스테이크 같은 느낌도 들고 부드럽게 먹을수 있어요.
해물된장찌개 시켰는데 좀 꽃게탕같은 맛이였어요.…"
육향,A CHOI,4.0,"삼겹살은 평타인거 같아요. 짚불훈연이랬는데 색만 그렇고 향이 거의 안납니다. 갈비가 더 맛있네요.
갈비가 양념간이 잘되있고 많이 달지않아 좋아요. 직원분이 고기 다 구워주십니다. 반찬류에 소스류가 많아서 좋구요. 단점은 쌈이 없어요 ㅠ
근데 먹다보면 자꾸 쌈이 생각납니다 ㅋㅋㅋ…"
육향,유다영 (뭔지알지),4.0,찾기 어려운 위치는 아니나 꽤 큰 곳임에도 불구하고 주차공간이 따로 없는것이 불편해 가게 근처에 잘 찾아서 주차를 해결해야합니다. 용산의 몽탄이 컨셉인듯한 어느정도 비슷하지만 조금은 더 모던한 느낌의 인테리어이고 테이블이 떨어져 개인공간처럼 누릴수 있고 양 쪽 원형 테이블공간은 1팀 1에어컨 사용이 가능한 점이 아주 큰 장점입니다. 특히 여름에는 더 좋습니다. 옷을 따로 넣을 수 있는 캐비넷이 있어 옷에 냄새가 많이 베지 않는…
육향,동그랑땡,5.0,"간만에 찐 맛집. 앞으로 울산오면 무조건 이집  아마 이거먹으러 울산올듯
3명이서 우대갈비 4인분먹고 볶음밥, 해물된장찌개 먹었는데 진짜 존맛 배 터져요. 배 안터지고싶으면 인원수대로 시키면 적당함
반찬이랑 찍어먹는 소스 조합 다 너무좋음ㅋㅋㅋ"
육향,박원석,5.0,"맛있어요
분위기좋아요
고기를 구워줘요
가격도 착행ᆢ"
육향,최선미,5.0,"고기 첫입에 집불향이 퍼지는게 입맛을 돋우네요
직원들이 고기를 직접. 구워주니까 항상 바쁘네요. 바쁠때는 좀 기다려야합니다"
육향,Yenny Kim,3.0,맛은 괜찮아요. 파무침엔 날계란이 들어가 더 고소했구요. 근데 양에 비해 가격이 너무 사악해요 ㅠㅠ 분위기 맛집입니다
육향,아하우후,5.0,우대갈비는 존맛탱 입니다. 진심 먹어봐야 느낄 수 있능 맛. ㅋㅋㅋ 삼겹살응 노노. 나머디는 평범 ㅎㅎ히
육향,최남식,1.0,"ㅋㅋㅋㅋㅋ
이것을 고기라고 내놓은우대갈비(미국산)
탄내가 너무강해 목이 담배핀거같이껄끄러움.…"
육향,Kim Byung Man Kim,3.0,생갈비를 추천합니다. 단점은 가겍이 좀 비싸다는거 마지막에 나오는 갈비가 양이 상당히 되니 너무 많이 주문 안해도 됩니다.
육향,로웬_rowen,5.0,우대갈비 맛있어요. 가격이 좀 비싸긴 하지만 맛은 쵝오
육향,송은숙,3.0,고기가좀질기고느끼하네요~~느끼함을좀잡아줘야하는것이있어야겠네요~~~
육향,이원미,4.0,"우대갈비 맛있어요.
근데 좀 많이 질겨서..... 아쉬웠어요."
육향,윤자매,4.0,맛있어요. 직접 구워주어서 편하게 먹을수 있어 좋아요. 뼈에 붙은 고기까지 2차로 구워주시나 뼈에 붙은 고기는 많이 질기네요
육향,고양이,2.0,짚불향을 소갈비에 초벌로 끼얹어 내옵니다.....짚불향은 어류(먹장어)의 비린내를 잡기위한 조리법이였는데...고기에 얹으니....탄맛이...탄냄새가 받힘니다...따라서 고기에서 쓴맛도 조금 따라 옵니다...결론은 소고기특유의 풍미를 잘 못느끼게 됩니다........그 외적으론 나무랄데 없습니다...친절하고..실내예쁘고....가격은 좀 쎈편입니다
육향,EYE 3,5.0,좋은 사람들과 같이 가고 싶은 고깃집
육향,놉노노,5.0,"고기 구워줘서 편히 먹었습시다.
맛납니다."
육향,김혜진,5.0,모두 좋아요.또 가고 싶네요.
육향,SkirtBoyz *,3.0,우대갈비. 짚불향 좋음. 고기는 조금 질긴편. 서비스훌륭. 가격은 고기질에 비해 비싼편.
육향,장석봉 (장모치와와),5.0,우대갈비... 너무 맛있어요
육향,이상희,4.0,"식사로 하기에는 조금비싸고
술을 곁들여서 먹기에는 좋은 곳입니다."
육향,Save Life,5.0,고기가 초벌후에 나오기때문에 시간은 좀 걸리지만 맛은 확실히 좋다
육향,박마도로스,5.0,맛있게잘먹었습니다ㅎ사진을못찍었네요
육향,김진성,3.0,"초심이 흘들리고  있머요
고기맛이  보통정도"
육향,Dongsu Kim,3.0,고기맛은 괜찮음. 2인분씩 시켜야 해서 부담이 됨
육향,태태,4.0,비싸지만 맛있어요ㅎㅎ
육향,Seoktae Jang,4.0,"화력이 좋고, 기본에 충실한 고깃집입니다."
육향,서원비,5.0,고기도 직원이 구워주고 맛도 있습니다
육향,태백,5.0,맛있어서 자꾸 생각나요
육향,문재구,4.0,가격이 비싼데 여기 맛있음
육향,factcheck21 dkkorea,5.0,"별미,맛있어요."
육향,JT5 o,5.0,색다른 고기맛. 맛있음
육향,김홍한,5.0,친절하고 맛 짱입니다
육향,신재섭,4.0,맛있어요
