place_id,user_id,score,comment
윤연당,김갑환,3.0,
윤연당,소녀감성,4.0,커피는 별로예요 직원분들중에 바리스타는 없는듯ㅠ빵집이니 빵 맛있어요~
윤연당,fmmc,1.0,"녹차라떼 시켰는데 거품이 절반,, 스팀도 잘 못하시는건지 완전 개거품이구밑에 녹차분말부분? 많아서 다 섞지도 않았는데 너무달아서 입이 아려요우유 조금 더넣어달라니까 정량이라고 더 안넣어주시던데이게 정량이면 정말 단거에 환장하시는분만 시켜야할듯ㅜ"
윤연당,뭥미,1.0,배달하기 어려우면 배민을 내려세요 메뉴가 없으면 빨리 내리던가 하지 왜 기다리게 만드는지
윤연당,엄석대,3.0,커피 원샷입니다. 빵은 괜찮아요
윤연당,다예,1.0,빵은 맛있어요 근데 안경 쓴 직원분 진짜 손님을 불편하게하시네요 불친절합니다
윤연당,클라라,4.0,"빵도 맛있고, 직원분들도 친절했어요. ㅎ 그런데 커피가 생각보다 별로여서 별하나 뺐습니다. 눈꽃빵은 9천원인데 기대이하였고, 테스빵이 제입엔 좋았어요 (가격기억 안나는데 쌌던것 같아요) 아기들 모닝빵도 샀어요."
윤연당,이상애,1.0,"빵점!!!!별 반개도 아깝습니다.카운터 알바?생들 직원교육을 어떻게 하는건지..손님이 말하든 말든 본인 할일만하는 굳은심지?에 놀랍습니다.커피가 나오기전 한번에 들기힘들어 따로달라니 ""기다리세요""..아니 기다려달라니는 것도 아니고 기다리라니, 그리고 불렀더니 굳이 커피랑 빵을 한쟁반에 담아주는건 뭔지..서비스갑질 받고 옵니다..윤연당 돈 마니 버셨나봐요다시 가고 싶지 않아요"
윤연당,오전필,5.0,
윤연당,Vin,4.0,
윤연당,포동포동,4.0,
윤연당,먹다지쳐잠들게하소서,3.0,ℹ 오전 7시에 오픈하지만 시그니처 빵들은 나오는 시간이 오전 9시 30분 이후에야 가능하다.✌ 달달한 눈꽃빵만 먹을 수 밖에 없어서 아쉬웠던 윤연당.( 사진 - 안내문 & 눈꽃빵 )
윤연당,바디걸즈,4.0,
윤연당,캬라멜 연유,3.0,가격이 좀 나가네요
윤연당,현주,2.0,이  무더운   여름  날씨에  포장 부분이   미흡한듯   빙수포장해가는데   아이스팩  하나 없이   차 에어컨  켜고 집에  와도   많이  녹았고   크림종류빵도  흘러내림    매장직원도  별로  친절하지  않았슴
