place_id,user_id,score,comment
일품장어,이경순 (밝은햇살),5.0,"매장에 들어가 손질된 장어를 선택 한 다음 자리에 앉으면 안에서 장어 초벌 구이를 해서 내 줍니다. 장어는 자리에서 직원이 직접 구워줘서 적당히 맛있게 먹을 수 있어 좋아요. 장아값, 일인당 상차림비 따로 계산 됩니다. 맛있어요"
일품장어,Juhyeon Park,5.0,다른 장어집 구영리나 천상에 있지만 제대로 먹기 위해서는 여기 와야하는 것 같아요. 가격 부담은 되지만 미리 구워주셔서 편하고 먹는 방법도 여러개라서 덜 질리게 먹을 수 있어요. 들어가기전에 어느정도 양 보고 정하는 시스템도 좋고 다 먹고 후식으로 먹는 장어탕도 맛있습니다!
일품장어,초록고양이,4.0,장어를 직접 보고 선택해서 먹을수 있어서 좋았어요~ 손질도 깨끗하게 해주시고 초벌구이 해와서 먹을수 있게끔 직원분이 구워주세요! 그래서 가장 맛있을 순간을 놓치지 않아서 맛도 좋았네요~~ 부모님은 장어탕도 깔끔하니 맛있다고 하시더라구요!…
일품장어,세계일주를꿈꾸다,5.0,"저렴하게 잘 먹음.
직접 다 구워주시니 좋음.
열무국수는 별로.…"
일품장어,Billy Yu,5.0,"예약이 쉽지 않았지만 깔끔한 음식 친절한 직원들
다시 방문하고 싶은 곳
테이블에서 구워주는 서빙해준 직원 고마웠어요
쌈하나 싸서 입에 넣어줬네요^^"
일품장어,오상훈,5.0,"장어 초장집이라고하는게 맞는거 같고 장어가
정말 담백하고 느끼한게 없어 엄청 먹게 됨
장어탕도 너무 맛있어요. 구워줘서 좋았고
예약필수 일것같고 일반석은 너무 씨끄러움"
일품장어,Magnum Big,5.0,"울산에서 장어는 무조건 이 집만 갑니다.
특별하게 초벌해서 육즙 가득하게 1차로 구워져서 나오구요, 테이블에서 직원이 숯불에 맛있게 마무리로 구워줍니다.
먹기만 하면되고, 소금 및 각종 소스에 찍어먹으면 행복해집니다. 꼭 가보시는걸 추천합니다. 2인기준 7~ 8만원정도 나옵니다. 구이 후 장어탕 드실수 있는데, 추어탕과는 색다른 맛이 납니다. 고소하고 담백합니다. 추천."
일품장어,FILEX,4.0,"구영리 잘되는 장어집이라 가야지 하다가
갔는데 왜 잘되는지 알겠더군요 가성비 좋고
장어도 탱글탱글하니 맛있어요.
하지만 밑반찬이 살짝 아쉬웠습니다. 장어만 따지면 굿"
일품장어,강보경,5.0,어제 남자친구가 장어먹으러 가자고 해서 몇몇 곳을 찾아보다가 마땅찮아서 제가 새로 찾아보고 선택한 곳인데 맛있더라구요. 고기초장집 처럼 장어를 선택하면 초벌로 구워다 주시고 먹기좋게 잘라서 숯불에 구워먹는 형식입니다. 가게도 깔끔하고 직원분들도 다 친절하시더라구요. 초벌로 바로 나왔을때는 사진찍을 생각을 못하고 먹다가 뒤늦게 찍었네요~느끼하지않고 담백한 민물장어였습니다. 맛있다고 하는 장어탕과 잔치국수도 함께 먹었습니다.
일품장어,Min또기,4.0,"손질된 장어를 포장해서 진열해뒀어요. 2인이면 보통 5만원이상 먹는다고 해서 2마리 들어있는 51000원팩 골라서 먹었어요~! 반찬도 다양하고, 장어도 초벌해서 구워주셔서 편하게 맛있게 먹고왔습니다.
식사로 주문한 장어탕도 맛있었습니다.
재방문 의사 100퍼ㅎ"
일품장어,김SY,5.0,"구영리로 사전투표 하러 갔다가
지인들도 맛있게 먹었다고 들은 식당이라 가봤습니다
식육식당 같은 시스템으로…"
일품장어,김용술,2.0,"가성비 좋대서 갔는데 기대만큼은 아니네요.
육질 딱딱, 된장찌개 장어탕도 실망..
열무국수도 so so 이하"
일품장어,천진순,4.0,첨 가봤는데 장어도 실하고 씹는 맛도 몸보신 하기좋아요.장어맛도 좋고 가게도 깨끗하고 가까운곳에 있었는데 왜 몰랐을까~자주와야 할곳.ㅎ
일품장어,이영애,5.0,3~40분 대기해서 먹었는데 왜 기다려야하는지 맛에서 승부수가 나오더라구요~
