place_id,user_id,score,comment
정나루,깜짝맘,5.0,
정나루,맛있는거,4.0,깔끔한맛!
정나루,2johmm,5.0,
정나루,황민기,5.0,만두가 정말 맛있습니다. 지나다니면서 필요한거 물어봐주시고 너무 즐거운 시간이었습니다.**….
정나루,민아이i,5.0,여긴 진짜 만두 맛집!!!조개 까다가 손에 쥐날것 같았어요ㅋㅋㅋ큐ㅠㅠ 그리고 음식 맛은 괜찮은지 계속 물어봐주시더라구요 친절하시고 분위기도 너무 좋았어용
정나루,쩡,5.0,들깨칼국수랑 만두먹었는데 너무 맛있었어요ㅎㅎ  다음에 또 올게요~!
정나루,전국구라구요,3.0,"정나루 이용 참고 꿀팁!1. 바쁜날은 포장이 안된다2. 그게 언제인지는 모르지만 전화를 안받을때가 바쁠때이다3. 휴뮤일이 아님에도 전화를 받지않아 혹여나 전화가 고장난것인지,,, 찾아가서, 포장되냐고 물으니....  ""바빠서~ 포장 안됩니다~""....결론: 바쁜지 안바쁜지 궁금해서 가보거나 할 시간에 다른곳을 가는 것을 추천드림니다"
정나루,김상,1.0,포장주문하려고 전화하니 10분정도 걸린다고 해서 그러면 있다가 다시 전화드리겠다고 했는데 가는 길에 다시 전화드렸더니 바빠서 포장은 안된다고하는게 말이 됩니까? 애초에 그러면 10분전에 전화달라고 하지를 말던가 상당히 불쾌하네요
정나루,가을바람,5.0,한달에 한번은 꼭 먹으러 오는 맛집매운 칼국수랑 들께 칼국수를 개인적으로 좋아함오늘 일요일이라 그런지 이집에서 처음으로 번호표 뽑고 기다렸내요사장님 친절하시고 음식담는 그릇도 정갈하고 내부 인테리어도 좋아요매운 칼국수먹고 밥 말아먹으면 음~~~ 좋아요김치도 맛있어요
정나루,최재원,5.0,
정나루,띡띠규리,5.0,아주 친절하시던데 뭐가 누가 불친절하다고 궁시렁대냐 ㅋㅋㅋㅋ 리뷰가 다음 손님들 참고하라고 쓰는거아님? 그럼 어떤직원이 어떤 상황에서 불친절했는지 아주 간략하게라도 설명해야 되는거 아님? (예: 계산할때 사장님같은 아저씨가 불친절했어요) 자기 리뷰는 불친절하면서 뭔 불친절타령 ㅋㅋㅋㅋ
정나루,뉴,5.0,"여기 엄청나게 맛집이고 오랫동안 사랑받아온 집인데, 별점이 낮아서 놀랐네요. 매달 한 번씩은 꼭 찾는 집이에요. 굿굿"
정나루,구여사,2.0,맛은 있었는데 결제할때 매우 불친절함맛있게 먹고 나올때 기분 잡침
정나루,울산맛집퍼,4.0,면세트먹었는데 좀비싸긴하지만 맛있었어요 만두가 육즙팡팡이라 특히맘에듦 칼국수도 칼칼하니 추어탕같이맛있음
정나루,구영주민,1.0,매운 칼국수는 먹을만한데불친절함절대 다시는 안감
정나루,홍성은,4.0,"칼국수, 부추전, 만두 모두 맛있어요"
