place_id,user_id,score,comment
정안정 본점,황진욱,4.0,"정안정 본점이며 바로 앞 정안면옥과 같은 주차장을 사용합니다.
점심때 웨이팅까지는 아니지만 테이블은 거의 만석이고. 아주머니들이 친절하십니다.
맵기 중간 기준으로 맵린이도 충분히 먹을만합니다."
정안정 본점,강종원,3.0,"그냥 갈비찜집입니다.
엄청멋있고 그렇진않구요
팁을하나드리자면 당면사리 시키지말고 그냥 밑반찬으로나오는 잡채을 넣으세요.…"
정안정 본점,김성욱,5.0,오랜만에 재방문하게 된 정안정 입니다. 가게 앞에는 새로 냉면가게가 생겨서 주차공간이 나름 협소해졌지만 여전히 평일 저녁에 방문해서 식사를 하기에는 넉넉한 정도의 가게입니다. 이번에 방문했을떄는 소갈비찜을 먹었는데 보통맛으로 먹어도 좋았습니다. 4인분을 시켜먹었기 때문에 양은 충분했고 마지막에 꼭 밥을 볶아서 드시기 바랍니다. 기본 반찬으로 주는 샐러드나 단호박튀김도 엄청 맛있습니다. 식후에는 주변에 카페에 방문하셔서 즐기시면 하루 데이트의 완성이 되겠습니다.
정안정 본점,흠흠,3.0,"맛은 좋은편이지만 양이 적고 중간맛이 신라면 맵기라고 했는데 그보다 더 매운편이라 매운거 잘 못먹는분들은 무조건 순한맛 시키세요! 양념은 맛있으나 볶음밥이 무난해서 아쉽..
(같이 간 분들 모두 화봉동 가리명가가 더 낫다는 반응이네요. 가보고 후기 남기도록 하겠습니다)"
정안정 본점,동섭,5.0,"울산언양맛집 정안정 언양점을 다녀왔습니다 울산 굴화에서 두번먹어봤는데 언양점이더 맛있더군요
돼지보다는 소갈비찜을 추천합니다
장점…"
정안정 본점,권도현 (초보의 인생),4.0,"정안정에서 갈비찜 2인분하고 추가1인분해서 총 3인분을 먹고 왔다. 매장 내에 사람이 많고 많이 바빠서 식사준비속도는 조금 느린편 위크타임 생각하면 적당하다고 생각함
맛은 순한 맛이지만 양념을 먹으면 조금 매운편이다.…"
정안정 본점,Dobby Kim,5.0,"일전에 정안점 다른지점들을 가봤는데
아버지께서 돼지찌개를 좋아하신다하여
본점을 가보았다.…"
정안정 본점,박오글,5.0,밑반찬도 잘 나오고 갈비찜도 맛있어요 마늘향이 좀 강한데 저는 너무 좋았어요!!
정안정 본점,Antonio C,5.0,양념도좋고 맛있어요. 반찬도 괜찮아요
정안정 본점,임태현,5.0,"반찬은 대체로 산미있는 음식들로...

겨자채,  도토리묵 부추양파 겉절이,…"
정안정 본점,이경순 (밝은햇살),5.0,갈비찜이 부드럽고 먹기 좋아요. 음식도 바로 나와서 먹기 좋아요
정안정 본점,따로,1.0,"맛이나 시설, 쾌적함은 나쁘지 않으나
손님이 식사를 하고 있는데 페인트질 하는건 좀....
하더라도 멈췄다가 하던지... 뜨내기 손님은 손님으로 안보는듯"
정안정 본점,즐풍목우,4.0,매콤한 게 땡길 때는 한번씩 이용하면 괜찮을 듯. 다만 점심 때 먹기엔 1인 16천 원하는 가격이 쫌..
정안정 본점,Jaesik Yoon,4.0,"매운맛이
땡길때
찾아가는 곳입니다..…"
정안정 본점,HM B,4.0,"기대 않 했는데 맛있어요

밑반찬도 괜찮고 양도 나쁘지 않았어요…"
정안정 본점,뀨돌이,5.0,맛도좋고 가격도 좋아요!
정안정 본점,DC K,5.0,믿고먹는 정안정 갈비찜
정안정 본점,바람처럼,5.0,"맛있어요
조용하기도하고"
정안정 본점,Moon Jeseung,5.0,"맛있고 약간 고급식당 느낌.
주차장 걱정은 1도 하지 않으셔도 됩니다.
식사 후 아이스아메리카노 한잔도 마실 수 있어요."
정안정 본점,이옥규,5.0,"반찬 깔끔하고 음식맛도 좋음
볶음밥도 맛있음"
정안정 본점,리중딱,5.0,"간 딱맞고, 고기도 숙성이 잘되었는지 부드럽고, 반찬구성 좋고, 매장 깨끗하고, 직원 친절하고 오랜만에 맛집 하나 알게됐네요"
정안정 본점,tim treasure,5.0,"모든 음식이 정갈히 잘나옴
테이블 간격만 좀 더 넓으면 더욱 좋을듯하지만.."
정안정 본점,강시봉,4.0,육회도 맛이 좋고 고기질이 부드럽고 육수가 시원하며 맛이좋다.
정안정 본점,조래영,5.0,"매운소갈비찜 먹으러 한번씩 가는 곳입니다
항상 맛있게 먹고 옵니다~~~^"
정안정 본점,성빈성준짱배은주,4.0,맛도좋고 서비스도 좋아요~ 다음에 또 가고싶어요
정안정 본점,ᄏᄏ영영,3.0,"보통맛도 속따갑네요
음식은 정갈하니 깔꿈"
정안정 본점,아오후아,2.0,체인 매운갈비찜보다 별로입니다... 아무리 중간맛이라도 너무 달아요. 중간 매운정도에 맞게 단맛도 조정해 보시면 좋겠어요... 그리고 식사 중에 보니 양념 다대기가 뭉쳐있어서 더 실망입니다.
정안정 본점,77 bc,3.0,"대구에 비하면 좀 부실.
그냥 평타. 참고로 내용물이 별게
없어서 사리 및 추가 해서 먹어야…"
정안정 본점,seunghwi hwang,5.0,돼지갈비찜이 정말 맛있어요. 반찬 가짓수도 많고 전부 맛좋네요. 재방문 의사 100%
정안정 본점,최준호,4.0,딱히 부족한게 없이 무난하게 맛있습니다.
정안정 본점,minjinna80,3.0,주차하기 편하고 밥먹기 괜찮음...순한맛 좋음~~~
정안정 본점,최만곤,5.0,"돼지갈비찜이 부드럽고 매콤한게 맛있어요.
포장도 깔끔하게 잘해줘서
집에서도 맛있게 먹었네요."
정안정 본점,Namhee Kim,5.0,돼지갈비 보다 소고기 추천
정안정 본점,李大元,4.0,소갈비찜을 중간맛으로 시켜먹었는데 그럭저럭 먹을만 합니다.  특별나게 맛있다는 느낌은 없었고 밑반찬이 푸짐하여 많이 남기게 되네요.
정안정 본점,캠핑카에사는남자,5.0,맛있어요 동인동 매운찜갈비 맛나용
정안정 본점,백철우,5.0,눈이 크게 떠지는 맛. 왜 이제서야 알았을까
정안정 본점,eunkyung Shin,4.0,맛있었어요.음식도 깔끔하게 잘나오구요. 제입맛엔 반찬이 쬐곰 짠편이었고..가격대가 자주 가기에는 조금 부담스럽다는거..ㅎㅎ 동인동 찜갈비는 추천합니다. 또 생각날것 같아요.
정안정 본점,hwasun chun (써니),5.0,"매운갈비찜 먹었는데 스트레소 해소에
정말좋아요  잡채도 맛있구요
라면사리  떡사리 넣어서 입가심 ^^
적극추천해요"
