place_id,user_id,score,comment
조선왕갈비,Hoon Kang,3.0,"삼겹살 130g 10500원, 200g 계산시 약 16000원돈이네요. 삼겹 시켰더니 뒷다리랑 맞닿은 부위가 섞여 나오네요. 맛은 괜찮았으나 이런면이 좀 맘에 안들었습니다. 돼지갈비는 맛은 평이합니다. 좀 단편이구요. 그냥 저냥 먹을만 한 가게 같습니다."
조선왕갈비,유성후,4.0,"갈비는 맛있고 찍어먹는 소스가 달콤합니다.
파저리가 양념이 좀 세서 짜더라고요.
그래도 삼산에서는 갈비는 이 집이 제일 나은거같아요.…"
조선왕갈비,Alex Kim,4.0,"대형 유료주차장을 바로 옆이라 주차가 아주 편하다. 식당 내부가 넓은 곳으로 회식 분위기에 안성맞춤이지 않을까.
한돈 갈비,한우 갈비다.삽겹살과 목살,갈매기살 등 여러가지 메뉴가 있다.
한 가지 종류 3인분으로 시작해야 한다.…"
조선왕갈비,박하나,4.0,"돼지갈비가 맛있네요
주차장은 바로 옆 가나주차장이 있는데 30분에 500원입니다 가게에서 주차비 1시간 주차비 지원해줍니다"
조선왕갈비,김지혜,5.0,직원도 친절하고 너무맛있게잘먹었음!
조선왕갈비,아리안스L,5.0,제입맛에는 짜지도 않고 밥도 방금 했는지 향이좋아 밥과고기가 쭉쭉 들어가네요
조선왕갈비,신율,4.0,주차 편하고 갈비 양 많고 완전 맛있음 냉면 살얼음 많이 줘서 시원하게 먹을만함 밑반찬은 손이 가거나 맛있는건 딱히 없지만 고기가 맛있으니까 상관 없었음 가게 깔끔하고 시설 편하고 사장님 부부?? 친절하고 기분좋음 또 가서 먹을 생각있음 ! 가족끼리 가서 그냥 기분 좋게 먹고 나왔음 !
조선왕갈비,Younghoon Kang,4.0,지인이랑한잔하기좋습니다
조선왕갈비,seungheon son,5.0,친절함 고기맛잇음
조선왕갈비,미르서,5.0,회식하기 좋습니다.친절하시고 식당고 크고 깔끔하고. 제일 중요한 고기가 좋습니다. 특히 숯이 너무 좋아 고기를 굽고나서 먹을때  불향이 잘 배여서 진짜 좋습니다.
조선왕갈비,ChangMin Eym,3.0,"정말 일반적인 갈비집입니다.
고기 드신 후 소면 없어요, 냉면보다는 된장찌개 및 김치찌개 드세요 ... 훠어얼쒼 맛나용 !!!
방은 별로 추천드리지 않습니다.
환기가 너무 안되요 ㅠㅡㅠ"
조선왕갈비,햇살의흔적,4.0,갈비맛이 좋네요. 고기를 자꾸 태워 먹어서 알바하시는분이 구워 주셨는데 최고였음~ 꼭 구워 달라고 하셔서 드셰요. 추천
조선왕갈비,이강훈,5.0,갈비 맛나요. 사장님 친절하시구요.
조선왕갈비,고봉수,5.0,돼지 갈비가 넘 맛있고 사장님과 사모님 넘 친절하세요
조선왕갈비,울산날개달자,5.0,"음식을내어주시는 분께서 참 친절하시고 음식도 맛있었어요
자주 이용해야겠어요"
조선왕갈비,이백억 (J Lee),5.0,내부 단체석 약 30인까지 가능. 단 모두 좌식이라 외국인은 불편해 함. 돼지갈비가 생갈비 보다 나은듯함
조선왕갈비,Cám ơn korea,3.0,일단 메뉴가 갈비지만 원산지 보니 목살이네요 이점이 가장아쉽고 직원들 친절은 최고입니다
