place_id,user_id,score,comment
주전백숙,고냥이,4.0,남편과  주말에 가끔 가는곳인데요~돌솥밥정식으로 생각하시면 되고요~반찬이 푸짐하게 나오지요~백숙요리는 한시간전에 예약하시면 되고 바닷가 앞이라 식사하시고 바람쐬기도 좋아요~근처에 커피숖들도 많이 들어서서 후식드시고 경치구경하기도 좋아요~~
주전백숙,B.G. P,2.0,바닷가에서 백숙 먹는다는 것 외에 어떤 것도 특별히 뛰어나지 않았어요.
주전백숙,SH Lee,5.0,"아.. 찐 맛집임.. 맛있어용
돌솥밥 정식 인당 12000원인데 돌솥밥에 각종 반찬, 감자랑 배추잎 들어간 된장국까지.. 넘 만족스러워요.
가자미구이 가자미 너무 통통하고 바삭하니 잘 구워졌고,…"
주전백숙,klHan,5.0,상당히 찬절합니다. 맛!! 돈 값 합니다. 양!! 푸짐 합니다. 다만 식사 시간에는 예약이 필수이며 백숙 기준 약 3인분으로 생각하시면 되겠습니다. 상차림에 음시값까지 생각해도 저렴하다 생각 됩니다.
주전백숙,쵝오타,5.0,금액이 저렴한건 아니지만 만족스러운 식사를 했습니다. 매번 돌솥밥만 먹었는데 백숙도 먹어 봐야겠네요.
주전백숙,Sue Park,4.0,열무김치가 매우맛있어 포장도 하곤합니다. 평일에 매우 한가하며 음식도 맛있음. 반려견을 데려간다면 옆에 공터가 잇어서 둘수도있음.
주전백숙,망고의 일상(ojoung),5.0,좋아요~~~반찬 가지수가 뚝배기밥만 반찬이 많아요.참고하세요.
주전백숙,백증현,1.0,"오랫만에  갔는데  새로 리몰딩해서
새로운 느낌  새로운  식당으로
변했는 느낌임니다"
주전백숙,권여사,4.0,"닭도리탕 예약했는데 백숙이 나왔음.
죄송하다고 해서 실랭이하고 싶지않아서 그냥 먹었음. 닭도리탕이 맛있는뎅.. ."
주전백숙,플라잉스퍼,5.0,반찬도 좋고 오리고기도 맛있고 경치도 좋아요.추천
주전백숙,seri song,5.0,전복장부터 간장게장 및 모든 찬이 간간하고 손이 가게 맛이 있다 가자미구이 고추삭힘 무친 것 메가리 조림에 쌈까지 푸짐하다 백숙은 안 먹어 봤지만 추측컨데 전 메뉴가 훌륭할 듯 주차도 수월하다 집 앞이면 매주 가고싶은 식당이다
