place_id,user_id,score,comment
찜마루,Seunghee ryu,5.0,"울산에 볼일있어 갓다가 지인이 추천하준 찜집으로 go~!
주문은 해물찜 대!!!
지인이 먹는걸 좋아하셔서 기대기대~^^…"
찜마루,아주 개인적인 리뷰,4.0,"또 방문하여 해물찜 대자!!
중간맛을 주문했습니다
정말 맛있어요 꼭 드셔보세요!!"
찜마루,Ethan Park (kibum),4.0,음식도 괜찮고 룸이 따로 있어서 식사하기 괜찮았네요 개인적으론 살짝 간이 쎄긴 했어요
찜마루,이효진,5.0,"음식 나오기전 ㅎㅎ
한잔하고 밥먹기 딱좋아요
룸으로 예약하시면 독립되고 넓은공간 지인이랑 담소나누기 좋아요"
찜마루,김도경 (シュンジ),5.0,모임으로 참여하기 좋은 장소
찜마루,아동머리,5.0,이 가격에 이런 양이? 그런데 맛도 있다니. 덜 자극적이고 건강한 밑반찬
찜마루,울산천사,5.0,한달만에 4번정도갔는데 괜찮아요^
찜마루,하경주,4.0,"분위기조코
음식도조코
주차시설이조금부족"
찜마루,J.H J.H,5.0,"요즘 같은 물가에 양많고 맛나고 2명 소자 사이즈 너무많이 남아 포장해 왔어요.
다음날까지 맛나게 먹었습니다."
찜마루,난따리,4.0,"비리지안고 맛있네요
친절합니다"
찜마루,Sang Kim,4.0,깔끔한 맛 맞있게 잘 먹었습니다
찜마루,홍경용 (꼬마신랑),4.0,"가족모임, 회식 장소로 추천..."
찜마루,쮸니쮸,4.0,"가격대비 양도 많고 룸이 많아서 예약안해도 룸사용가능, 반찬도 그럭저럭 나쁘지 않음~동네 찜치고는 나쁘지 않지만, 찾아와서 먹을정도는 아님 특히나 호불호 갈릴게 양념특유의 끝맛이 탄맛비슷한 맛이남ㅠㅠ 저번에도 먹었을때 그렇게 느꼈는데 이번에도 그런걸보면 이집특유의 양념 맛인듯ㅠㅠ 그것빼곤 가까운맛에 양도 많고 반찬나오는 것도 나쁘지 않아서 장사가 잘되는듯ㅎㅎ"
찜마루,나홀로,4.0,해물찜맛이 좋으네요 음식도 깨끗하니 다른음식도 먹어봐야 겠네요 가족단위 연인사이 방이있어 조용한분위기에서 맛본것같네요
찜마루,김수은,5.0,대구뽈찜 s  2인이 먹기에는 조금많았어요.가격은 3만원이었어요.매콤하고 맛있었고요.밑반찬들도 정갈하니좋았습니다.추전드립니다.
찜마루,양은희,5.0,가격도 착하고 양도많고 맛도있고 무엇보다 룸이 많아 방문을 닫고 먹을수 있으니 코로나도 걱정없어요 다만 리뷰를 일케 쓰면 사람들이 몰려올까봐 걱정 되네요~^^ㅎ
찜마루,어윤수 (어공),5.0,"우선 화장실  상태가 깔끔하여 음식주문전에 기분이 상쾌.
아구탕을 주문,  아주 정갈하고 맛있어서 절로 웃음을 머금고 밥뚜껑을 열었더니 잡곡밥이 아주 풍성해서 시장기를 채우면서 같이 간 아내와 즐겁게 점심을 들었다.…"
찜마루,mg kim德昊,4.0,특히 해물모듬찜이 진또배기 입니다.
찜마루,나마스테,5.0,"적당한매운맛의 해물찜 강추.
냉동 재료가 아닌 생물로 부드럽고,쫄깃한 식감,짜지도 싱겁지도 않은 소스의 감칠맛은 다시 방문하고 싶을 정도.테이크아웃도 가능해서 싸가지고옴."
찜마루,아리스00,4.0,"울산금방 찜요리집을 많이다녀봤는데
이곳이 제일 괜찮았습니다
양이푸짐해서 제일 좋았고 정…"
찜마루,임영수,5.0,"순하고 맛있다.
탄수화물(밥)없이 먹어도
맛있다."
찜마루,hakuna matata,5.0,"전복해물뚝배기 13,000원
전복, 꽃게, 새우, 동태, 미더덕, 콩나물...
국물이 시원하다.…"
찜마루,김김명희,5.0,"해물이 신선하고 질기지않아요
밑반찬이 간이 딱맞고 먹으면 맛나요~"
찜마루,보노보노,4.0,"첨가본곳인데 친구가 추천해줘서 먹은곳인데
방이 많아 좋았습니다 맛도 괜찮았던거 같네요"
찜마루,이승윤,5.0,반찬 가지수도 많고 깔끔하게 잘나와요 간도 짜지않고 양도많아요
찜마루,고영숙,5.0,음식도 깔끔하고  대화하기도 좋구요 맛도 있습니다
찜마루,한바다,4.0,맛있는 해물 찜집이었어요 그런데 밥을 뽂아주는데  우리가 직접 뽁는것보다 맛이 없음
찜마루,이동훈,5.0,울산에서도 맛집이라고 소문이 나 있으며 주차공간 및 사전예약도 가능하고 찜 종류로는 맵기도 조절가능합니다.
찜마루,한태영,3.0,갈비찜이랑 아구찜을 먹었다 갈비찜은 고기가 너무 딱딱했다 좀 더 부드러워 쓰면 한다 아구찜은 고기가 너무 많고 콩나물이 적었다
찜마루,김동환,4.0,"매운맛이 은근히 올라옴
입에서 매운 맛이 아니라 위장에서도 매운 맛을 느끼지 못하나 온몸으로 매운 맛을 느낄수 있음"
찜마루,정주석,3.0,"깔끔하게 잘나오네요 호불호가 갈릴듯~......,"
찜마루,이스타트,3.0,"갈비찜 중 보통맛
그냥 그저 그럼 되게 맛있진 않지만 괜찮은편
고기가 질기지 않고 부드러운건 좋음"
찜마루,박보민,4.0,"갈비찜 맛나요!
냉면이 없어서 조금 아쉬웠지만 흑미밥도 찰져서 좋았어요!"
찜마루,최병훈,5.0,음식이 맛있는데 양도많음
찜마루,정완교,1.0,다른 메뉴는 그런데로 괞찮은데 아구수육은 별로 입니다.
찜마루,이만평,5.0,음식도 맛있고 시설 굿입니다.
찜마루,Yujin Jeon,5.0,찜하면 찜마루 너무 맛있어요
찜마루,홍화이,5.0,음식이깔금하게나와요ㆍ종업은도친절하고
찜마루,한베짱이,5.0,직원분도 친절하시고 갈비찜도 맛있어요~~
찜마루,채경란,5.0,"맛있고 깔끔합니다
고급스러운 느낌?"
찜마루,다이나믹K,5.0,맛있습니다
찜마루,my car,4.0,음식 맞 괜찮고요. 음식 양도 괜찮은것 같아요.
찜마루,정진수,3.0,작은 룸이 있어서 모임으로 식사하기에는 좋으나 반찬이 부실하고 찜 자체도 그저 그럼
찜마루,임마누엘북구교회,5.0,"편안함과
맛이있어서
너무좋아요."
찜마루,이글아이,5.0,해물찜 맛있게 잘먹었어요~
찜마루,란's,5.0,점심 특선 동태매운탕  대박  가격도 맛도
찜마루,오도영,4.0,갈비찜이랑 아구찜 맛있어요
찜마루,김희조,4.0,맛있는 집은 아니지만 모임장소로 괜찮은듯
찜마루,Hyeongseo Koo,4.0,너무 맛있어서 추천하기 꺼려짐..
찜마루,페트라,3.0,음~~ 사장님이친절했어요
찜마루,KEUNSEOK H,5.0,음식맛 고기맛 잘 몰라도 불호없는 찜 !
찜마루,SH Lee,5.0,단골인데 먹을만하고 괜찮아요
찜마루,박경수,5.0,모듬찜 맛나네요ㅎㅎ꼭 볶아드세요
찜마루,루나Luna,3.0,맛은 보통. 독립적인 공간은 좋음
찜마루,조장호,4.0,맛나요.갈비찜도최고!
찜마루,혜은,5.0,점심특선따로있어요
찜마루,김종훈,2.0,찜 맛이 그다지 좋지않아요
찜마루,황동규,5.0,울산 명촌 찜갈비 맛집입니다~~
찜마루,쾌산당,4.0,음식으로스트레스를 해소~~~
찜마루,윤미경,4.0,깔끔하구 맛있어요.
찜마루,김js,5.0,음식이 정갈하고 맛있음
찜마루,최철호,3.0,개인적 으로는 중간 정도에요
찜마루,박정희,5.0,깔끔담백가성비갑
찜마루,윤일우,5.0,"맛
분위기
친절 조아요"
찜마루,LAPICCOLA,5.0,맛있습니다
찜마루,M하늘처럼,5.0,정갈한 반찬이 최고다
찜마루,강인순,5.0,맛있어요~~^^
찜마루,수리수리마하수리,2.0,그냥저냥 .배고픔을 달래줘요.
찜마루,하석주,5.0,맛있어요~
찜마루,3brother,3.0,친절 맛은호불호있음
찜마루,김동찬,4.0,해물찜 전문점
찜마루,김숙자,5.0,맛있어요
찜마루,호성전,4.0,추천요~~^^
찜마루,김충식,3.0,맛있습니다~^^
찜마루,김홍규,5.0,
찜마루,정종윤,5.0,아주 좋아요
찜마루,Hi-Tech Corp. 153 (일오삼하이테크),3.0,별로
찜마루,박상렬,4.0,강추
찜마루,김원식,4.0,보통입니다
찜마루,이상태,3.0,보통입니다
찜마루,이제승,5.0,좋아요
찜마루,굿,5.0,해물찜 대박
찜마루,경민,5.0,맛낫어요
찜마루,이정철,2.0,맛없듣디
찜마루,Kyoungsoo Park,1.0,맛없음
찜마루,한동균,4.0,해물찜
찜마루,오보륜,4.0,"밑반찬이 정갈하고, 살짝 단맛이 많음. 맛있음
찜은 맵지 않은 순한맛으로 노인이나 어린이들도 함께 먹기 부담없는 맛
점심특선이 여러가지 있어 좋음"
찜마루,이승희,4.0,
찜마루,이택구,4.0,
찜마루,김정원,3.0,
찜마루,조정희,5.0,
찜마루,Piljae Kim,3.0,
찜마루,강하석,5.0,
찜마루,임선경 (울산카돌),4.0,
찜마루,손성진,5.0,
찜마루,한승우,5.0,
찜마루,Suwako,5.0,
찜마루,눈뜨면 오후(눈뜨면 오후),3.0,
찜마루,스카이,5.0,
찜마루,꿈꾸는레타,3.0,
찜마루,영희채송화울산,5.0,
찜마루,스워,4.0,
찜마루,최춘식,3.0,
찜마루,TERMINATOR 2,4.0,
찜마루,이동훈,4.0,
찜마루,조선여,4.0,
찜마루,KIM권일 (늘푸름),4.0,
찜마루,정재현,5.0,
찜마루,ojae kwon (ojae road),3.0,
찜마루,가수오재식tv 울산시내버스18년 무사고승무원,2.0,
찜마루,SY Kang,3.0,
찜마루,박현우,2.0,
찜마루,호위토우,4.0,
찜마루,임성현,5.0,
찜마루,쿠파,3.0,
찜마루,박혜원,4.0,
찜마루,Tv낚시 (낚시갈래용),5.0,
찜마루,하늘나비,3.0,
찜마루,김병곤,3.0,
찜마루,이옥련,3.0,
찜마루,Eunji Park,5.0,
찜마루,황태연,3.0,
찜마루,이상헌,5.0,
찜마루,이태호,5.0,
찜마루,비비,5.0,
찜마루,천병수,1.0,
찜마루,오병감,5.0,
찜마루,김복기,3.0,
찜마루,신의손,4.0,
찜마루,Do Heun Kim,5.0,
찜마루,yunsam kim,5.0,
찜마루,김은희,5.0,
