place_id,user_id,score,comment
촌놈밥집,U2Y업투유,3.0,"쏘쏘 엄청 맛있지도 엄청 맛없지도 않은 그런 밥집
근데 밥은 많이 먹게 되는 아이러니한 상황 😮…"
촌놈밥집,123,4.0,고등어+짜글이 굿 맛있습니다.
촌놈밥집,guy electric,3.0,슝늉도 있고 고소하지는 않네요. 세트메뉴는 2인분 이상이어야 가능하고요. 좀 불편하네요. 고등어구이는 괜찮은 편이지만 짜글이는 별로이고요. 매워서 무슨 맛인지 몰라요. 반찬은 보통이고요. 종업원 친절도도 보통이네요. 그래서 보통임 별3개
촌놈밥집,Kang chan,5.0,맛도 좋고 포장한 꼬막비빔밥 정말 맛있었네요
촌놈밥집,박지현,5.0,가성비 괜찮은 식당입니다. 찌개류는 전반적으로 슴슴하게 나오니 참고바랍니다.
촌놈밥집,설탕공장,5.0,짜글이+고등어 세뚜 맛있어요~
촌놈밥집,choi joonghan,3.0,한끼  식사하기에는 괜찮아요
촌놈밥집,cogns_474,5.0,갈때마다 맛있게 먹습니다.
촌놈밥집,김진호,4.0,고등어정식 맛나요 고등어구이와 된장찌개 굿
촌놈밥집,JOOWON HAM,5.0,완전 맛있네요^^
촌놈밥집,조주연,5.0,가성비 좋은 식당입니다
촌놈밥집,Do Hyung Kim,5.0,오랜만에 갔는데 후..  여전히 맛있음
촌놈밥집,싱싱맨,1.0,손님이 많아서 인지 여하튼 별점은 빵입니다
촌놈밥집,배차영,1.0,음식도 음식같아야지  완전  돈아까움
촌놈밥집,조지원,5.0,괜츈하네요 맛있게 잘먹었고 음식도 맛있었지만 이가게는 손님도 직원분도 서로 예의바르고 매너가 있으셔서 혼자 밥먹으면서 혼자 미소지었네요 ㅋㅋ
촌놈밥집,Somin Kang,4.0,아주머니 친절하시구 고등어구이랑 된장찌개가 맛있어요! 다만 두루치기 고기양이나 김치찜은 쪼금 아쉬웠어요
촌놈밥집,송성훈,5.0,집밥먹은것 같아서 좋았어요
촌놈밥집,이지윤,4.0,가격도 저렴하고 좋은데 갈비찜이 국물이 흥건하니 찜이 아니고 거의소불고기네요
촌놈밥집,소담이 (소담이),2.0,고등어구이는 먹을한대 된장찌개는 너무싱겁고 두루치기는 너무얇고 양도적고 야채만가득. 더욱이 너무 늦게나옴.
촌놈밥집,공주,3.0,"한끼식사로~ 술한잔하기로~ 괜찮아요
먹을만해요~ 근데 두루치기? 그건 .... 힝
돼지 누린내 너무 많이 나서 같이먹었던 4인…"
촌놈밥집,백미현,4.0,"고등어구이가 먹고싶을때 촌놈모둠세트시키면 고등어구이 주물럭 찌개가 세트로 맛있습니다.
점심엔 손님 항상많아요."
촌놈밥집,김영욱,4.0,구이도 정말  맛나고 친절하셨습니다..근데 고등어크기에 비에 가격이 좀 있네요
촌놈밥집,김대성,5.0,일단 모든 반찬이 깔끔하고 짜글이랑 고등어구이 너무 맛있네요
촌놈밥집,김은정,1.0,왜..얻어먹으러 온듯한지..좀더 친절하게 응대해주시면 좋겠어요.
촌놈밥집,비상(s020300),5.0,올 만에 가성비 좋은 한식집 정갈하고 맛있네요
촌놈밥집,인주리대장,2.0,체인점인지는 모르겠으나 다른 촌놈식당가는게....좋을것같습니다. 11시 전에 밥 먹을 때가 없어서 차 타고 갔는데 식사하시면서 욕하고 단어 선정이 안 좋은 사람들 너무 많았음 주변을 둘러보니 아 그런 동네구나 할 겁니다ㅡ
촌놈밥집,한뀨뀨,5.0,집밥먹고싶을때  방문하면  좋습니다 ㅎ 24시간  영업하는듯
촌놈밥집,KP,4.0,"짜글이와 고등어구이 일품입니다
막걸리는 경주법주 막걸리만 있어요"
촌놈밥집,nic aar,5.0,Grilled mackerel fish 🐟 was delicious. 맛있습니다 강추합니다…
촌놈밥집,김경구,3.0,보통맛~
촌놈밥집,hyounggyu choi,4.0,여러가지를 한번에 막어서 좋있아여
촌놈밥집,ED KIM,5.0,가성비좋네요 고등어구이 꼭 드세요
촌놈밥집,HY,4.0,한끼로 비싸다고 생각할수 있지만 다양하게 든든하게 맛있게 먹을수있다.
촌놈밥집,choi jerry,5.0,묵은지가 끝내줍니다. 24시간이라 밤늦게도 식사가능!
촌놈밥집,singki kim,1.0,세무서앞에 있는 촌놈밥집 이 더 나음.
촌놈밥집,은딩천사,3.0,"짜글이 먹엇고 계란말이 먹엇습니다
짜글이 맛잇엇고 계란말이삼산 햇는데 밥이.조금 쉰내 나서 아쉬웟어요"
촌놈밥집,죽마고우동일,4.0,저렴한 가격에 비해 맛이 있었어요
촌놈밥집,Youngdo Heo,5.0,고등어 구이 최고!!
촌놈밥집,S,4.0,짜글이와 고등어 구이가 맛있는곳 이에요.
촌놈밥집,고봉수,4.0,고등어가 넘 맛있어요
촌놈밥집,Siri Jean,2.0,예전보다 맛이 덜해진 느낌
촌놈밥집,장봉재,1.0,두번은 안가요
촌놈밥집,자동설비(Leesangjin),5.0,생선구이가 맛있음.!!
촌놈밥집,김재윤,1.0,된장이너무 짜요
촌놈밥집,김종학,5.0,정말고향맛을 느끼고 싶은분은 방문해보세요
촌놈밥집,sw lee,5.0,고등어구이 먹으러 갑니다
촌놈밥집,Hyeokje Cha,5.0,고등어구이 두루치기 맛나요
촌놈밥집,조정배,5.0,고등어 구이가 일품입니다
촌놈밥집,엄태준,4.0,늦은시간에 가면 시끄러운사람들 많다
촌놈밥집,Ji hun Shin,4.0,고등어구이 좋숩니다
촌놈밥집,딩딩딩아,4.0,"한 끼 식사로,나쁘지 않았어요 !"
촌놈밥집,우정완,5.0,맛집 맛납니다 ㅎㅎ
촌놈밥집,JEA YOUNG HEO (blue),3.0,삼산점 첫방문 풍성한 한상
촌놈밥집,Jongan Kim,2.0,그닥
촌놈밥집,이나옹스,3.0,보통
촌놈밥집,젊은이,3.0,쏘쏘
촌놈밥집,이종석,5.0,강추..세트메뉴
촌놈밥집,Eoryeong Yang,1.0,쓰레기 음식
촌놈밥집,최선기,5.0,여기 진짜 좋다
촌놈밥집,Minsu Jung (BaDaNaRa),3.0,울산 점심
촌놈밥집,권용민,1.0,맛없음
촌놈밥집,오현성,5.0,굿...밥집
촌놈밥집,JOSHUA,5.0,굿굿굿
촌놈밥집,강태욱,4.0,괜춘. 깔끔함
촌놈밥집,박상현,4.0,촌놈들만 가는 밥집
촌놈밥집,신수,1.0,호불호
촌놈밥집,강민아,3.0,그냥저냥
촌놈밥집,G JAMES,3.0,맛있어
촌놈밥집,Sagynysh Omirgali,5.0,생선살이 엄청 부드럽고 맛있어요 👍👍👍
촌놈밥집,유태양 (Ryu Taeyang),5.0,
촌놈밥집,ben hur,4.0,
촌놈밥집,희망찬대한민국을 위하여,4.0,
촌놈밥집,권오경,3.0,
촌놈밥집,정광락 (어쭈오리),3.0,
촌놈밥집,ho taek Jeong,3.0,
촌놈밥집,이채민,5.0,
촌놈밥집,김승옥,1.0,
촌놈밥집,위성재,4.0,
촌놈밥집,Jae Hoon Chung,4.0,
촌놈밥집,Bryan Jeong,5.0,
촌놈밥집,정정성민,5.0,
촌놈밥집,서지원,4.0,
촌놈밥집,염정호,5.0,
촌놈밥집,임근택,5.0,
촌놈밥집,Co Coco,5.0,
촌놈밥집,이경수,5.0,
촌놈밥집,Siok Jeoung,4.0,
촌놈밥집,안성용,3.0,
촌놈밥집,공진영,3.0,
촌놈밥집,전혜용,2.0,
촌놈밥집,daejin kim,1.0,
촌놈밥집,집앞텃밭,5.0,
촌놈밥집,김익환,4.0,
촌놈밥집,JS J,4.0,
촌놈밥집,이성환,4.0,
촌놈밥집,이찬우,4.0,
촌놈밥집,Daeguen Lim,4.0,
촌놈밥집,조문희,2.0,
촌놈밥집,무언,5.0,
촌놈밥집,박영희,5.0,
촌놈밥집,쭈야.,5.0,
촌놈밥집,김후성,4.0,
촌놈밥집,이진일,5.0,
촌놈밥집,김종헌,5.0,
촌놈밥집,에오,5.0,
촌놈밥집,권재식,2.0,
촌놈밥집,Wonhyun Park,4.0,
촌놈밥집,SE AH YUN,3.0,
촌놈밥집,최종건,4.0,
촌놈밥집,이찬승,3.0,
촌놈밥집,이병학,5.0,
촌놈밥집,김더건,4.0,
촌놈밥집,hj k,5.0,
촌놈밥집,Gs Youn,4.0,
촌놈밥집,서만기,5.0,
촌놈밥집,yb j,5.0,
촌놈밥집,이희응,2.0,
촌놈밥집,oung Y,4.0,
촌놈밥집,최경열,5.0,
촌놈밥집,최재영,4.0,
촌놈밥집,김혜미,3.0,
촌놈밥집,구씨구본웅,5.0,
촌놈밥집,HM Kim,3.0,
촌놈밥집,이상혁,4.0,
촌놈밥집,김성규,5.0,
촌놈밥집,Baramdori in to the Wild,4.0,
촌놈밥집,김현민,5.0,고등어 최고입니다
촌놈밥집,B,4.0,
촌놈밥집,맛있는거,2.0,인테리어가 마음에 들었어요! 하지만 짜글이와 꼬막비빔밥 먹었는데 조금 아쉬웠습니다
촌놈밥집,아담,5.0,고등어 진짜 맛있다
촌놈밥집,유후,5.0,와 우 . 기대 이상
촌놈밥집,요쟁,5.0,고등어구이랑 짜글이 맛있어요
