place_id,user_id,score,comment
촌당 3호점,A CHOI,3.0,"직원분들 친절하시고 고기도 괜찮았어요.
육회가 맛 있었어요. 꽃등심은 쏘쏘? 꽃등심치고 두께가 조금 얇은 편입니다. 초장값 따로 6천인거치곤 반찬 종류가 다양하진않아요.
양념갈비 양 많이 주십니다. 주차장 넓어서 좋네요. 회식하기 좋은 장소입니다."
촌당 3호점,김지선,5.0,점심시간에는 사람이 많지만 주차 공간 넉넉하고 육회비빔밥이 맛있음. 육회비빔밥 시키면 된찌도 주고 후식으로 식회도 주는데 달달하고 맛있음. 직원들이 친절함.
촌당 3호점,권미정,4.0,고기의 품질이 일관성이 없다는 생각이 듭니다 밑반찬 맛있고 된장찌개도 괜찮습니다
촌당 3호점,이옥규,5.0,"고기 맛있고 찌개도 맛있음.
울산대에서 회식 자주하는듯"
촌당 3호점,정강,5.0,단골입니다. 식당직원들이 친절 항상웃는얼굴로 맞이합니다. 메뉴 다 맛있고요.
촌당 3호점,쿠킹아트,5.0,"처음간곳  맛있어요~  육회비빔밥보다는 소고기국밥? 이 더 맛있는집..,"
촌당 3호점,오현경,1.0,"맛은 괜찮습니다.
그런데 다시찾으면 않될 곳이죠.
식사를 마치고 계산한 시간이 20시 15분 영업시간 종료가 1시간 50분이나 남았는데도 불구하고 손심이 식사를 하고 있는중에 온갖 청소를 하시고…"
촌당 3호점,GY K,5.0,소고기 집중에 울과대 근처에서 제일 맛있는거 같아요
촌당 3호점,Daiz da,5.0,"생삼겹살쌈밥정식 강추합니다.
고기도 맛있고 밑반찬, 찌개 등 다 맛있어요.
주차장도 넓고 후식도 주시고 직원분들도 친절하시고 좋았습니다. 많이 파세요~"
촌당 3호점,Alex Kim,4.0,"본점은 수암시장내에 있고, 이곳은 분점이다.
2층으로되어 있어 넓고 전용주차장도 수십대를 주차할 수 있다.
고기등급은 1+ 등급이다. 여러부위를 판매하고 있지만 가격에 비해 맛은 떨어진다.…"
촌당 3호점,바성이바,4.0,친절했음ㅈ맞있고
촌당 3호점,JUNG HWAN YOON,4.0,전골 구이 다 맛있습니다.. 나물류 많아서 건강식
촌당 3호점,강은경,4.0,주차장 넓어서 좋았고 고기맛도 다른 밑반찬도 깔끔하고 맛있어요
촌당 3호점,JunPhy Gu,4.0,맛있고 친절하고 가격은 싸지는 않지만 적당해요
