place_id,user_id,score,comment
칠성양곱창,정소리,5.0,"울산 3대곱창집이라더니.. 특양이 진짜 너무 담백했다. 밑반찬 또한 찐맛집!! 미역국 리필에 각종 반찬 전부 리필함....
꽃게된장찌개도 너무 맛있었다!! 평상시에 줄서는데 운좋게 안서서 먹음!!
구이주문은 2인기준 대창2인분 특양 2인분 좋아요 👍…"
칠성양곱창,Ball Homerun (홈넌볼),4.0,주차할 곳이 열악하지만 새로운 양곱창의 맛(후추 듬뿍)을 느낄 수 있었음. 생김새만 보면 왠지 볶음밥을 먹을 수 있을 것 같지만 볶음밥이 따로 메뉴에 있지는 않으며 공기밥을 주문하여 기존에 먹다가 남은 곱창+기름 그리고 기본으로 제공되는 반찬(콩나물무침+김치)를 같이 볶아서 먹으면 볶음밥이 된다. 또한 기본 제공되는 미역국이 곱창 자체의 기름진 맛을 상충시켜주며 소주 한잔하기에 좋은 안주로 거듭나게 된다. 일 하시는 이모님들이 친절하시다.
칠성양곱창,이상호,3.0,양곱창 맛있습니다. 양곱창 먹고 싶을때 찾으면 좋을 것 같습니다. 특히 전골이 맛있었는데 아쉬운점은 다른 양곱창집과 특별히 다른 맛은 없었다.
칠성양곱창,JK lee (JK),4.0,맛있는 곱창집. 주차장이 없음.
칠성양곱창,circle,4.0,반찬도 그렇고 곱창구이도 그렇고 음식이 좀 짜요. 응대는 친절함.
칠성양곱창,Jonghoon Jeong,5.0,"가격대가 좀 있지만 양곱창 맛있음
된장찌개 강추함"
칠성양곱창,chin천을귀인,3.0,오랫만에 왔는데 전골 맛이 달라져서 아쉽네요 ㅠ
칠성양곱창,534 cᅢ,3.0,"맛: 3
서비스: 5
청결: 4"
칠성양곱창,오서방,5.0,양곱창전골 먹었는데 국물 진하고 맛있네요. 자꾸 생각 납니다
칠성양곱창,Karma Baek,4.0,"다좋은데 곱창전골이 뭔가하나 살짝 빠진듯한 느낌
제입맛엔 글랬는데 다들 잘드셨음"
칠성양곱창,Pablo _,5.0,말이필요없는곳이죠 ㅎㅎ
칠성양곱창,또잉,5.0,"울산에 있는 양곱창 중에 여기가 젤 맛있어요!! 또먹고싶음.... 😢
사장님도 친절하시구 좋아요.
단점이라면 주차가 힘든 점…"
칠성양곱창,HYUNA IM,4.0,"기름지지만 맛있습니다.
곱창전골은 맛이 조금 아쉽네요."
칠성양곱창,WY jeong,4.0,호불호가 있을듯 하지만 양대창을 좋아한다면 한번 먹어볼만한 곳
칠성양곱창,yoo n,4.0,양이 가격대비 적으나... 맛이 다른곱창집에 비해 특별하고 맛있음 직원분들 친절하며 피크타임에 대기시간이 있음
칠성양곱창,깐따삐야MF,5.0,맛있었어요!)
칠성양곱창,은딩천사,5.0,"부산사람인데 칠성 양곱창은 참기름하고 후추 하고 등등
부산이랑 다르더라구요 부산은 구워먹는다라 생각되고
여기는 볶아 먹는다 라고 생각 라시면 될듯요
이모님들이 알아서 조리해주시니 간편하게 먹엇습니다."
칠성양곱창,beee,4.0,주차시설만 아니면 5점인데 주차시설이 없어서 매번 힘들지만 그걸 감안하고서라도 가서 먹고싶을 정도로 맛있는 집임.
칠성양곱창,황종식,5.0,칠성양곱창을 오래전부터 다니고 있는데 먹을 때마다 늘 맛나요.
칠성양곱창,트레비C TreviC,3.0,오래된 양곱창집으로 촉촉한 양의 맛은 소주한잔하기 딱좋은곳 가족모임 보다는 회식자리가 많은곳
칠성양곱창,이정환,4.0,"울산 3대 곱창집 중 하나
곱창이 판에 늘러붙지 않도록 고추로 구멍을 막아 기름 위에 굽다가 어느 정도 곱창이 구워지면 구멍을 막아놨던 고추를 제거하여 기름을 빼준다. 김치, 콩나물도 같이 제공되어 다 익은 곱창을 절반 쯤 먹은 후 투하해 볶아 먹으면 레알 꿀맛 보장.…"
칠성양곱창,SO YEON YUK,4.0,맛있어요 기존에 먹던 양곱창이랑 다른데  간이 잘된 양곱창을 먹는기분 ㅋㅋ
칠성양곱창,김수연,5.0,다른곳에 비해  가격도  괜찮고  직원들이  엄청 친절함. 구이도  맛나고  전골도  정말 맛있었어요
칠성양곱창,장준하,4.0,양곱창구이하고곱창전골먹었는데준내맛있었어요이모님들도친절했음근데전골이너무매워서-1점
칠성양곱창,김현영,4.0,맛있어요!
칠성양곱창,쩡희,4.0,"대창이 더 비싼데 대창보다는 양곱창을 추천드리며 된장찌개가 맛납니다
둘이서 먹을땐 가성비 좋진않습니다"
칠성양곱창,daechun Jeong,4.0,"칠성양곱창, 울산에선 젤 나은 것 같다..
울산에 신정양곱창, 울산양곱창이 있지만 곱창 고유맛에 가장 가까운곳은 바로 여기 칠성양곱창같다
사진은 다음기회에 찍어 올리겠음.."
칠성양곱창,엄정오,3.0,"고객에대한스비스
좀더신경필요
맛은최고"
칠성양곱창,Seungyoul Han (여천천걷기),5.0,"맛있네요.
추석 끝의 연휴인데도 사람이 제법 있군요."
칠성양곱창,최창수,5.0,양곱창 맛이 끝내줍니다. 동료와의 회식이나 가족과의 식사 장소로 좋은 장소입니다.
칠성양곱창,김덕원,5.0,"항상 친절하고 맛있는 집입니다..
강추"
칠성양곱창,김중국,2.0,"맛은 좋으나, 직원들이 불친절하고 주문을 유도하는게 싫음."
칠성양곱창,김태동,5.0,오래된 양곱창 맛집  정감넘치고 술맛좋아요~
칠성양곱창,신숙범,5.0,꼭 한번 먹어  보세요 짱
칠성양곱창,Chang Hwa Jung,4.0,맛있고 좋은데 5인분 부터 시작해서 가격이 좀 비싸요..
칠성양곱창,뚱지,4.0,밑반찬 깔끔하고 괜찮음
칠성양곱창,서재철,4.0,맛남. 주차공간이 없어 아쉬움
칠성양곱창,정선미,5.0,양곱창이 고소하고 감칠맛이 났어요~좋아용^^
칠성양곱창,현나,4.0,굿굿 맛잇어여ㅋ
칠성양곱창,김민호,4.0,언제가도 같은음식과 친절한 서비스
칠성양곱창,이태영,3.0,곱창집들중에서 맛은좋으나 위생이 다소신경쓰인다
칠성양곱창,기대섭,4.0,대창의 참맛을 느낄수 있어요
칠성양곱창,c데이지,5.0,가격은 사악하지만 맛은 후회없다
칠성양곱창,신엣지,4.0,"적당한 가격, 적당한 맛, 구이 양이 좀 줄은듯"
칠성양곱창,홍동완,4.0,먹을만하네요
칠성양곱창,민설희,5.0,항상 가는집입니다^^
칠성양곱창,홍재흥,3.0,양이 많이 줄었고 가격대가 적정 수준은 아님
칠성양곱창,박주현,5.0,가성비좋네요.맛있어요
칠성양곱창,박영철,4.0,메인요리 포함. 전체적인 음식이 잘 나옴!!
칠성양곱창,이맹꽁,5.0,넘맛있다 헉헉 두번가고싶다
칠성양곱창,SG “yunifafa” KANG,5.0,색다른 양념을 즐길수 있는곳.
칠성양곱창,jd moon,4.0,"가성비갑
맛도갑
멋진곱창집"
칠성양곱창,Chansuck Lee,4.0,약간 비싸지만 좋은 양곱창집
칠성양곱창,김호,5.0,맛있습니다. 오래되었습니다.
칠성양곱창,조영식,4.0,고소한 곱창 & 꽃게 된장찌개 굿~~
칠성양곱창,김준형,3.0,오래된 가게로서 곱창 대창 맛있습니다 주차불편
칠성양곱창,임종석,4.0,가격좋고 맛있네요.
칠성양곱창,군밤장수,4.0,맛있어요 양도 푸짐하고
칠성양곱창,최은호 (루시퍼),3.0,한잔 하기엔 좋아요
칠성양곱창,양애숙,5.0,너무 맛나고 신났어요~~♡♡♡
칠성양곱창,awesome,4.0,곱창구이가 없는게 아쉬움. 양념되어져서 나옴
칠성양곱창,꽃밭,5.0,"안가본 사람은 있지만
한 번 간사람은 없는 바로 그집!!!!"
칠성양곱창,김미현,1.0,양도 적고 맛도 그냥저냥 ㅡㅡㅡㅡ가격대비별로
칠성양곱창,김홍윤,5.0,직접 드셔보시면 알수 있습니다.
칠성양곱창,이승룡,5.0,굿
칠성양곱창,문선남 (소셜디자이너),5.0,맛난 집으로 유명한데요. 여전히
칠성양곱창,Yong-Jae Kim,5.0,사람들도 많고 맛있었음
칠성양곱창,choi jerry,5.0,저녁에 자리없어요
칠성양곱창,윤영주,4.0,대창.곱창을 잘 먹게 해준계기가 된집
칠성양곱창,최현영,1.0,너무 느끼 특양만 시키라고 강요
칠성양곱창,김희수,2.0,맛있었는데...왜 변한것같죠??
칠성양곱창,Young Han Lee,4.0,곱창전골이 끝내주는 집입니다.
칠성양곱창,임홍순,5.0,쵝오
칠성양곱창,이진화,4.0,7시는 피해서 쪼매 늦게 가자~~  ^^
칠성양곱창,동울산새마을금고최명호,4.0,맛있으..좀 비쌈
칠성양곱창,sebastian32497,4.0,비싸긴 하지만 맛나요
칠성양곱창,문경환,3.0,너무짜워요~
칠성양곱창,마손왕,5.0,추천합니다~
칠성양곱창,원스패밀리,1.0,이도저도 아닌맛......ㅡㅡ
칠성양곱창,a루미,5.0,"곱창 맛있음
곱창전골도 맛있음 ㅋㅋ"
칠성양곱창,이선영,5.0,양냄새 없고 좋음
칠성양곱창,이점동,3.0,곱창맛이좋아습니다
칠성양곱창,박국화맘,5.0,술안주로는  최고죠~~
칠성양곱창,김상구,5.0,아주 좋아요.
칠성양곱창,김혜경,3.0,가격에비해 별루  미원맛도이남
칠성양곱창,김종철,3.0,맛있는데 너무 비쌈
칠성양곱창,유충효,5.0,주차장이 아쉽네요
칠성양곱창,임은숙,2.0,난별루.후추맛만이빠이
칠성양곱창,Yd Y,3.0,맛은있는데 넘비쌈
칠성양곱창,Youngho Woo,3.0,맛집입니다
칠성양곱창,달님,5.0,맛있어요
