place_id,user_id,score,comment
카몬시카페,SANGHOON KIM,4.0,"울산 해변에 있는 오션뷰 카페 중 아메리카노 ₩3,500부터 시작하며 가성비가 좋아 방문했습니다. 야외 테라스나 루프쪽은 노후되었지만 실내는 괜찮았고 커피맛은 훌륭했습니다. 실내에 신발 벗고 들어가는 좌식 자리와 별도 룸이 있던데 아이 동반하신 분들은 바로 앞 바다에서 해양생물보며 놀 수 있어 좋은 장소인것 같습니다."
카몬시카페,Lee잠뽀,4.0,"파도가 많이 칠때도가고 날씨 좋을때도 가봤어요
바로앞에 바다라 파도칠땐 조금 무섭더라구요. 그래도 좋았습니다."
카몬시카페,EUN MI YUN,4.0,"길 끝에 있으면서 바다뷰가 멋진 곳임.

약간 허름한 듯한 인테리어가 더 정감가고 멋스러워 보이고,…"
카몬시카페,울산고래,4.0,"바다가 바로 앞에 보이는 카페입니다 ㅋㅋㅋㅋㅋㅋ
3500원 아이스 아메리카노를 마시며 바다 내음새를 느껴보세요!
인테리어가 깔끔하지는 않아서 깨끗한 거 좋아하시는 분들에게는 추천하지 않아요!"
카몬시카페,Een K,4.0,"커피는 너무 맛이 없었지만 바로코앞 바다뷰는 힐링에 최고였어요 커피맛만 맛있었다면 최고였을듯
아메가 3500원은 넘좋았는데.."
카몬시카페,Sun L,4.0,"바다소리를 들으며 야외에 앉을수도있고 실내에서 파도를 즐길수도있습니다
음식 가격도 합리적입니다
기존 펜션을 리모델링 한카페여서 아직약간은 미완성은 느낌은있지만, 손님에게 제공하는 서비스의 질은 매우 좋습니다  아이를 배려한  방 공간도 있습니다"
카몬시카페,with Park,4.0,인테리어가 최신것은아님.그것빼꼰 커피도 배경도 너무너무 좋아서 방갈로 구경과 파도소리를 멍때리로 또 오려고 한다 ㅎ
카몬시카페,이시원,5.0,"여행왔다가 아점먹을겸 우연히 방문했는데 공간도 넓고 커피, 음식도 맛있어요 커피연한거 안좋아하는데 코코넛커피랑 아메리카노 진하고 맛나요"
카몬시카페,승우,5.0,"늘 몽돌해변쪽만 가다가, 우연히 찾은 카페.
좋은 뷰에, 친절한 직원분(사장님?), 유니크한 분위기가 좋았음.
*마자그란 맛있어요"
카몬시카페,김애희,4.0,애들과 와도 좋은곳 바다를 아주 가까이에서 볼수 있는곳
카몬시카페,이수야,5.0,카페 바로앞이 바다라서 멋진풍경을볼수있어서좋고 브런치로먹을수있는메뉴도 다양하고 아주 맛있었다는~~^^
카몬시카페,징어오,5.0,"아직 루프탑캠핑존은 공사중◟(∗❛ᴗ❛∗)◞
쑥라떼 추천!
흔한 메뉴도 아니고 생각보다 맛있음❤💚…"
카몬시카페,김효영,5.0,바다가 코앞인 카페..해파랑길을 걸을때면 몇시간 넋읊놓고가도 후회없는곳
카몬시카페,황경희,5.0,"바로 코앞에서 바닷물이 춤추고  봄바람이 살랑이는 멋진곳입니다
크레마풍성한 아메리카노한잔과 몇조각의 짭짤한 비스킷맛도 좋구요
평일에  조용하게 오로지 파도소리만끽하고 왔습니다  커피가격도 저렴해요"
카몬시카페,sung-hun choi,5.0,"바닷가 바로 앞에 앉아서 커피를 마실수 있어서 너무 좋았어여^^
파도소리도 너무 좋고, 눈과 귀 그리고 입이 즐거운 시간이었네요~~~"
카몬시카페,헷헷헷,5.0,바다를 보면서 여유를 즐길수 잇어요  너무 이쁜카페! 피자도 맛있어요
카몬시카페,김언주,4.0,친절하고 브런치도 맛있고 커피도 진해 넘 좋아요~^^
카몬시카페,김선중,4.0,빙수가 한대접으로 나와요.  바다가와 바로 접한 분위기는 어느 카페와도 비교 불가죠.  주인장과 분리된 공간에서  편안함을 만끽합니다
카몬시카페,hwasun chun (써니),5.0,"카라멜 마키야또 커피 맛있었어요^^
경치도 좋쿠요
파도소리정말 시원하고 스트레스 풀려요"
카몬시카페,빈비니,5.0,테이블과 벤치가 각기다른 인테리어가 특이하고 밖에 사진찍기좋은 뷰와 톡크룸이 몇개있어서 방해받기싫고 오붖하게 있을수있어요~ 무엇보다 커피값이 착하고 맛도좋아요~^^
카몬시카페,DEW S,5.0,풍경도 좋은데 음료도 디저트도 맛있었어요. 다시 오고 싶음🥰…
카몬시카페,김은영,5.0,바닷가앞이라 뷰가좋아요 카페음식도맛있어요
카몬시카페,아리아,5.0,통창으로 보이는 바다보며 맛있는 떡구이와 아아는 환상 입니다~~
카몬시카페,Rachel L,4.0,"가격이 저렴하다
뷰가 너무 좋다
맛이 있다…"
카몬시카페,김경희,1.0,"브런치는 맛있으나... 너무 춥고...
의자나 시설 보완이 완전 필요해요. ㅜㅜ"
카몬시카페,러심심,4.0,날씨가 좋아 괜찮았네요. 건물은 오래 된 편이에요. 위치는 먼 편이에요
카몬시카페,SEONG소나무,3.0,파도 소리가 너무 커서 대화에 방해가 되기도 합니다. 비오는 날
카몬시카페,WON KYUNG DO (Topddugi),4.0,"맛조 괜찮고, 분위기도 괜찮습니다. 밤에 갔는데 벌레퇴치기 펑펑 터지는 소리에 좀 놀랄 뿐...."
카몬시카페,김진영,4.0,바닷가에 위치하고있어 비릿한 바다내음이 좋고 풍경이 좋음 커피맛은 그런대로 애인하고 데이트하기 좋은곳임.
카몬시카페,Jong-Hyun Choi,5.0,"전기차 충전기 있고
차분하고
루프탑 있고…"
카몬시카페,jini j,4.0,"뷰는 멋집니다.
커피맛은 쏘쏘... ㅎ
사진찍기 좋아요~
참, 커피가격은 괜찮네요"
카몬시카페,Jj S,5.0,"가격, 분위기, 친절 무엇하나 빠지는게 없어요~ 겨울 오는게 안타까운건 여기 야외 테라스에 못앉아 있는것 때문"
카몬시카페,진재우,5.0,뷰가 아주 좋고 한적한 카페 입니다
카몬시카페,송석진,4.0,뷰는 아주 좋아요 건물이 태풍에 ..... 편하고 음식도 맛나고 좋았어요
카몬시카페,류경원,5.0,분위기 너무 좋고 대추차가 넘 찐하고  맛있어요~~
카몬시카페,신은정,5.0,"코로나로 사람이 적었지만 공간이 넓어 사람이 많아도 한적하게 즐길수 있들듯 해요~~
너무 좋아서 남들이 몰랐으면 ㅎㅎ(개취)"
카몬시카페,조선희,5.0,뷰도좋고 따스한 분위기좋아요
카몬시카페,김주희,5.0,"꼭가야지유
앞에 바다도 내려가서 사진찍을수도 있고 넘나리 좋았어용^^"
카몬시카페,강춘자,4.0,"빈티지같은 느낌 바다를 끼고
그나름대로의 느낌을 살려서
잘  어울리는 찻집 인것같아요…"
카몬시카페,R6 타는 할배 kim,2.0,SNS 에서 난리들 해서 가보았는데 배경은 좋아요.앞에 바다가 펼쳐져 있었어 멋지죠.. 근런 이 카페는 솔직히 너무 더러워요. 청소는 언제하는지  앉아 있기가 좀 불편 한정도에요... 청소좀 하시고 주변 온천지 쓰레기좀 치우세요.. 너무해..
카몬시카페,은밍 (pinkneat),5.0,자리가 굉장히 많습니다. 2층 갤러리도 있고 1층 기본 실내카페 두 곳과 바다를 즐기며 있을 수 있는 야외와 루프탑도 있어요. 그리고 모임을 따로 가질 수 있도록 한 방씩 쓸 수 있는 방도 마련되어 있습니다. 카페로도 맛있고 브런치 메뉴로도 굉장히 괜찮은 곳입니다. 특히 에그인헬과 까르보빠네떡볶이가 맛있었어요
카몬시카페,정은숙,4.0,"오랫만에 만난 친구들과 바다보면서 즐거운 수다시간을 가졌네요. 2층 갤러리카페도 조용하고 좋구요 모임장소로 활용하기 좋은 룸도 있고 곳곳에 작은 공간도 몇개 있으며
야외테이블도 있어요. 야외는 반려견도 동반가능한 카페여서 애견인들한테 추천하고 싶은 장소네요."
카몬시카페,임효진,5.0,분위기 굿굿 대박입니다. 근데 날파리가 넘많아서..ㅠ
카몬시카페,권한상,5.0,바다를 보는 경관도 좋고 참 매력있는 카페입니다. Come on sea~♡
카몬시카페,바른마음,5.0,공간도 넓고 커피도 맛있네용
카몬시카페,heo ree lee,4.0,"아이가 있는 가족에게 제일 편하고 좋은 카페. 핫플도 많이 가봤지만, 현대적인 인테리어가 왠지 불편한 점이 있고 주변 사람들에게 눈치가 보이기도 한다. 이곳은 실내좌식공간과 야외좌식공간, 심지어 룸도 있어서 아이 있는 손님에게는 최적이다. 더불어 뷰도 굉장하다. 사장님께 손자가 있는지 아이용 자동차도 있어서 태울 수 있갘 음료맛은 뛰어나진 않아도 나쁘지 않다. 정겨운 펜션에서 쉬는 기분이 든다"
카몬시카페,김경선,4.0,"너무좋아요#^^
아이들 데리고 가도 좋을것같아요~"
카몬시카페,신긍균,5.0,바다 바로 앞에서 커피를 즐길수 있는 곳
카몬시카페,Jack Lee,5.0,"브런치카페로 운영되여 방갈로 룸이 3개가 있어 편하게 이용했어요. 바다뷰가 참 좋아요. 떡구이, 크로와상 샌드위치가 맛나요."
카몬시카페,SkirtBoyz *,5.0,"바닷가앞 풍광이 뛰어난 카페, 가나다라브루어리 맥주도 맛볼수 있는곳."
카몬시카페,Yunji Park,5.0,"음식도 맛있고 친절하시고
경치도 좋고 룸도 예쁘고
아기자기? 잘 꾸며져 있어요."
카몬시카페,황병모,4.0,정말 마음이 탁 트였고 참 좋왓습니다
카몬시카페,양조연,4.0,아직 공사및 정리가 덜 된 느낌..그래서 하나 뺐어요^.^
카몬시카페,남성윤후중,3.0,독립방은 케케한 냄새나구   주위  인테리어  분위기는  어수선 해요 깔끔한거 좋아하는 사람은 비추 하지만 파도소리 바로 앞에서  마시는 커피는  최고입니다
