place_id,user_id,score,comment
카페 베르츠율리,Gael in Korea,5.0,빵가격이 합리적이었고 커피 맛도 좋았다. 조금 아쉬운 점이라면 초파리 같은 게 날아다녀서 빵에 들러 붙었다는 거.. 그리고 테이블 사이의 거리는 넉넉하지만 전체적으로 소리가 너무 시끄러웠다. 생각보다는 실내 자리가 어어엄청 넉넉하진 않다고 생각했음. 그래도 근처에 이런  쾌적한 카페가 있는 건 좋은 일이지 않을까?
카페 베르츠율리,IM K,5.0,다양한 베이커리 종류와 합리적 가격의 커피. 2층에서 주문하고 3층은 노키즈존. 루프탑은 있으나 다소 좁아 보였음. 뷰가 좋음. 식사 시간 이후에 가면 자리가 만석임.
카페 베르츠율리,ChangMin Eym,4.0,"주변환경과 경관만 보자면 정말 좋습니다.
일반메뉴는 개인적으로는 잘 모르겠어요. 아직 더 다녀봐야 할것 같아요.
커피는 핸드드립 중에서 게이샤 뜨겁게 드시면 괜찮습니다.…"
카페 베르츠율리,리은아,5.0,커피도 맛있고 앙버터소보루도 맛있었어요 인테리어도 좋지만 조경이 정말 잘 된 것 같음. 차없으면 못 가는 위치인데 주차공간이 늘 부족ㅠ 저수지수제비먹고 걸어오면 딱 맞을 듯
카페 베르츠율리,H S,5.0,커피 맛있고 가깝지만 여행온듯한 기분을 느낄 수 있는 전망 좋은 카페입니다.
카페 베르츠율리,eunsook YANG,5.0,"조경도 잘되어 있고
커피도 맛있어요
주차장도 넓고 호수도 보여서 좋네요"
카페 베르츠율리,농촌식당추어탕네이버쇼핑검색,5.0,"낮에 가도 너무이쁠거같아요
커피도맛있고 라떼아트도이쁘네요"
카페 베르츠율리,Daniel Kang,3.0,맛있고 커피도괜찮은데 생각보다 자리가 많이 협소하고 2층빼곤 다 노키즈존이라 손님 몰리면 자리가 더 진짜힘듬
카페 베르츠율리,놉노노,4.0,사람이 너무 많아요. 디저트류도 너무 많아요. 주차장은 너무 부족해요. 그래도 와서 커피한잔하니 좋습니다.
카페 베르츠율리,02 na,4.0,카페자체는 분위기도 괜찮고 화장실이 아주 깨끗하고 좋음~ 알바생분들도 아주 친절 커피 외 베이커리류 또한 맛있음. 그러나 점심 후 방문은 반상회 및 도떼기시장마냥 시끄러우니 오후시간대 방문은 피하는걸 추천함.
카페 베르츠율리,임일성,3.0,"주차시설이 약간~~
커피 빵 맛있어요~~~"
카페 베르츠율리,Duck L,5.0,"울산에서 제가 가본곳 중에 제일 멋있는 카페인거같음
주변 경치도 좋고 커피와 빵도 맛있음
카페 인테리어 너무 멋짐…"
카페 베르츠율리,Pablo _,5.0,맛집이라 구런지 사람이 많네요!ㅎㅎ
카페 베르츠율리,JH Choi,4.0,매우 크고 분위기가 좋다 위층으로 올라가면 두현저수지가 다 내려다보임 커피맛은 선택할 수 있고 맛이 꽤 괜찮았다 주차장도 꽤 자리가 많았음 날이 조금만 덜 더우면 외부에 앉아도 좋을 것 같다
카페 베르츠율리,나야민,5.0,인테리어도 깔끔하고 좋은데 사람들이 워낙 많아서 시끄러워요~^^ 야외테라스가 전망도 좋고 이쁘네요
카페 베르츠율리,노은경,5.0,커피값은 비싼편이지만 드라이브겸 괜찮네요 여름이라 밖은 모기가많네요
카페 베르츠율리,혜린김,4.0,"평안한 기분 느끼게 하는 저수지 뷰도 좋고,
일단 커피가 맛있네요.
또 가고 싶은 곳 입니다."
카페 베르츠율리,jongman yong,4.0,조용하고 쿠키케익도 다양하네요...야외도 사진찍기좋고...가격은 약간쎈듯^^
카페 베르츠율리,YN Kim,3.0,저수지 뷰가 괜찮았던 카페
