place_id,user_id,score,comment
카페 히든베이,초이,5.0,"꿩 대신 닭이라고 옆에 있는 카페가려다 이곳에 왔다^*^ 탁월한 선택
커피 맛 좋았다. 쉼 공간 배치 좋았다. 1층 외부, 3층 야외에서 여유를 즐겨보아도 좋아요^"
카페 히든베이,김지영,4.0,풀빌라 펜션과 함께 붙어있어 트렌디한 느낌. 주변 바다나 항구의 느낌은 조금 아쉽. 내부 곳곳에 인테리어로 포토존 될만한 곳 다수. 빈백 앉아 바라보는 바다 뷰가 좋음. 아인슈패너 잔 이 취향에 맞게 예뻤음. 맛도 괜찮았음
카페 히든베이,N ・Y,5.0,"커피가 맛있고 빵종류도 다양함
1층 스탠드석 2층 소파 3층 루프탑으로
취향대로 고를 수 있음…"
카페 히든베이,Donghyeok Oh,3.0,"밖에선 본 모습은 꽤 멋져보였는데..실내는 여기저기 이쁜곳을 짜집기한듯 하네요. 무엇보다 청소상태가 별로였어요. 카페가 커서 그런지 테이블 빠질때마다 바로바로 청소하지는 않는듯 합니다.
그래도 빵은 맛났어요. 커피도 괜찮고"
카페 히든베이,seongjin RA,4.0,오픈한지 얼마안된 카페라 의자상태가 좋고 분위기도 좋은곳이네요 몇번 지나쳤을땐 길가쪽 분위기만 보고 별로 가보고 싶진 않은곳이었는데 저의 편견이었더군요 커피맛도 보통이상은 되는것 같습니다 정자쪽에 오시면 한번 둘러보시면 좋겠네요 조금 아쉬운점은 화장실이 너무 협소하네요 카페홀크기에 좀더 열중하신듯  ㅋ
카페 히든베이,Meyoung Lee,5.0,"정자항 뷰 넘 좋아요.
무지개케잌 많이 안 달고 맛 있습니다
야외 자리 널찍 널찍 해서 좋아요"
카페 히든베이,tim treasure,5.0,"커피는 평범하지만
뷰나 인테리어가 죽여준다..
담엔 빵도먹어봐야지"
카페 히든베이,yh j,3.0,빵도 맛잇고 음료도 괜찮고 뷰도 좋습니다.
카페 히든베이,이승은,3.0,깔끔하고 바다쪽 뷰 너무 좋습니다. 커피도 맛있고요
카페 히든베이,장영례,5.0,"달고나커피 아이스커피 싱싱하고 맛이좋다.
나름 뷰가 아름답다."
카페 히든베이,JongKeol LEE,5.0,분위기도 좋고 음료 빵 다 맛있네요. 아이들도 좋아하네요.
카페 히든베이,ACE Lee,4.0,3층 루프탑에서 보이는 경치가 좋다.
카페 히든베이,고봉수,3.0,"인테리어는 좋아요
커피 맛은 ...."
카페 히든베이,Do Hyung Kim,4.0,"각층마다 분위기가 다 달라서 좋구
마당?도 있어서 밖에서 먹기 좋음.
커피맛은 무난한거 같음."
카페 히든베이,Pj Kim,5.0,진짜 인테리어에 취해서 집에 가는거 잊어버릴뻔 했어요
